date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2023-01-01,00,17,9,0.0,72,1017,6
2023-01-01,03,16,9,0.0,79,1016,7
2023-01-01,06,16,8,0.0,81,1017,5
2023-01-01,09,23,9,0.0,50,1019,5
2023-01-01,12,28,14,0.0,40,1016,10
2023-01-01,15,28,15,0.0,38,1013,7
2023-01-01,18,23,12,0.0,53,1015,9
2023-01-01,21,20,14,0.0,67,1018,8
2023-01-02,00,18,11,0.0,83,1017,6
2023-01-02,03,17,10,0.0,94,1016,41
2023-01-02,06,15,9,0.0,93,1017,32
2023-01-02,09,22,13,0.0,55,1019,8
2023-01-02,12,27,18,0.0,44,1017,14
2023-01-02,15,27,16,0.0,43,1014,12
2023-01-02,18,21,12,0.0,61,1016,23
2023-01-02,21,19,10,0.0,75,1019,25
2023-01-03,00,18,9,0.0,80,1018,2
2023-01-03,03,17,8,0.0,84,1016,8
2023-01-03,06,16,7,0.0,92,1018,22
2023-01-03,09,21,12,0.0,58,1019,3
2023-01-03,12,26,15,0.0,40,1016,8
2023-01-03,15,27,16,0.0,42,1014,10
2023-01-03,18,21,10,0.0,61,1015,21
2023-01-03,21,20,9,0.0,72,1018,29
2023-01-04,00,17,8,0.0,88,1017,15
2023-01-04,03,16,8,0.0,92,1016,27
2023-01-04,06,15,7,0.0,93,1017,26
2023-01-04,09,21,14,0.0,61,1018,32
2023-01-04,12,25,18,0.0,44,1015,12
2023-01-04,15,26,18,0.0,44,1012,12
2023-01-04,18,21,12,0.0,61,1014,22
2023-01-04,21,18,13,0.0,77,1018,18
2023-01-05,00,17,11,0.0,86,1017,8
2023-01-05,03,15,9,0.0,95,1016,43
2023-01-05,06,15,9,0.0,96,1017,49
2023-01-05,09,20,22,0.0,61,1019,0
2023-01-05,12,25,23,0.0,43,1016,11
2023-01-05,15,26,21,0.0,42,1013,11
2023-01-05,18,22,17,0.0,60,1015,23
2023-01-05,21,18,15,0.0,83,1019,3
2023-01-06,00,16,9,0.0,87,1018,5
2023-01-06,03,15,7,0.0,92,1017,20
2023-01-06,06,14,6,0.0,91,1018,12
2023-01-06,09,20,19,0.0,55,1020,0
2023-01-06,12,26,22,0.0,40,1017,8
2023-01-06,15,26,21,0.0,43,1015,13
2023-01-06,18,22,14,0.0,62,1017,31
2023-01-06,21,18,13,0.0,79,1019,18
2023-01-07,00,16,9,0.0,93,1018,35
2023-01-07,03,15,8,0.0,95,1016,38
2023-01-07,06,15,7,0.0,90,1017,10
2023-01-07,09,21,18,0.0,59,1019,1
2023-01-07,12,25,21,0.0,46,1016,19
2023-01-07,15,26,16,0.0,44,1013,13
2023-01-07,18,22,10,0.0,62,1015,20
2023-01-07,21,20,10,0.0,71,1018,18
2023-01-08,00,18,7,0.0,85,1016,22
2023-01-08,03,17,7,0.0,90,1015,13
