date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2023-01-01,00,-1,2,0.0,24,1035,0
2023-01-01,03,-4,6,0.0,28,1035,0
2023-01-01,06,-4,6,0.0,32,1035,4
2023-01-01,09,-3,6,0.0,34,1037,2
2023-01-01,12,2,4,0.0,27,1037,5
2023-01-01,15,2,2,0.0,26,1036,14
2023-01-01,18,1,4,0.0,28,1037,12
2023-01-01,21,-2,4,0.0,28,1038,24
2023-01-02,00,-3,5,0.0,31,1039,45
2023-01-02,03,-4,6,0.0,34,1038,100
2023-01-02,06,-5,6,0.0,38,1038,19
2023-01-02,09,-4,6,0.0,38,1039,20
2023-01-02,12,1,5,0.0,30,1038,12
2023-01-02,15,3,4,0.0,27,1036,6
2023-01-02,18,-1,3,0.0,32,1036,5
2023-01-02,21,-3,3,0.0,32,1036,7
2023-01-03,00,-3,3,0.0,30,1036,7
2023-01-03,03,-5,5,0.0,31,1035,7
2023-01-03,06,-6,4,0.0,33,1034,8
2023-01-03,09,-5,1,0.0,32,1034,22
2023-01-03,12,0,2,0.0,26,1033,32
2023-01-03,15,3,4,0.0,25,1030,5
2023-01-03,18,0,1,0.0,28,1030,3
2023-01-03,21,-1,2,0.0,30,1031,3
2023-01-04,00,-3,3,0.0,33,1031,6
2023-01-04,03,-5,4,0.0,35,1031,4
2023-01-04,06,-5,5,0.0,37,1031,5
2023-01-04,09,-4,6,0.0,35,1033,4
2023-01-04,12,4,5,0.0,28,1033,2
2023-01-04,15,5,3,0.0,28,1031,0
2023-01-04,18,1,2,0.0,33,1032,0
2023-01-04,21,-2,1,0.0,36,1033,2
2023-01-05,00,-3,1,0.0,36,1032,0
2023-01-05,03,-3,3,0.0,37,1031,0
2023-01-05,06,-5,4,0.0,38,1031,0
2023-01-05,09,-4,3,0.0,37,1032,0
2023-01-05,12,5,4,0.0,28,1032,0
2023-01-05,15,4,3,0.0,27,1029,5
2023-01-05,18,0,2,0.0,32,1029,12
2023-01-05,21,0,0,0.0,34,1028,8
2023-01-06,00,-1,3,0.0,36,1026,78
2023-01-06,03,-3,4,0.0,37,1024,2
2023-01-06,06,-4,6,0.0,36,1022,5
2023-01-06,09,-1,12,0.0,27,1022,7
2023-01-06,12,5,17,0.0,22,1021,4
2023-01-06,15,7,15,0.0,20,1020,0
2023-01-06,18,3,12,0.0,22,1021,0
2023-01-06,21,-0,10,0.0,21,1022,0
2023-01-07,00,-1,9,0.0,19,1023,0
2023-01-07,03,-3,5,0.0,23,1023,0
2023-01-07,06,-3,5,0.0,24,1023,10
2023-01-07,09,-2,5,0.0,23,1025,35
2023-01-07,12,4,2,0.0,19,1024,8
2023-01-07,15,4,4,0.0,18,1022,40
2023-01-07,18,3,1,0.0,21,1022,8
2023-01-07,21,1,1,0.0,22,1022,12
2023-01-08,00,-2,4,0.0,25,1022,6
2023-01-08,03,-2,5,0.0,27,1022,8
2023-01-08,06,-3,5,0.0,29,1022,7
2023-01-08,09,-1,5,0.0,28,1024,9
2023-01-08,12,6,4,0.0,24,1024,36
2023-01-08,15,8,2,0.0,26,1023,16
2023-01-08,18,4,3,0.0,31,1026,79
2023-01-08,21,1,5,0.0,36,1028,81
2023-01-09,00,0,5,0.0,42,1030,3
2023-01-09,03,1,3,0.0,44,1031,5
2023-01-09,06,0,1,0.0,46,1032,8
2023-01-09,09,1,1,0.0,47,1034,3
2023-01-09,12,5,5,0.0,42,1034,3
2023-01-09,15,8,6,0.0,37,1033,0
2023-01-09,18,3,6,0.0,42,1034,0
2023-01-09,21,-1,2,0.0,46,1035,0
2023-01-10,00,-2,1,0.0,49,1034,0
2023-01-10,03,-2,1,0.0,50,1033,0
2023-01-10,06,-3,2,0.0,51,1032,0
2023-01-10,09,-2,2,0.0,48,1032,3
2023-01-10,12,5,1,0.0,41,1031,2
