date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2023-01-01,00,14,25,0.0,71,1014,13
2023-01-01,03,14,28,0.0,64,1014,28
2023-01-01,06,13,24,0.0,68,1015,18
2023-01-01,09,13,24,0.0,69,1017,21
2023-01-01,12,14,22,0.0,65,1018,50
2023-01-01,15,14,22,0.0,63,1018,83
2023-01-01,18,14,16,0.0,67,1019,54
2023-01-01,21,12,14,0.0,73,1020,67
2023-01-02,00,13,13,0.3,69,1019,100
2023-01-02,03,12,13,0.1,78,1019,93
2023-01-02,06,11,11,0.1,85,1019,100
2023-01-02,09,10,12,0.1,91,1020,100
2023-01-02,12,12,13,0.0,96,1018,100
2023-01-02,15,12,16,0.0,87,1017,100
2023-01-02,18,11,15,0.0,86,1017,100
2023-01-02,21,10,10,0.2,93,1018,100
2023-01-03,00,8,17,0.1,79,1021,100
2023-01-03,03,7,19,0.0,77,1023,74
2023-01-03,06,6,17,0.0,83,1025,51
2023-01-03,09,6,15,0.0,77,1027,14
2023-01-03,12,7,15,0.0,71,1028,26
2023-01-03,15,8,10,0.0,68,1028,12
2023-01-03,18,5,6,0.0,80,1029,28
2023-01-03,21,5,10,0.0,87,1028,65
2023-01-04,00,5,14,0.0,84,1027,63
2023-01-04,03,5,16,0.0,81,1024,96
2023-01-04,06,6,19,0.0,78,1022,100
2023-01-04,09,7,24,0.9,76,1019,100
2023-01-04,12,7,27,1.7,81,1017,100
2023-01-04,15,8,27,0.6,86,1014,100
2023-01-04,18,9,29,0.4,79,1013,100
2023-01-04,21,10,33,0.2,78,1011,100
2023-01-05,00,10,26,0.4,81,1010,100
2023-01-05,03,10,28,0.4,83,1010,100
2023-01-05,06,10,27,0.3,76,1011,100
2023-01-05,09,10,27,0.0,76,1013,100
2023-01-05,12,10,28,0.0,75,1014,100
2023-01-05,15,10,26,0.0,77,1015,100
2023-01-05,18,8,20,0.0,82,1017,100
2023-01-05,21,7,16,0.0,80,1017,100
2023-01-06,00,4,8,0.0,69,1021,82
2023-01-06,03,3,8,0.0,78,1022,36
2023-01-06,06,3,9,0.2,77,1022,68
2023-01-06,09,5,13,0.1,77,1021,100
2023-01-06,12,7,15,0.1,87,1018,100
2023-01-06,15,8,17,0.3,96,1016,100
2023-01-06,18,9,22,0.0,85,1017,71
2023-01-06,21,7,17,0.0,83,1019,100
2023-01-07,00,7,7,0.0,96,1019,90
2023-01-07,03,6,8,0.0,96,1019,59
2023-01-07,06,5,8,0.0,96,1018,97
2023-01-07,09,7,9,0.2,97,1018,100
2023-01-07,12,8,9,0.1,88,1017,76
2023-01-07,15,10,11,0.0,87,1015,22
2023-01-07,18,8,10,0.0,90,1014,45
2023-01-07,21,8,12,0.0,88,1013,17
2023-01-08,00,7,16,0.0,82,1011,5
2023-01-08,03,7,14,0.0,82,1010,12
2023-01-08,06,6,13,0.0,84,1009,58
2023-01-08,09,6,12,0.1,87,1008,57
2023-01-08,12,9,15,0.7,78,1007,100
2023-01-08,15,8,14,0.0,90,1006,100
2023-01-08,18,8,14,0.0,86,1005,100
2023-01-08,21,7,10,0.0,92,1003,88
2023-01-09,00,7,12,0.0,84,1004,100
2023-01-09,03,5,13,0.0,90,1002,80
2023-01-09,06,6,17,0.0,86,1001,100
2023-01-09,09,7,16,0.6,87,1002,86
2023-01-09,12,8,17,0.0,76,1003,100
2023-01-09,15,8,10,0.0,74,1004,100
2023-01-09,18,6,11,0.0,79,1005,60
2023-01-09,21,5,10,0.0,84,1007,51
2023-01-10,00,5,17,0.0,78,1008,100
2023-01-10,03,5,18,0.0,79,1010,74
2023-01-10,06,4,16,0.0,91,1012,100
2023-01-10,09,5,13,0.0,89,1015,100
2023-01-10,12,6,18,0.0,77,1016,94
2023-01-10,15,6,16,0.0,69,1018,92
2023-01-10,18,6,14,0.0,74,1019,42
2023-01-10,21,4,12,0.0,77,1019,10
2023-01-11,00,4,18,0.0,79,1019,71
2023-01-11,03,4,22,0.0,73,1017,60
2023-01-11,06,5,21,0.0,69,1015,100
2023-01-11,09,6,20,0.0,70,1014,79
2023-01-11,12,8,19,0.6,74,1012,100
2023-01-11,15,8,17,1.1,84,1011,100
2023-01-11,18,8,13,0.5,94,1012,100
2023-01-11,21,7,9,0.0,96,1012,100
2023-01-12,00,7,17,0.0,85,1012,82
2023-01-12,03,6,17,0.0,89,1012,29
2023-01-12,06,5,18,0.1,87,1013,54
2023-01-12,09,6,18,0.0,89,1013,100
2023-01-12,12,8,22,0.2,70,1014,87
2023-01-12,15,8,21,0.1,70,1013,50
2023-01-12,18,7,18,0.0,80,1012,55
2023-01-12,21,8,19,0.3,84,1011,100
2023-01-13,00,10,24,0.4,81,1009,100
2023-01-13,03,9,24,0.0,83,1008,100
2023-01-13,06,9,24,0.0,87,1007,100
2023-01-13,09,10,20,0.1,72,1007,84
2023-01-13,12,11,21,0.3,62,1008,84
2023-01-13,15,9,22,0.0,59,1008,100
2023-01-13,18,8,23,0.0,69,1010,100
2023-01-13,21,7,25,0.0,70,1011,100
2023-01-14,00,7,26,0.0,75,1013,100
2023-01-14,03,7,24,0.0,75,1014,100
2023-01-14,06,7,24,0.0,77,1016,100
2023-01-14,09,7,21,0.0,77,1017,100
2023-01-14,12,8,18,0.0,62,1017,21
2023-01-14,15,8,21,0.0,67,1015,15
2023-01-14,18,7,22,1.0,72,1011,74
2023-01-14,21,7,28,0.9,66,1008,100
2023-01-15,00,9,29,0.3,83,1000,100
2023-01-15,03,10,30,0.1,85,997,100
2023-01-15,06,9,26,1.3,87,997,100
2023-01-15,09,7,22,0.1,68,999,51
2023-01-15,12,8,22,0.0,64,1001,92
2023-01-15,15,7,24,0.0,62,1002,90
2023-01-15,18,7,26,0.0,64,1003,44
2023-01-15,21,5,24,0.0,75,1004,100
2023-01-16,00,5,23,0.0,63,1005,100
2023-01-16,03,4,18,0.0,71,1004,30
2023-01-16,06,3,13,0.0,78,1002,5
2023-01-16,09,3,13,0.0,82,1000,7
2023-01-16,12,7,18,0.0,68,997,3
2023-01-16,15,6,19,0.0,66,994,32
2023-01-16,18,5,20,0.0,70,993,51
2023-01-16,21,3,15,0.0,76,991,19
2023-01-17,00,2,13,0.0,81,990,99
2023-01-17,03,2,14,0.0,83,989,31
2023-01-17,06,3,14,0.1,87,988,100
2023-01-17,09,2,17,0.0,85,988,100
2023-01-17,12,5,15,0.2,69,987,76
2023-01-17,15,5,15,0.0,66,987,40
2023-01-17,18,3,12,0.0,76,988,5
2023-01-17,21,0,10,0.0,79,989,9
2023-01-18,00,-0,7,0.0,83,991,12
2023-01-18,03,-1,5,0.0,86,991,78
2023-01-18,06,-1,4,0.0,88,993,100
2023-01-18,09,-0,6,0.0,96,995,100
2023-01-18,12,1,11,0.1,93,996,100
2023-01-18,15,2,12,0.1,63,992,66
2023-01-18,18,1,9,0.0,65,994,40
2023-01-18,21,0,12,0.0,72,996,79
2023-01-19,00,-2,9,0.0,71,1002,47
2023-01-19,03,-2,13,0.0,68,1003,33
2023-01-19,06,-2,17,0.0,65,1003,7
2023-01-19,09,-2,19,0.0,66,1004,26
2023-01-19,12,2,19,0.0,66,1005,100
2023-01-19,15,4,18,0.0,68,1006,38
2023-01-19,18,2,13,0.0,76,1008,4
2023-01-19,21,-0,12,0.0,83,1010,12
2023-01-20,00,1,9,0.0,88,1012,41
2023-01-20,03,-0,8,0.0,88,1014,51
2023-01-20,06,-2,6,0.0,84,1015,100
2023-01-20,09,-0,5,0.0,81,1018,31
2023-01-20,12,2,6,0.0,69,1019,35
2023-01-20,15,2,6,0.0,68,1020,100
2023-01-20,18,1,4,0.0,76,1022,100
2023-01-20,21,0,6,0.0,82,1024,100
2023-01-21,00,1,6,0.0,75,1025,98
2023-01-21,03,0,9,0.0,84,1026,27
2023-01-21,06,-1,11,0.0,85,1027,22
2023-01-21,09,0,12,0.0,84,1029,76
2023-01-21,12,3,20,0.0,81,1029,100
2023-01-21,15,4,19,0.2,77,1028,100
2023-01-21,18,2,22,0.9,83,1028,100
2023-01-21,21,2,22,0.5,82,1027,100
2023-01-22,00,1,20,0.2,97,1026,100
2023-01-22,03,1,17,0.1,98,1026,100
2023-01-22,06,1,14,0.2,98,1027,100
2023-01-22,09,1,14,0.0,98,1028,100
2023-01-22,12,2,13,0.1,91,1029,100
2023-01-22,15,2,12,0.0,91,1030,93
2023-01-22,18,2,10,0.0,89,1031,89
2023-01-22,21,1,10,0.0,88,1032,100
2023-01-23,00,1,9,0.0,85,1033,100
2023-01-23,03,1,9,0.0,81,1033,100
2023-01-23,06,1,9,0.0,81,1035,95
2023-01-23,09,0,8,0.0,86,1036,78
2023-01-23,12,2,9,0.0,77,1037,12
2023-01-23,15,2,10,0.0,77,1037,81
2023-01-23,18,-0,8,0.0,87,1038,23
2023-01-23,21,-1,6,0.0,88,1038,21
2023-01-24,00,-1,7,0.0,92,1039,35
2023-01-24,03,-1,7,0.0,91,1039,23
2023-01-24,06,-2,7,0.0,89,1039,11
2023-01-24,09,-1,7,0.0,86,1040,35
2023-01-24,12,2,6,0.0,76,1040,35
2023-01-24,15,2,6,0.0,82,1039,12
2023-01-24,18,1,6,0.0,90,1039,5
2023-01-24,21,-1,5,0.0,90,1040,7
2023-01-25,00,-1,3,0.0,90,1038,8
2023-01-25,03,-1,3,0.0,91,1036,16
2023-01-25,06,-1,2,0.0,91,1035,17
2023-01-25,09,-1,3,0.0,90,1034,21
2023-01-25,12,2,5,0.0,80,1032,9
2023-01-25,15,2,5,0.0,83,1029,28
2023-01-25,18,0,7,0.0,95,1027,64
2023-01-25,21,0,8,0.0,91,1025,63
2023-01-26,00,-0,7,0.0,95,1023,97
2023-01-26,03,0,5,0.0,91,1021,100
2023-01-26,06,1,5,0.0,83,1020,85
2023-01-26,09,1,5,0.0,80,1021,97
2023-01-26,12,1,6,0.0,73,1021,92
2023-01-26,15,1,6,0.0,70,1020,89
2023-01-26,18,1,5,0.0,69,1021,100
2023-01-26,21,1,5,0.0,68,1022,100
2023-01-27,00,0,5,0.0,85,1022,100
2023-01-27,03,0,6,0.0,98,1022,100
2023-01-27,06,1,12,0.1,98,1023,100
2023-01-27,09,2,15,0.1,97,1025,100
2023-01-27,12,3,17,0.1,85,1026,100
2023-01-27,15,3,15,0.0,74,1026,100
2023-01-27,18,2,12,0.0,76,1027,53
2023-01-27,21,-1,10,0.0,83,1028,13
2023-01-28,00,0,11,0.0,84,1026,65
2023-01-28,03,-1,9,0.0,87,1027,15
2023-01-28,06,-2,8,0.0,87,1027,10
