date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2023-01-01,00,25,5,0.0,76,1016,0
2023-01-01,03,24,2,0.0,77,1014,6
2023-01-01,06,24,7,0.0,79,1016,21
2023-01-01,09,25,3,0.0,70,1018,23
2023-01-01,12,29,7,0.0,62,1015,0
2023-01-01,15,29,13,0.0,64,1013,0
2023-01-01,18,27,12,0.0,73,1015,4
2023-01-01,21,25,14,0.0,74,1017,42
2023-01-02,00,25,13,0.0,72,1016,36
2023-01-02,03,24,8,0.0,73,1014,31
2023-01-02,06,24,7,0.0,74,1016,37
2023-01-02,09,27,12,0.0,64,1018,44
2023-01-02,12,29,15,0.0,61,1016,22
2023-01-02,15,28,14,0.0,63,1014,15
2023-01-02,18,27,12,0.0,71,1015,86
2023-01-02,21,25,14,0.0,73,1018,26
2023-01-03,00,25,11,0.0,76,1016,80
2023-01-03,03,24,8,0.0,77,1014,54
2023-01-03,06,24,11,0.0,76,1016,43
2023-01-03,09,27,17,0.1,66,1017,75
2023-01-03,12,28,21,0.0,61,1015,31
2023-01-03,15,28,19,0.0,61,1013,32
2023-01-03,18,26,16,0.0,69,1015,46
2023-01-03,21,25,17,0.0,72,1017,50
2023-01-04,00,25,16,0.0,73,1015,34
2023-01-04,03,24,14,0.0,76,1014,66
2023-01-04,06,24,12,0.0,70,1015,50
2023-01-04,09,27,21,0.1,59,1017,78
2023-01-04,12,29,20,0.1,56,1015,85
2023-01-04,15,27,22,0.0,60,1013,22
2023-01-04,18,26,19,0.0,67,1014,28
2023-01-04,21,25,19,0.0,66,1016,58
2023-01-05,00,25,17,0.0,63,1015,15
2023-01-05,03,25,17,0.0,66,1014,16
2023-01-05,06,24,18,0.0,68,1015,32
2023-01-05,09,27,22,0.1,60,1018,89
2023-01-05,12,30,24,0.0,58,1016,7
2023-01-05,15,30,24,0.0,59,1013,8
2023-01-05,18,26,22,0.0,65,1015,18
2023-01-05,21,25,22,0.0,66,1017,25
2023-01-06,00,25,21,0.0,73,1016,31
2023-01-06,03,24,19,0.0,73,1014,43
2023-01-06,06,24,18,0.0,72,1016,45
2023-01-06,09,27,23,0.0,64,1019,47
2023-01-06,12,28,26,0.0,63,1017,26
2023-01-06,15,28,26,0.0,64,1014,37
2023-01-06,18,26,22,0.0,70,1016,55
2023-01-06,21,25,22,0.0,71,1018,46
2023-01-07,00,26,18,0.0,69,1016,29
2023-01-07,03,24,16,0.0,75,1014,56
2023-01-07,06,24,17,0.0,75,1015,81
2023-01-07,09,27,21,0.0,65,1017,100
2023-01-07,12,28,23,0.1,64,1016,80
2023-01-07,15,27,24,0.2,66,1013,77
2023-01-07,18,26,20,0.0,70,1014,36
2023-01-07,21,25,18,0.0,71,1016,34
2023-01-08,00,25,16,0.0,72,1015,34
2023-01-08,03,24,14,0.0,74,1013,32
2023-01-08,06,24,12,0.0,75,1014,39
2023-01-08,09,26,19,0.3,65,1017,54
2023-01-08,12,28,23,0.2,60,1015,76
2023-01-08,15,28,22,0.0,61,1013,17
2023-01-08,18,26,18,0.0,67,1014,24
2023-01-08,21,25,17,0.0,67,1017,5
2023-01-09,00,24,14,0.0,65,1015,0
2023-01-09,03,23,12,0.0,64,1014,0
2023-01-09,06,23,12,0.0,63,1016,0
2023-01-09,09,26,14,0.0,52,1018,0
2023-01-09,12,28,21,0.0,47,1016,0
2023-01-09,15,28,22,0.0,51,1014,0
2023-01-09,18,27,19,0.0,60,1015,0
2023-01-09,21,24,17,0.0,63,1017,1
2023-01-10,00,23,14,0.0,66,1016,23
2023-01-10,03,22,12,0.0,69,1014,35
2023-01-10,06,23,14,0.0,73,1016,46
2023-01-10,09,25,17,0.0,62,1018,34
2023-01-10,12,28,22,0.0,59,1015,19
2023-01-10,15,27,22,0.0,60,1013,24
2023-01-10,18,25,19,0.0,68,1014,38
2023-01-10,21,24,17,0.0,69,1016,30
2023-01-11,00,23,14,0.0,72,1014,40
2023-01-11,03,22,10,0.0,76,1013,55
2023-01-11,06,21,11,0.0,80,1014,39
2023-01-11,09,25,12,0.0,68,1016,25
2023-01-11,12,28,17,0.0,59,1014,15
2023-01-11,15,28,18,0.0,59,1011,0
2023-01-11,18,27,15,0.0,68,1012,0
2023-01-11,21,24,15,0.0,68,1015,0
2023-01-12,00,23,10,0.0,71,1013,0
2023-01-12,03,22,5,0.0,72,1012,4
2023-01-12,06,22,4,0.0,75,1013,5
2023-01-12,09,24,5,0.0,66,1015,0
2023-01-12,12,28,11,0.0,55,1013,0
2023-01-12,15,28,14,0.0,56,1010,0
2023-01-12,18,27,12,0.0,65,1011,0
2023-01-12,21,24,12,0.0,66,1013,0
2023-01-13,00,23,8,0.0,67,1013,0
2023-01-13,03,23,3,0.0,69,1012,2
2023-01-13,06,22,6,0.0,74,1013,10
2023-01-13,09,24,4,0.0,65,1015,0
2023-01-13,12,28,12,0.0,54,1013,0
2023-01-13,15,28,15,0.0,54,1011,0
2023-01-13,18,27,14,0.0,64,1012,0
2023-01-13,21,24,12,0.0,65,1014,0
2023-01-14,00,24,10,0.0,65,1013,0
2023-01-14,03,23,3,0.0,67,1012,9
2023-01-14,06,22,6,0.0,72,1013,3
2023-01-14,09,24,5,0.0,65,1015,0
2023-01-14,12,28,9,0.0,55,1013,0
2023-01-14,15,28,13,0.0,56,1011,0
