date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2023-01-01,00,3,10,0.0,94,1008,100
2023-01-01,03,2,13,0.0,89,1009,100
2023-01-01,06,1,10,0.0,88,1011,4
2023-01-01,09,1,10,0.1,88,1013,54
2023-01-01,12,4,12,0.0,77,1014,40
2023-01-01,15,5,15,0.0,78,1014,100
2023-01-01,18,4,11,0.0,85,1015,18
2023-01-01,21,2,8,0.0,89,1016,17
2023-01-02,00,3,9,0.0,93,1016,36
2023-01-02,03,3,10,0.0,93,1017,24
2023-01-02,06,2,7,0.0,92,1017,23
2023-01-02,09,2,3,0.0,91,1019,45
2023-01-02,12,6,1,0.0,80,1019,47
2023-01-02,15,7,5,0.0,76,1017,67
2023-01-02,18,4,9,0.0,86,1018,78
2023-01-02,21,2,12,0.0,90,1017,100
2023-01-03,00,2,10,0.0,92,1017,100
2023-01-03,03,3,12,0.0,95,1015,100
2023-01-03,06,4,12,0.0,99,1010,100
2023-01-03,09,5,11,0.0,99,1006,100
2023-01-03,12,9,29,0.9,88,1001,100
2023-01-03,15,8,27,0.7,87,1000,99
2023-01-03,18,8,24,0.1,80,1001,58
2023-01-03,21,7,21,0.0,80,1004,31
2023-01-04,00,7,16,0.1,89,1004,74
2023-01-04,03,6,16,0.0,94,1004,100
2023-01-04,06,6,13,0.0,97,1004,100
2023-01-04,09,6,16,0.1,98,1005,100
2023-01-04,12,8,16,0.0,93,1005,75
2023-01-04,15,8,13,1.1,80,1005,81
2023-01-04,18,6,8,5.3,90,1007,81
2023-01-04,21,5,7,0.1,92,1010,97
2023-01-05,00,3,13,0.1,97,1010,91
2023-01-05,03,4,9,0.0,98,1011,100
2023-01-05,06,3,10,0.0,98,1012,100
2023-01-05,09,3,11,0.0,95,1013,59
2023-01-05,12,5,12,0.0,84,1014,37
2023-01-05,15,6,11,0.0,78,1013,100
2023-01-05,18,4,7,0.0,88,1014,47
2023-01-05,21,3,8,0.1,93,1015,100
2023-01-06,00,2,6,0.0,80,1014,77
2023-01-06,03,2,6,0.0,82,1014,100
2023-01-06,06,1,8,0.0,98,1014,100
2023-01-06,09,1,12,0.0,95,1016,100
2023-01-06,12,3,16,0.1,79,1018,100
2023-01-06,15,4,13,0.0,64,1018,100
2023-01-06,18,3,13,0.0,78,1021,93
2023-01-06,21,0,10,0.0,83,1023,54
2023-01-07,00,-0,13,0.0,81,1021,49
2023-01-07,03,-1,13,0.0,75,1022,37
2023-01-07,06,-1,12,0.0,74,1022,75
2023-01-07,09,-1,12,0.0,73,1024,100
2023-01-07,12,1,11,0.0,59,1026,61
2023-01-07,15,2,12,0.0,53,1025,15
2023-01-07,18,0,11,0.0,69,1026,43
