date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2023-01-01,00,23,15,0.0,48,1022,7
2023-01-01,03,22,17,0.0,55,1021,10
2023-01-01,06,22,19,0.0,58,1023,6
2023-01-01,09,22,13,0.0,60,1024,2
2023-01-01,12,21,12,0.0,59,1022,0
2023-01-01,15,22,18,0.0,58,1021,3
2023-01-01,18,22,15,0.0,54,1021,4
2023-01-01,21,23,15,0.0,52,1022,6
2023-01-02,00,23,14,0.0,54,1022,6
2023-01-02,03,23,10,0.0,52,1021,5
2023-01-02,06,23,12,0.0,52,1023,4
2023-01-02,09,23,21,0.0,52,1025,6
2023-01-02,12,22,25,0.0,46,1023,14
2023-01-02,15,23,27,0.0,45,1022,47
2023-01-02,18,23,25,0.0,44,1024,47
2023-01-02,21,24,22,0.0,46,1025,22
2023-01-03,00,23,19,0.0,45,1025,50
2023-01-03,03,23,23,0.0,48,1024,29
2023-01-03,06,22,21,0.0,52,1025,36
2023-01-03,09,23,23,0.0,52,1026,27
2023-01-03,12,22,24,0.0,51,1024,20
2023-01-03,15,22,22,0.0,46,1023,13
2023-01-03,18,22,24,0.0,43,1024,7
2023-01-03,21,23,27,0.0,40,1024,34
2023-01-04,00,23,23,0.0,41,1023,8
2023-01-04,03,23,24,0.0,44,1022,11
2023-01-04,06,23,21,0.0,48,1023,30
2023-01-04,09,23,24,0.0,49,1024,20
2023-01-04,12,22,24,0.0,50,1021,6
2023-01-04,15,22,18,0.0,47,1019,10
2023-01-04,18,23,23,0.0,41,1020,6
2023-01-04,21,23,25,0.0,42,1021,8
2023-01-05,00,23,27,0.0,47,1019,48
2023-01-05,03,23,20,0.0,47,1018,25
2023-01-05,06,23,23,0.0,50,1019,16
2023-01-05,09,23,25,0.0,56,1020,15
2023-01-05,12,23,22,0.0,55,1019,36
2023-01-05,15,23,15,0.0,54,1017,28
2023-01-05,18,23,4,0.1,49,1019,71
2023-01-05,21,24,11,0.0,51,1020,17
2023-01-06,00,23,18,0.1,59,1019,81
2023-01-06,03,23,11,0.1,63,1019,71
2023-01-06,06,23,12,0.0,67,1020,73
2023-01-06,09,23,17,0.1,62,1022,61
2023-01-06,12,22,6,0.3,68,1020,68
2023-01-06,15,20,19,0.1,83,1020,84
2023-01-06,18,19,21,0.1,83,1022,100
2023-01-06,21,19,13,1.0,78,1022,74
2023-01-07,00,21,18,0.0,67,1020,89
2023-01-07,03,21,20,0.0,70,1020,67
2023-01-07,06,20,21,0.0,72,1020,82
2023-01-07,09,19,17,0.1,83,1022,83
2023-01-07,12,19,22,1.0,80,1020,88
2023-01-07,15,21,26,1.4,69,1019,96
2023-01-07,18,21,17,0.6,64,1019,78
2023-01-07,21,20,16,0.0,64,1020,59
2023-01-08,00,21,19,0.0,61,1019,8
2023-01-08,03,21,20,0.0,61,1019,22
2023-01-08,06,21,20,0.0,59,1020,10
2023-01-08,09,21,19,0.0,58,1021,14
2023-01-08,12,21,22,0.0,55,1019,10
2023-01-08,15,21,24,0.0,53,1018,7
2023-01-08,18,21,24,0.0,53,1019,4
2023-01-08,21,22,24,0.0,51,1020,5
2023-01-09,00,21,25,0.0,51,1020,2
2023-01-09,03,21,25,0.0,53,1020,3
2023-01-09,06,21,20,0.0,54,1020,4
2023-01-09,09,21,14,0.0,52,1022,0
2023-01-09,12,21,13,0.0,51,1020,4
2023-01-09,15,21,10,0.0,50,1018,7
2023-01-09,18,20,11,0.0,47,1019,3
2023-01-09,21,21,8,0.0,45,1020,6
2023-01-10,00,21,5,0.0,52,1018,10
2023-01-10,03,21,13,0.0,52,1018,19
2023-01-10,06,22,15,0.0,52,1018,30
2023-01-10,09,22,21,0.0,54,1019,19
2023-01-10,12,22,23,0.0,55,1018,63
2023-01-10,15,23,25,0.2,57,1016,81
2023-01-10,18,23,22,0.0,60,1018,71
2023-01-10,21,23,24,0.0,66,1018,54
2023-01-11,00,22,27,0.0,78,1017,98
2023-01-11,03,22,25,0.0,72,1018,85
2023-01-11,06,22,26,0.0,65,1019,36
2023-01-11,09,21,24,0.0,61,1021,2
2023-01-11,12,21,23,0.0,63,1019,44
2023-01-11,15,21,24,0.0,63,1018,36
2023-01-11,18,21,22,0.0,63,1019,39
2023-01-11,21,21,12,0.0,62,1020,33
2023-01-12,00,21,17,0.0,66,1019,59
2023-01-12,03,21,22,0.0,66,1019,66
2023-01-12,06,21,30,0.0,57,1020,84
2023-01-12,09,21,32,0.0,56,1022,86
2023-01-12,12,20,36,0.0,57,1020,0
