date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2023-01-01,00,18,14,0.0,54,1019,4
2023-01-01,03,17,12,0.0,47,1017,4
2023-01-01,06,17,9,0.0,49,1018,0
2023-01-01,09,19,6,0.0,46,1019,0
2023-01-01,12,25,6,0.0,33,1019,3
2023-01-01,15,27,8,0.0,27,1016,0
2023-01-01,18,24,13,0.0,41,1017,0
2023-01-01,21,20,3,0.0,42,1019,0
2023-01-02,00,21,12,0.0,31,1018,0
2023-01-02,03,17,15,0.0,30,1018,0
2023-01-02,06,16,17,0.0,29,1019,0
2023-01-02,09,19,16,0.0,25,1021,0
2023-01-02,12,26,20,0.0,19,1020,0
2023-01-02,15,28,14,0.0,19,1017,0
2023-01-02,18,25,11,0.0,25,1018,0
2023-01-02,21,21,11,0.0,26,1020,0
2023-01-03,00,19,12,0.0,26,1020,0
2023-01-03,03,17,13,0.0,28,1018,66
2023-01-03,06,16,14,0.0,29,1019,60
2023-01-03,09,18,13,0.0,27,1021,32
2023-01-03,12,24,19,0.0,20,1021,5
2023-01-03,15,25,15,0.0,19,1018,100
2023-01-03,18,23,20,0.0,22,1019,100
2023-01-03,21,20,23,0.0,27,1021,5
2023-01-04,00,18,22,0.0,24,1021,3
2023-01-04,03,17,21,0.0,25,1020,3
2023-01-04,06,15,22,0.0,24,1021,0
2023-01-04,09,17,21,0.0,21,1023,0
2023-01-04,12,23,26,0.0,14,1022,0
2023-01-04,15,25,26,0.0,13,1019,0
2023-01-04,18,22,21,0.0,17,1019,0
2023-01-04,21,18,19,0.0,18,1021,0
2023-01-05,00,16,18,0.0,20,1021,11
2023-01-05,03,15,19,0.0,21,1020,0
2023-01-05,06,14,20,0.0,21,1021,0
2023-01-05,09,16,21,0.0,19,1023,0
2023-01-05,12,23,31,0.0,13,1022,0
2023-01-05,15,24,32,0.0,12,1019,0
2023-01-05,18,22,23,0.0,15,1020,2
2023-01-05,21,18,20,0.0,16,1022,1
2023-01-06,00,17,21,0.0,18,1021,0
2023-01-06,03,17,22,0.0,18,1020,2
2023-01-06,06,16,22,0.0,20,1021,0
2023-01-06,09,18,23,0.0,18,1023,8
2023-01-06,12,23,31,0.0,12,1022,7
2023-01-06,15,26,25,0.0,12,1019,0
2023-01-06,18,23,21,0.0,14,1020,0
2023-01-06,21,18,21,0.0,16,1021,2
2023-01-07,00,17,20,0.0,18,1020,1
2023-01-07,03,16,20,0.0,18,1019,5
2023-01-07,06,16,19,0.0,18,1019,9
2023-01-07,09,18,17,0.0,16,1021,5
2023-01-07,12,25,20,0.0,12,1021,10
2023-01-07,15,27,14,0.0,12,1017,7
2023-01-07,18,24,11,0.0,16,1017,13
2023-01-07,21,19,15,0.0,16,1019,18
2023-01-08,00,18,13,0.0,15,1019,19
2023-01-08,03,17,13,0.0,15,1017,0
2023-01-08,06,16,13,0.0,15,1018,0
2023-01-08,09,18,14,0.0,13,1020,2
2023-01-08,12,25,8,0.0,9,1019,0
2023-01-08,15,27,6,0.0,12,1016,2
2023-01-08,18,23,9,0.0,30,1017,3
2023-01-08,21,21,7,0.0,42,1019,0
2023-01-09,00,18,12,0.0,46,1018,0
2023-01-09,03,17,9,0.0,50,1017,0
2023-01-09,06,16,8,0.0,53,1018,3
2023-01-09,09,19,6,0.0,44,1020,3
2023-01-09,12,25,2,0.0,36,1020,0
2023-01-09,15,27,7,0.0,38,1017,0
2023-01-09,18,24,11,0.0,48,1017,2
2023-01-09,21,21,6,0.0,55,1019,3
2023-01-10,00,19,8,0.0,52,1019,4
2023-01-10,03,18,9,0.0,58,1018,3
2023-01-10,06,17,8,0.0,60,1018,2
2023-01-10,09,20,8,0.0,46,1021,0
2023-01-10,12,26,5,0.0,35,1020,3
2023-01-10,15,27,4,0.0,35,1016,2
2023-01-10,18,25,10,0.0,55,1016,9
2023-01-10,21,21,12,0.0,67,1018,21
2023-01-11,00,20,14,0.0,76,1017,3
2023-01-11,03,19,11,0.0,82,1016,0
2023-01-11,06,19,12,0.0,83,1016,0
2023-01-11,09,21,17,0.0,75,1017,0
2023-01-11,12,27,32,0.0,57,1016,5
2023-01-11,15,27,30,0.0,55,1013,5
2023-01-11,18,25,24,0.0,67,1013,6
2023-01-11,21,23,23,0.0,70,1015,4
2023-01-12,00,21,22,0.0,44,1014,8
2023-01-12,03,18,23,0.0,43,1013,3
2023-01-12,06,16,22,0.0,40,1013,0
2023-01-12,09,17,23,0.0,35,1015,0
2023-01-12,12,23,17,0.0,24,1015,0
2023-01-12,15,25,18,0.0,21,1012,0
2023-01-12,18,22,21,0.0,26,1012,0
2023-01-12,21,19,13,0.0,37,1014,0
2023-01-13,00,16,16,0.0,29,1014,0
2023-01-13,03,14,18,0.0,24,1014,0
2023-01-13,06,13,15,0.0,22,1014,0
2023-01-13,09,14,14,0.0,17,1017,0
2023-01-13,12,21,10,0.0,11,1017,0
2023-01-13,15,24,10,0.0,10,1014,0
2023-01-13,18,21,10,0.0,11,1015,0
2023-01-13,21,18,18,0.0,17,1017,0
2023-01-14,00,14,15,0.0,11,1017,0
2023-01-14,03,13,14,0.0,15,1016,0
2023-01-14,06,12,15,0.0,15,1017,0
2023-01-14,09,14,15,0.0,11,1019,0
2023-01-14,12,21,17,0.0,7,1019,3
2023-01-14,15,23,15,0.0,6,1016,3
2023-01-14,18,21,12,0.0,11,1017,0
2023-01-14,21,16,14,0.0,12,1019,0
2023-01-15,00,14,16,0.0,16,1019,0
2023-01-15,03,12,15,0.0,17,1018,0
2023-01-15,06,11,13,0.0,17,1018,2
2023-01-15,09,14,10,0.0,17,1020,19
2023-01-15,12,20,4,0.0,12,1018,4
2023-01-15,15,22,12,0.0,11,1015,0
2023-01-15,18,20,17,0.0,25,1015,0
2023-01-15,21,17,10,0.0,37,1016,0
2023-01-16,00,16,8,0.0,45,1015,0
2023-01-16,03,14,6,0.0,45,1014,0
2023-01-16,06,12,8,0.0,40,1014,0
2023-01-16,09,15,10,0.0,23,1016,0
2023-01-16,12,21,14,0.0,11,1016,0
2023-01-16,15,24,8,0.0,11,1013,0
2023-01-16,18,22,7,0.0,17,1014,0
2023-01-16,21,18,12,0.0,16,1016,0
2023-01-17,00,16,9,0.0,15,1016,0
2023-01-17,03,15,11,0.0,18,1015,0
2023-01-17,06,14,12,0.0,19,1015,0
2023-01-17,09,16,11,0.0,16,1017,0
2023-01-17,12,23,8,0.0,11,1017,0
2023-01-17,15,25,3,0.0,11,1013,0
2023-01-17,18,23,7,0.0,20,1013,0
2023-01-17,21,19,10,0.0,27,1015,0
2023-01-18,00,16,8,0.0,28,1015,0
2023-01-18,03,15,5,0.0,29,1014,0
2023-01-18,06,14,8,0.0,30,1014,15
2023-01-18,09,17,8,0.0,28,1016,13
2023-01-18,12,24,9,0.0,26,1016,4
2023-01-18,15,24,15,0.0,31,1013,3
2023-01-18,18,22,8,0.0,31,1014,2
2023-01-18,21,19,10,0.0,43,1015,3
2023-01-19,00,18,12,0.0,16,1017,11
2023-01-19,03,17,17,0.0,16,1016,13
2023-01-19,06,15,21,0.0,19,1016,17
2023-01-19,09,17,24,0.0,19,1018,10
2023-01-19,12,25,25,0.0,15,1017,8
2023-01-19,15,26,20,0.0,15,1015,12
2023-01-19,18,22,28,0.0,17,1015,11
2023-01-19,21,18,26,0.0,24,1017,19
2023-01-20,00,16,23,0.0,29,1017,23
2023-01-20,03,15,21,0.0,35,1016,26
2023-01-20,06,15,16,0.0,38,1016,9
2023-01-20,09,16,14,0.0,35,1018,2
2023-01-20,12,21,11,0.0,24,1018,7
2023-01-20,15,23,12,0.0,26,1015,9
2023-01-20,18,21,11,0.0,41,1015,9
2023-01-20,21,19,13,0.0,51,1017,5
2023-01-21,00,16,8,0.0,41,1017,10
2023-01-21,03,15,13,0.0,43,1016,0
2023-01-21,06,14,15,0.0,45,1017,0
2023-01-21,09,16,17,0.0,38,1019,0
2023-01-21,12,22,17,0.0,27,1018,0
2023-01-21,15,23,10,0.0,22,1015,4
2023-01-21,18,22,8,0.0,26,1016,3
2023-01-21,21,18,12,0.0,28,1017,0
2023-01-22,00,15,13,0.0,33,1018,2
2023-01-22,03,14,15,0.0,36,1017,0
2023-01-22,06,13,16,0.0,38,1017,0
2023-01-22,09,16,17,0.0,33,1019,0
2023-01-22,12,22,17,0.0,23,1019,0
2023-01-22,15,23,10,0.0,20,1015,3
2023-01-22,18,22,8,0.0,27,1016,3
2023-01-22,21,18,8,0.0,31,1017,3
2023-01-23,00,16,12,0.0,32,1017,2
2023-01-23,03,14,13,0.0,35,1017,0
2023-01-23,06,14,14,0.0,37,1017,0
2023-01-23,09,16,15,0.0,32,1019,0
2023-01-23,12,22,15,0.0,21,1018,0
2023-01-23,15,23,9,0.0,18,1015,1
2023-01-23,18,22,10,0.0,25,1015,0
2023-01-23,21,17,11,0.0,24,1017,0
2023-01-24,00,15,12,0.0,22,1017,0
2023-01-24,03,13,13,0.0,24,1016,0
2023-01-24,06,13,13,0.0,25,1016,0
2023-01-24,09,15,13,0.0,21,1018,0
2023-01-24,12,21,6,0.0,17,1018,0
2023-01-24,15,23,4,0.0,17,1014,0
2023-01-24,18,21,12,0.0,25,1015,0
2023-01-24,21,17,10,0.0,25,1017,0
2023-01-25,00,15,9,0.0,24,1016,0
2023-01-25,03,14,9,0.0,24,1016,0
2023-01-25,06,12,11,0.0,24,1016,0
2023-01-25,09,14,12,0.0,24,1018,0
2023-01-25,12,20,12,0.0,18,1018,0
2023-01-25,15,22,3,0.0,16,1015,0
2023-01-25,18,21,6,0.0,23,1016,0
2023-01-25,21,17,10,0.0,27,1018,0
2023-01-26,00,15,14,0.0,20,1018,0
2023-01-26,03,14,17,0.0,20,1018,0
2023-01-26,06,13,18,0.0,21,1018,0
2023-01-26,09,15,19,0.0,19,1021,0
2023-01-26,12,22,26,0.0,12,1021,0
2023-01-26,15,24,24,0.0,11,1017,0
2023-01-26,18,21,23,0.0,13,1018,2
2023-01-26,21,17,22,0.0,15,1020,1
2023-01-27,00,15,21,0.0,17,1019,0
2023-01-27,03,15,21,0.0,19,1019,3
2023-01-27,06,13,18,0.0,19,1019,11
2023-01-27,09,15,21,0.0,17,1021,12
2023-01-27,12,22,26,0.0,11,1020,6
2023-01-27,15,24,26,0.0,11,1017,0
2023-01-27,18,21,19,0.0,13,1017,0
2023-01-27,21,17,17,0.0,15,1019,0
2023-01-28,00,15,18,0.0,16,1017,0
2023-01-28,03,15,21,0.0,16,1017,0
2023-01-28,06,14,19,0.0,15,1017,0
2023-01-28,09,16,12,0.0,13,1018,0
2023-01-28,12,23,15,0.0,9,1017,2
2023-01-28,15,25,14,0.0,13,1013,4
2023-01-28,18,23,20,0.0,35,1013,3
2023-01-28,21,18,17,0.0,45,1014,4
2023-01-29,00,16,13,0.0,35,1013,19
2023-01-29,03,15,12,0.0,44,1012,9
2023-01-29,06,14,12,0.0,48,1012,13
2023-01-29,09,16,8,0.0,39,1014,10
2023-01-29,12,23,9,0.0,36,1014,8
2023-01-29,15,25,19,0.0,38,1011,13
2023-01-29,18,23,20,0.0,44,1012,0
2023-01-29,21,20,15,0.0,47,1014,0
2023-01-30,00,18,16,0.0,55,1014,0
2023-01-30,03,17,8,0.0,54,1014,0
2023-01-30,06,15,14,0.0,43,1015,0
2023-01-30,09,17,15,0.0,37,1018,0
2023-01-30,12,25,11,0.0,25,1018,0
2023-01-30,15,26,8,0.0,21,1016,0
2023-01-30,18,24,10,0.0,26,1016,0
2023-01-30,21,20,15,0.0,29,1018,0
2023-01-31,00,18,14,0.0,33,1018,0
2023-01-31,03,16,12,0.0,33,1018,0
2023-01-31,06,15,15,0.0,34,1019,0
2023-01-31,09,19,14,0.0,30,1021,0
2023-01-31,12,24,22,0.0,21,1020,0
2023-01-31,15,27,20,0.0,19,1018,0
2023-01-31,18,25,15,0.0,22,1018,0
2023-01-31,21,20,12,0.0,25,1020,0
2023-02-01,00,18,15,0.0,27,1019,0
2023-02-01,03,17,16,0.0,28,1019,0
2023-02-01,06,16,17,0.0,28,1019,0
2023-02-01,09,19,18,0.0,25,1021,0
2023-02-01,12,25,21,0.0,18,1020,0
2023-02-01,15,26,17,0.0,16,1017,0
2023-02-01,18,25,12,0.0,18,1017,0
2023-02-01,21,21,11,0.0,23,1018,0
2023-02-02,00,18,13,0.0,31,1017,0
2023-02-02,03,17,9,0.0,29,1016,0
2023-02-02,06,16,9,0.0,30,1016,0
2023-02-02,09,19,10,0.0,27,1019,0
2023-02-02,12,26,8,0.0,23,1018,0
2023-02-02,15,28,9,0.0,24,1015,0
