date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2023-01-01,00,17,3,0.0,45,1017,4
2023-01-01,03,16,6,0.0,50,1017,4
2023-01-01,06,15,5,0.0,54,1019,4
2023-01-01,09,23,7,0.0,34,1020,4
2023-01-01,12,27,6,0.0,24,1017,5
2023-01-01,15,27,8,0.0,24,1015,6
2023-01-01,18,22,11,0.0,35,1017,5
2023-01-01,21,19,9,0.0,40,1018,4
2023-01-02,00,17,8,0.0,47,1018,2
2023-01-02,03,16,5,0.0,51,1017,3
2023-01-02,06,15,5,0.0,53,1019,3
2023-01-02,09,23,7,0.0,33,1020,3
2023-01-02,12,27,6,0.0,26,1017,4
2023-01-02,15,27,10,0.0,25,1015,6
2023-01-02,18,22,10,0.0,36,1017,4
2023-01-02,21,19,8,0.0,42,1019,0
2023-01-03,00,18,7,0.0,47,1017,0
2023-01-03,03,16,7,0.0,52,1017,0
2023-01-03,06,15,6,0.0,54,1018,2
2023-01-03,09,22,5,0.0,32,1020,2
2023-01-03,12,27,11,0.0,24,1017,0
2023-01-03,15,25,17,0.0,24,1015,0
2023-01-03,18,22,11,0.0,36,1016,0
2023-01-03,21,18,9,0.0,41,1017,0
2023-01-04,00,17,11,0.0,38,1017,0
2023-01-04,03,15,11,0.0,43,1016,0
2023-01-04,06,14,10,0.0,50,1018,0
2023-01-04,09,21,13,0.0,32,1020,0
2023-01-04,12,26,14,0.0,24,1016,0
2023-01-04,15,25,17,0.0,23,1015,0
2023-01-04,18,21,9,0.0,33,1016,0
2023-01-04,21,17,7,0.0,36,1017,0
2023-01-05,00,15,13,0.0,41,1017,0
2023-01-05,03,14,12,0.0,45,1017,0
2023-01-05,06,13,12,0.0,50,1019,3
2023-01-05,09,20,15,0.0,32,1021,4
2023-01-05,12,26,19,0.0,22,1017,3
2023-01-05,15,26,17,0.0,23,1015,2
2023-01-05,18,20,14,0.0,33,1017,0
2023-01-05,21,16,13,0.0,36,1019,0
2023-01-06,00,14,14,0.0,41,1018,0
2023-01-06,03,13,13,0.0,47,1017,0
2023-01-06,06,12,13,0.0,51,1019,0
2023-01-06,09,19,19,0.0,32,1020,0
2023-01-06,12,26,19,0.0,23,1017,0
2023-01-06,15,25,17,0.0,20,1015,0
2023-01-06,18,20,9,0.0,33,1017,0
2023-01-06,21,16,13,0.0,40,1018,0
2023-01-07,00,15,14,0.0,48,1017,0
2023-01-07,03,14,13,0.0,53,1016,0
2023-01-07,06,13,12,0.0,55,1018,0
2023-01-07,09,20,15,0.0,32,1019,0
2023-01-07,12,24,18,0.0,24,1016,0
2023-01-07,15,25,17,0.0,22,1013,0
2023-01-07,18,20,10,0.0,35,1015,0
2023-01-07,21,17,12,0.0,40,1016,0
2023-01-08,00,15,14,0.0,39,1015,0
2023-01-08,03,14,12,0.0,41,1015,0
2023-01-08,06,13,12,0.0,43,1016,0
2023-01-08,09,20,13,0.0,26,1018,0
2023-01-08,12,26,15,0.0,21,1015,0
2023-01-08,15,26,16,0.0,21,1013,0
2023-01-08,18,21,12,0.0,33,1015,0
2023-01-08,21,17,10,0.0,35,1017,0
2023-01-09,00,16,13,0.0,38,1016,0
2023-01-09,03,14,13,0.0,37,1016,0
2023-01-09,06,13,11,0.0,37,1017,0
2023-01-09,09,21,13,0.0,22,1019,0
2023-01-09,12,27,14,0.0,14,1016,0
2023-01-09,15,28,13,0.0,13,1014,0
2023-01-09,18,21,9,0.0,21,1015,0
2023-01-09,21,18,9,0.0,25,1017,0
2023-01-10,00,17,10,0.0,37,1016,0
2023-01-10,03,15,12,0.0,38,1015,0
2023-01-10,06,14,12,0.0,39,1017,0
2023-01-10,09,21,13,0.0,24,1018,0
2023-01-10,12,26,16,0.0,18,1015,0
2023-01-10,15,27,11,0.0,18,1013,0
2023-01-10,18,22,9,0.0,26,1014,0
2023-01-10,21,17,10,0.0,28,1015,0
2023-01-11,00,15,12,0.0,29,1014,0
2023-01-11,03,14,11,0.0,35,1014,0
2023-01-11,06,13,10,0.0,43,1016,0
2023-01-11,09,21,12,0.0,31,1017,0
2023-01-11,12,27,14,0.0,20,1013,0
2023-01-11,15,27,10,0.0,19,1011,0
2023-01-11,18,21,8,0.0,29,1012,0
2023-01-11,21,17,8,0.0,38,1014,0
2023-01-12,00,15,5,0.0,40,1013,0
2023-01-12,03,13,8,0.0,44,1012,0
2023-01-12,06,12,9,0.0,44,1013,0
2023-01-12,09,21,8,0.0,26,1015,0
2023-01-12,12,27,12,0.0,18,1012,0
2023-01-12,15,28,10,0.0,18,1010,0
2023-01-12,18,23,6,0.0,27,1011,0
2023-01-12,21,17,10,0.0,33,1013,0
2023-01-13,00,16,6,0.0,39,1012,0
2023-01-13,03,14,6,0.0,46,1012,0
2023-01-13,06,13,2,0.0,50,1014,0
2023-01-13,09,23,6,0.0,40,1016,0
2023-01-13,12,29,9,0.0,33,1012,0
2023-01-13,15,30,8,0.0,27,1010,1
2023-01-13,18,24,7,0.0,38,1011,0
2023-01-13,21,19,7,0.0,57,1013,0
2023-01-14,00,18,10,0.0,77,1012,0
2023-01-14,03,16,8,0.0,85,1012,0
2023-01-14,06,16,1,0.0,83,1013,0
2023-01-14,09,23,5,0.0,53,1014,0
2023-01-14,12,29,11,0.0,37,1011,0
2023-01-14,15,30,9,0.0,27,1009,7
2023-01-14,18,24,6,0.0,42,1010,4
2023-01-14,21,21,7,0.0,65,1012,1
2023-01-15,00,19,5,0.0,83,1012,4
2023-01-15,03,18,7,0.0,76,1011,5
2023-01-15,06,17,8,0.0,54,1013,5
2023-01-15,09,25,12,0.0,33,1014,4
2023-01-15,12,29,12,0.0,27,1011,4
2023-01-15,15,28,13,0.0,26,1009,8
2023-01-15,18,23,9,0.0,39,1011,8
2023-01-15,21,21,10,0.0,45,1012,7
2023-01-16,00,18,9,0.0,51,1012,12
2023-01-16,03,16,12,0.0,50,1012,11
2023-01-16,06,15,11,0.0,51,1014,10
2023-01-16,09,22,13,0.0,32,1016,6
2023-01-16,12,26,9,0.0,27,1013,6
2023-01-16,15,27,9,0.0,28,1011,5
2023-01-16,18,22,9,0.0,39,1012,3
2023-01-16,21,19,10,0.0,44,1013,3
2023-01-17,00,16,5,0.0,49,1014,5
2023-01-17,03,16,10,0.0,49,1013,5
2023-01-17,06,15,10,0.0,40,1014,3
2023-01-17,09,21,11,0.0,26,1016,3
2023-01-17,12,27,6,0.0,26,1013,3
2023-01-17,15,27,3,0.0,26,1011,3
2023-01-17,18,22,10,0.0,37,1012,4
2023-01-17,21,18,5,0.0,43,1014,7
2023-01-18,00,17,3,0.0,54,1014,6
2023-01-18,03,17,4,0.0,60,1013,6
2023-01-18,06,16,10,0.0,54,1015,4
2023-01-18,09,22,9,0.0,39,1017,7
2023-01-18,12,27,5,0.0,39,1014,11
2023-01-18,15,27,6,0.0,36,1012,14
