date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2023-01-01,00,13,27,0.2,79,1006,99
2023-01-01,03,11,27,0.0,80,1007,100
2023-01-01,06,11,23,0.0,77,1008,100
2023-01-01,09,10,23,0.0,75,1010,61
2023-01-01,12,11,22,0.1,72,1012,56
2023-01-01,15,11,22,0.0,74,1013,69
2023-01-01,18,10,18,0.3,79,1013,56
2023-01-01,21,10,11,0.9,82,1013,100
2023-01-02,00,8,12,0.3,82,1016,100
2023-01-02,03,7,8,0.0,77,1015,100
2023-01-02,06,7,10,0.0,75,1016,100
2023-01-02,09,7,8,0.0,76,1018,85
2023-01-02,12,8,12,0.0,71,1019,65
2023-01-02,15,9,10,0.0,72,1020,33
2023-01-02,18,6,9,0.0,83,1023,83
2023-01-02,21,5,9,0.0,77,1026,79
2023-01-03,00,3,6,0.0,78,1024,26
2023-01-03,03,4,12,0.0,90,1023,100
2023-01-03,06,6,19,0.0,91,1021,100
2023-01-03,09,9,25,0.1,86,1021,100
2023-01-03,12,10,23,0.5,90,1020,100
2023-01-03,15,11,27,0.3,89,1019,100
2023-01-03,18,11,27,0.6,87,1018,100
2023-01-03,21,12,31,0.3,89,1016,100
2023-01-04,00,12,30,0.0,91,1015,100
2023-01-04,03,12,31,0.7,85,1014,100
2023-01-04,06,12,32,0.1,88,1013,100
2023-01-04,09,13,29,0.4,87,1013,100
2023-01-04,12,13,28,0.0,80,1014,76
2023-01-04,15,13,26,0.0,71,1015,41
2023-01-04,18,12,24,0.0,75,1016,67
2023-01-04,21,11,23,0.0,78,1018,81
2023-01-05,00,11,21,0.0,78,1019,100
2023-01-05,03,11,17,0.0,78,1019,100
2023-01-05,06,10,15,0.0,86,1019,100
2023-01-05,09,10,12,0.0,86,1018,47
2023-01-05,12,13,19,0.0,82,1018,59
2023-01-05,15,13,23,0.0,75,1016,78
2023-01-05,18,13,25,0.0,74,1015,79
2023-01-05,21,13,27,0.0,72,1013,89
2023-01-06,00,12,29,0.0,82,1016,100
2023-01-06,03,9,19,0.5,84,1017,65
2023-01-06,06,8,17,0.0,85,1018,55
2023-01-06,09,7,11,0.0,86,1019,17
2023-01-06,12,9,11,0.0,77,1020,48
2023-01-06,15,10,14,0.0,86,1018,100
2023-01-06,18,9,17,0.1,91,1015,53
2023-01-06,21,10,21,0.0,92,1012,100
2023-01-07,00,12,27,0.0,83,1009,100
2023-01-07,03,12,31,0.0,80,1007,100
2023-01-07,06,12,32,0.0,79,1004,100
2023-01-07,09,11,32,0.4,85,1002,100
2023-01-07,12,11,23,0.6,85,1001,100
2023-01-07,15,10,22,0.3,84,1000,78
2023-01-07,18,10,23,0.2,76,1000,86
2023-01-07,21,9,23,0.0,80,999,100
2023-01-08,00,7,20,0.0,76,999,18
2023-01-08,03,7,19,0.0,77,998,26
2023-01-08,06,7,18,0.0,80,997,10
2023-01-08,09,7,16,0.0,83,997,100
2023-01-08,12,8,23,0.3,82,995,100
2023-01-08,15,8,23,0.1,76,993,96
