date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2023-01-01,00,8,5,0.0,55,1027,11
2023-01-01,03,8,5,0.0,53,1027,18
2023-01-01,06,6,6,0.0,53,1026,17
2023-01-01,09,7,6,0.0,51,1026,17
2023-01-01,12,12,5,0.0,36,1026,15
2023-01-01,15,15,7,0.0,28,1022,19
2023-01-01,18,12,2,0.0,40,1022,25
2023-01-01,21,10,8,0.0,49,1022,47
2023-01-02,00,10,13,0.0,77,1023,65
2023-01-02,03,9,11,0.1,84,1022,100
2023-01-02,06,9,10,0.0,93,1022,77
2023-01-02,09,10,8,0.1,94,1024,93
2023-01-02,12,13,4,0.0,72,1025,82
2023-01-02,15,14,9,0.0,49,1024,14
2023-01-02,18,12,9,0.0,57,1025,12
2023-01-02,21,9,3,0.0,66,1027,25
2023-01-03,00,8,8,0.0,73,1028,21
2023-01-03,03,6,9,0.0,75,1029,22
2023-01-03,06,6,10,0.0,74,1029,20
2023-01-03,09,5,8,0.0,74,1030,13
2023-01-03,12,11,8,0.0,59,1031,7
2023-01-03,15,13,6,0.0,50,1029,10
2023-01-03,18,12,6,0.0,59,1029,11
2023-01-03,21,9,6,0.0,65,1031,17
2023-01-04,00,5,8,0.0,66,1033,0
2023-01-04,03,3,7,0.0,70,1033,0
2023-01-04,06,3,7,0.0,70,1033,2
2023-01-04,09,2,7,0.0,69,1034,2
2023-01-04,12,10,6,0.0,49,1034,8
2023-01-04,15,13,3,0.0,37,1031,2
2023-01-04,18,11,4,0.0,43,1031,5
2023-01-04,21,8,7,0.0,44,1033,6
2023-01-05,00,4,8,0.0,49,1033,2
2023-01-05,03,3,8,0.0,50,1032,4
2023-01-05,06,2,7,0.0,49,1032,8
2023-01-05,09,2,7,0.0,50,1032,3
2023-01-05,12,10,5,0.0,39,1031,5
2023-01-05,15,13,3,0.0,34,1027,7
2023-01-05,18,11,4,0.0,41,1027,4
2023-01-05,21,8,2,0.0,44,1027,4
2023-01-06,00,7,1,0.0,59,1028,0
2023-01-06,03,5,3,0.0,63,1027,0
2023-01-06,06,3,4,0.0,68,1028,0
2023-01-06,09,2,3,0.0,69,1028,0
2023-01-06,12,9,1,0.0,52,1028,2
2023-01-06,15,12,7,0.0,41,1025,9
2023-01-06,18,10,8,0.0,48,1025,0
2023-01-06,21,6,6,0.0,58,1027,0
2023-01-07,00,6,6,0.0,61,1026,0
2023-01-07,03,3,6,0.0,69,1026,0
2023-01-07,06,2,6,0.0,78,1026,0
2023-01-07,09,3,6,0.0,84,1026,6
2023-01-07,12,7,10,0.1,71,1027,81
