date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2023-01-01,00,-2,15,0.1,92,1017,100
2023-01-01,03,1,16,0.2,97,1016,100
2023-01-01,06,1,15,0.1,100,1014,100
2023-01-01,09,2,19,0.0,100,1012,100
2023-01-01,12,2,18,0.1,100,1010,100
2023-01-01,15,2,18,0.1,100,1007,100
2023-01-01,18,4,22,0.0,100,1006,100
2023-01-01,21,4,26,0.1,100,1007,100
2023-01-02,00,3,15,0.3,92,1012,100
2023-01-02,03,1,14,1.2,96,1012,92
2023-01-02,06,0,16,0.0,98,1012,100
2023-01-02,09,-0,18,0.0,96,1012,91
2023-01-02,12,-1,16,0.0,92,1013,82
2023-01-02,15,-1,15,0.0,90,1014,62
2023-01-02,18,-3,16,0.0,93,1015,64
2023-01-02,21,-3,13,0.0,92,1015,98
2023-01-03,00,-5,10,0.0,91,1019,100
2023-01-03,03,-4,5,0.0,93,1018,100
2023-01-03,06,-4,2,0.2,94,1017,100
2023-01-03,09,-3,8,1.3,96,1015,52
2023-01-03,12,-3,13,0.7,95,1013,70
2023-01-03,15,-1,17,0.2,97,1009,100
2023-01-03,18,1,18,0.0,97,1007,100
2023-01-03,21,-0,14,0.4,97,1006,100
2023-01-04,00,-0,23,0.2,92,1003,100
2023-01-04,03,-2,19,0.1,94,1005,100
2023-01-04,06,-4,23,0.1,94,1009,100
2023-01-04,09,-7,15,0.0,93,1014,59
2023-01-04,12,-7,11,0.0,93,1017,62
2023-01-04,15,-6,8,0.0,94,1017,58
2023-01-04,18,-6,9,0.0,96,1016,90
2023-01-04,21,-4,13,0.2,96,1014,100
2023-01-05,00,-5,15,0.1,96,1014,100
2023-01-05,03,-5,8,0.1,97,1012,100
2023-01-05,06,-6,5,0.1,97,1010,100
2023-01-05,09,-7,4,0.0,97,1008,100
2023-01-05,12,-6,11,0.0,95,1006,100
2023-01-05,15,-8,15,0.0,95,1004,100
2023-01-05,18,-10,19,0.0,94,1003,100
2023-01-05,21,-12,20,0.0,94,1004,100
2023-01-06,00,-19,13,0.0,97,1012,81
2023-01-06,03,-21,13,0.0,96,1014,75
2023-01-06,06,-24,13,0.0,95,1016,76
2023-01-06,09,-25,12,0.0,96,1019,85
2023-01-06,12,-22,12,0.0,93,1020,71
2023-01-06,15,-22,12,0.0,93,1022,72
2023-01-06,18,-23,10,0.0,96,1024,83
2023-01-06,21,-24,9,0.0,97,1025,93
2023-01-07,00,-25,8,0.0,97,1028,88
2023-01-07,03,-26,7,0.0,97,1029,86
2023-01-07,06,-26,7,0.0,97,1030,85
2023-01-07,09,-26,6,0.0,97,1032,75
2023-01-07,12,-23,6,0.0,93,1032,72
2023-01-07,15,-22,5,0.0,94,1033,60
2023-01-07,18,-24,6,0.0,99,1034,47
2023-01-07,21,-25,6,0.0,98,1034,18
2023-01-08,00,-25,7,0.0,99,1036,25
2023-01-08,03,-25,9,0.0,99,1037,23
2023-01-08,06,-24,5,0.0,99,1036,14
2023-01-08,09,-25,5,0.0,99,1036,6
2023-01-08,12,-19,5,0.0,88,1035,19
2023-01-08,15,-17,3,0.0,94,1035,27
2023-01-08,18,-21,5,0.0,98,1035,44
2023-01-08,21,-23,5,0.0,99,1035,5
2023-01-09,00,-21,5,0.0,98,1035,11
2023-01-09,03,-22,6,0.0,99,1036,8
2023-01-09,06,-23,6,0.0,99,1036,20
2023-01-09,09,-22,9,0.0,98,1036,13
2023-01-09,12,-16,12,0.0,91,1036,9
2023-01-09,15,-15,16,0.0,91,1035,30
2023-01-09,18,-15,18,0.0,92,1036,46
2023-01-09,21,-16,18,0.0,92,1036,44
2023-01-10,00,-16,21,0.0,88,1036,100
2023-01-10,03,-15,21,0.0,87,1036,45
2023-01-10,06,-15,22,0.0,86,1035,100
2023-01-10,09,-14,22,0.0,84,1036,48
2023-01-10,12,-12,23,0.1,82,1036,100
2023-01-10,15,-10,24,0.0,81,1035,100
2023-01-10,18,-11,23,0.0,80,1036,95
2023-01-10,21,-12,24,0.0,80,1035,100
2023-01-11,00,-12,20,0.0,82,1040,57
2023-01-11,03,-12,19,0.0,80,1040,99
2023-01-11,06,-12,19,0.0,79,1039,100
2023-01-11,09,-12,21,0.0,78,1039,100
2023-01-11,12,-11,21,0.0,77,1038,100
2023-01-11,15,-10,20,0.1,76,1037,100
2023-01-11,18,-10,19,0.2,86,1037,100
2023-01-11,21,-9,20,0.0,86,1036,55
2023-01-12,00,-9,17,0.0,88,1034,89
2023-01-12,03,-9,16,0.0,87,1034,73
2023-01-12,06,-10,16,0.0,87,1034,92
2023-01-12,09,-10,17,0.0,88,1033,46
2023-01-12,12,-8,18,0.0,86,1033,12
2023-01-12,15,-8,17,0.0,84,1032,6
2023-01-12,18,-8,16,0.0,88,1032,10
2023-01-12,21,-10,15,0.0,90,1032,19
2023-01-13,00,-7,19,0.0,88,1026,100
2023-01-13,03,-8,18,0.0,89,1025,76
2023-01-13,06,-7,19,0.0,89,1025,100
2023-01-13,09,-7,19,0.0,89,1024,67
2023-01-13,12,-6,20,0.0,88,1024,23
2023-01-13,15,-5,21,0.0,88,1023,39
2023-01-13,18,-5,18,0.0,91,1023,75
2023-01-13,21,-6,17,0.0,93,1024,63
2023-01-14,00,-5,15,0.0,92,1025,83
2023-01-14,03,-6,14,0.0,92,1025,62
2023-01-14,06,-5,15,0.0,93,1024,77
2023-01-14,09,-5,17,0.0,93,1025,88
