date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2023-01-01,00,20,5,0.0,47,1015,0
2023-01-01,03,18,4,0.0,48,1014,0
2023-01-01,06,18,4,0.0,50,1016,2
2023-01-01,09,23,6,0.0,37,1018,3
2023-01-01,12,31,6,0.0,24,1016,0
2023-01-01,15,32,11,0.0,21,1013,6
2023-01-01,18,27,9,0.0,34,1014,5
2023-01-01,21,22,8,0.0,42,1016,0
2023-01-02,00,20,5,0.0,44,1016,0
2023-01-02,03,18,5,0.0,45,1014,0
2023-01-02,06,17,5,0.0,41,1015,0
2023-01-02,09,23,7,0.0,28,1017,0
2023-01-02,12,33,6,0.0,20,1015,0
2023-01-02,15,34,9,0.0,20,1012,0
2023-01-02,18,28,10,0.0,35,1014,0
2023-01-02,21,24,5,0.0,44,1016,0
2023-01-03,00,21,5,0.0,47,1015,0
2023-01-03,03,19,5,0.0,48,1014,0
2023-01-03,06,18,4,0.0,48,1015,0
2023-01-03,09,24,5,0.0,35,1017,0
2023-01-03,12,32,8,0.0,24,1015,0
2023-01-03,15,34,12,0.0,22,1012,0
2023-01-03,18,27,9,0.0,36,1013,0
2023-01-03,21,23,6,0.0,41,1016,0
2023-01-04,00,20,5,0.0,47,1015,0
2023-01-04,03,20,4,0.0,49,1013,0
2023-01-04,06,18,4,0.0,51,1014,0
2023-01-04,09,24,3,0.0,39,1016,0
2023-01-04,12,31,8,0.0,26,1014,0
2023-01-04,15,33,15,0.0,26,1011,0
2023-01-04,18,28,7,0.0,39,1012,0
2023-01-04,21,23,4,0.0,47,1015,0
2023-01-05,00,22,4,0.0,51,1014,6
2023-01-05,03,21,4,0.0,53,1013,7
2023-01-05,06,21,4,0.0,52,1014,9
2023-01-05,09,26,6,0.0,39,1016,9
2023-01-05,12,33,7,0.0,31,1014,8
2023-01-05,15,34,12,0.0,33,1012,8
2023-01-05,18,27,8,0.0,47,1014,7
2023-01-05,21,24,3,0.0,53,1016,7
2023-01-06,00,23,3,0.0,57,1015,8
2023-01-06,03,22,3,0.0,58,1014,10
2023-01-06,06,20,4,0.0,58,1015,7
2023-01-06,09,27,5,0.0,44,1018,8
2023-01-06,12,33,7,0.0,32,1016,7
2023-01-06,15,34,9,0.0,31,1013,10
2023-01-06,18,28,10,0.0,47,1014,8
2023-01-06,21,25,4,0.0,54,1017,44
2023-01-07,00,25,5,0.0,51,1015,44
2023-01-07,03,23,5,0.0,54,1014,27
2023-01-07,06,23,5,0.0,59,1015,7
2023-01-07,09,28,8,0.0,44,1017,6
2023-01-07,12,34,10,0.0,26,1015,7
2023-01-07,15,35,5,0.0,24,1012,10
2023-01-07,18,28,12,0.0,41,1013,19
2023-01-07,21,26,5,0.0,50,1016,6
2023-01-08,00,24,4,0.0,48,1014,6
2023-01-08,03,23,6,0.0,50,1013,5
2023-01-08,06,22,6,0.0,46,1014,6
2023-01-08,09,27,9,0.0,34,1017,6
2023-01-08,12,33,8,0.0,24,1015,4
2023-01-08,15,34,10,0.0,23,1012,5
2023-01-08,18,29,13,0.0,37,1013,4
2023-01-08,21,25,6,0.0,44,1015,4
2023-01-09,00,23,5,0.0,44,1014,4
2023-01-09,03,20,5,0.0,46,1014,3
2023-01-09,06,19,6,0.0,46,1015,3
2023-01-09,09,25,8,0.0,31,1018,0
2023-01-09,12,33,5,0.0,21,1016,0
2023-01-09,15,34,12,0.0,21,1013,2
2023-01-09,18,28,12,0.0,34,1014,0
2023-01-09,21,24,5,0.0,38,1016,2
2023-01-10,00,22,5,0.0,36,1015,0
2023-01-10,03,19,5,0.0,36,1014,0
2023-01-10,06,18,6,0.0,33,1015,0
2023-01-10,09,24,8,0.0,21,1018,0
2023-01-10,12,33,6,0.0,12,1015,0
2023-01-10,15,35,6,0.0,13,1012,0
2023-01-10,18,28,11,0.0,27,1013,0
2023-01-10,21,24,7,0.0,33,1015,0
2023-01-11,00,22,4,0.0,34,1014,0
2023-01-11,03,19,5,0.0,34,1012,0
2023-01-11,06,18,5,0.0,30,1014,0
2023-01-11,09,24,6,0.0,20,1016,0
2023-01-11,12,33,2,0.0,13,1014,0
2023-01-11,15,34,14,0.0,15,1011,0
2023-01-11,18,27,10,0.0,28,1012,0
2023-01-11,21,23,4,0.0,33,1014,0
2023-01-12,00,20,5,0.0,36,1013,0
2023-01-12,03,18,4,0.0,38,1012,0
2023-01-12,06,17,4,0.0,40,1013,0
2023-01-12,09,22,7,0.0,31,1015,0
2023-01-12,12,31,9,0.0,18,1013,0
2023-01-12,15,33,12,0.0,16,1009,0
2023-01-12,18,27,12,0.0,38,1011,0
2023-01-12,21,22,6,0.0,48,1013,0
2023-01-13,00,20,5,0.0,64,1013,0
2023-01-13,03,19,4,0.0,71,1013,0
2023-01-13,06,18,4,0.0,72,1014,0
2023-01-13,09,23,6,0.0,60,1016,0
2023-01-13,12,29,8,0.0,35,1014,0
2023-01-13,15,30,15,0.0,31,1011,0
2023-01-13,18,24,11,0.0,47,1013,0
2023-01-13,21,20,8,0.0,55,1014,0
2023-01-14,00,18,5,0.0,62,1014,0
2023-01-14,03,17,5,0.0,62,1013,0
2023-01-14,06,15,5,0.0,58,1013,0
2023-01-14,09,21,5,0.0,37,1015,0
2023-01-14,12,29,6,0.0,19,1013,0
2023-01-14,15,31,12,0.0,18,1010,0
2023-01-14,18,26,9,0.0,34,1012,0
2023-01-14,21,21,6,0.0,40,1014,0
2023-01-15,00,19,5,0.0,45,1014,0
2023-01-15,03,17,4,0.0,46,1012,0
2023-01-15,06,15,5,0.0,46,1013,0
2023-01-15,09,21,5,0.0,31,1015,0
2023-01-15,12,30,6,0.0,18,1012,0
2023-01-15,15,32,13,0.0,17,1008,0
2023-01-15,18,25,10,0.0,35,1010,0
2023-01-15,21,21,6,0.0,43,1013,0
2023-01-16,00,19,4,0.0,45,1011,0
2023-01-16,03,18,4,0.0,46,1011,0
2023-01-16,06,17,4,0.0,48,1012,0
2023-01-16,09,22,4,0.0,36,1014,0
2023-01-16,12,29,6,0.0,21,1012,0
2023-01-16,15,31,13,0.0,18,1009,0
2023-01-16,18,25,10,0.0,35,1010,0
2023-01-16,21,21,5,0.0,42,1013,0
2023-01-17,00,18,4,0.0,42,1012,0
2023-01-17,03,18,5,0.0,43,1011,0
2023-01-17,06,17,4,0.0,44,1012,0
2023-01-17,09,22,6,0.0,32,1014,0
2023-01-17,12,30,5,0.0,18,1012,0
2023-01-17,15,32,13,0.0,15,1009,0
2023-01-17,18,25,10,0.0,33,1011,0
2023-01-17,21,21,4,0.0,40,1013,0
2023-01-18,00,19,4,0.0,40,1012,0
2023-01-18,03,18,4,0.0,39,1011,0
2023-01-18,06,17,5,0.0,39,1012,0
2023-01-18,09,22,5,0.0,27,1014,0
2023-01-18,12,32,5,0.0,15,1012,0
2023-01-18,15,34,14,0.0,16,1009,0
2023-01-18,18,28,10,0.0,28,1011,0
2023-01-18,21,21,5,0.0,38,1013,0
2023-01-19,00,21,2,0.0,45,1014,0
2023-01-19,03,19,4,0.0,45,1012,0
2023-01-19,06,18,3,0.0,46,1013,0
2023-01-19,09,23,3,0.0,34,1015,0
2023-01-19,12,32,6,0.0,23,1013,0
2023-01-19,15,33,15,0.0,23,1010,0
2023-01-19,18,27,9,0.0,36,1011,0
2023-01-19,21,23,2,0.0,45,1013,0
2023-01-20,00,20,1,0.0,50,1013,0
2023-01-20,03,18,4,0.0,52,1012,0
2023-01-20,06,19,3,0.0,52,1012,0
2023-01-20,09,23,4,0.0,38,1015,0
2023-01-20,12,31,6,0.0,20,1013,0
2023-01-20,15,32,15,0.0,18,1010,0
2023-01-20,18,26,9,0.0,34,1012,0
2023-01-20,21,22,5,0.0,47,1014,0
2023-01-21,00,20,4,0.0,51,1013,0
2023-01-21,03,18,4,0.0,52,1012,0
2023-01-21,06,18,3,0.0,51,1013,0
2023-01-21,09,23,5,0.0,35,1015,0
2023-01-21,12,31,5,0.0,18,1013,0
2023-01-21,15,32,18,0.0,21,1010,0
2023-01-21,18,26,9,0.0,34,1012,0
2023-01-21,21,22,5,0.0,39,1014,0
2023-01-22,00,20,4,0.0,40,1013,0
2023-01-22,03,17,5,0.0,40,1012,0
2023-01-22,06,17,5,0.0,40,1013,0
2023-01-22,09,23,5,0.0,29,1015,0
2023-01-22,12,30,7,0.0,18,1012,0
2023-01-22,15,31,16,0.0,20,1009,2
2023-01-22,18,26,10,0.0,33,1011,0
2023-01-22,21,21,7,0.0,40,1013,0
2023-01-23,00,19,5,0.0,41,1013,0
2023-01-23,03,18,6,0.0,41,1011,0
2023-01-23,06,17,5,0.0,42,1012,3
2023-01-23,09,23,6,0.0,31,1014,3
2023-01-23,12,29,7,0.0,21,1012,3
2023-01-23,15,31,15,0.0,22,1009,3
2023-01-23,18,26,10,0.0,36,1010,2
2023-01-23,21,21,7,0.0,41,1012,0
2023-01-24,00,18,5,0.0,43,1012,0
2023-01-24,03,17,4,0.0,42,1011,0
2023-01-24,06,17,4,0.0,42,1012,0
2023-01-24,09,22,6,0.0,30,1014,0
2023-01-24,12,29,8,0.0,21,1012,0
2023-01-24,15,30,17,0.0,23,1009,2
2023-01-24,18,24,11,0.0,36,1010,3
2023-01-24,21,21,7,0.0,40,1013,4
2023-01-25,00,19,5,0.0,44,1012,8
2023-01-25,03,17,6,0.0,42,1012,10
2023-01-25,06,17,6,0.0,46,1012,13
2023-01-25,09,22,8,0.0,33,1014,31
2023-01-25,12,27,12,0.0,25,1012,16
2023-01-25,15,29,13,0.0,24,1009,16
2023-01-25,18,25,13,0.0,32,1010,14
2023-01-25,21,21,8,0.0,43,1013,45
2023-01-26,00,20,8,0.0,39,1012,12
2023-01-26,03,19,6,0.0,37,1011,61
2023-01-26,06,19,6,0.0,38,1012,19
