date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2023-01-01,00,14,27,0.0,61,1015,23
2023-01-01,03,13,22,0.0,64,1016,48
2023-01-01,06,13,21,0.0,65,1016,28
2023-01-01,09,12,22,0.0,72,1017,36
2023-01-01,12,12,17,0.2,77,1020,100
2023-01-01,15,12,13,1.6,74,1018,100
2023-01-01,18,12,13,2.0,78,1018,100
2023-01-01,21,13,13,0.1,87,1017,91
2023-01-02,00,12,16,0.2,93,1018,100
2023-01-02,03,12,12,0.5,96,1017,100
2023-01-02,06,11,5,0.7,96,1015,100
2023-01-02,09,9,15,0.5,90,1016,100
2023-01-02,12,9,18,0.0,83,1020,100
2023-01-02,15,10,10,0.1,76,1022,100
2023-01-02,18,9,9,0.0,84,1025,62
2023-01-02,21,7,9,0.0,81,1028,0
2023-01-03,00,7,5,0.0,85,1028,3
2023-01-03,03,6,7,0.0,88,1028,17
2023-01-03,06,6,9,0.0,93,1028,58
2023-01-03,09,6,12,0.0,94,1029,63
2023-01-03,12,9,13,0.0,82,1030,100
2023-01-03,15,11,16,0.0,71,1028,22
2023-01-03,18,9,17,0.0,78,1028,32
2023-01-03,21,9,19,0.1,81,1028,55
2023-01-04,00,9,21,1.0,81,1027,83
2023-01-04,03,9,21,0.1,78,1026,100
2023-01-04,06,9,21,0.0,76,1026,80
2023-01-04,09,11,22,0.0,82,1025,100
2023-01-04,12,12,24,0.0,82,1025,100
2023-01-04,15,13,26,0.1,80,1023,100
2023-01-04,18,13,24,0.0,86,1023,100
2023-01-04,21,13,21,0.0,88,1024,100
2023-01-05,00,13,20,0.1,87,1024,100
2023-01-05,03,13,17,0.1,87,1024,100
2023-01-05,06,13,15,0.0,91,1024,100
2023-01-05,09,13,15,0.0,94,1024,100
2023-01-05,12,13,14,0.0,88,1025,70
2023-01-05,15,13,17,0.2,81,1023,100
2023-01-05,18,13,15,0.0,73,1023,95
2023-01-05,21,12,16,0.0,68,1022,78
2023-01-06,00,10,15,0.0,76,1024,39
2023-01-06,03,12,15,0.0,70,1023,78
2023-01-06,06,12,17,0.0,71,1022,93
2023-01-06,09,11,18,0.0,80,1022,100
2023-01-06,12,12,14,0.0,82,1023,100
2023-01-06,15,13,13,0.0,79,1022,100
2023-01-06,18,12,11,0.0,84,1021,62
2023-01-06,21,11,15,0.0,87,1020,87
2023-01-07,00,10,13,0.0,84,1019,21
2023-01-07,03,9,13,0.0,83,1017,32
2023-01-07,06,8,14,0.0,84,1015,9
2023-01-07,09,8,17,0.0,79,1013,10
2023-01-07,12,10,21,0.0,73,1012,32
2023-01-07,15,11,24,0.0,74,1009,100
2023-01-07,18,11,24,0.2,78,1009,100
2023-01-07,21,11,22,0.0,73,1010,100
2023-01-08,00,10,21,0.3,74,1008,100
2023-01-08,03,10,24,0.2,75,1006,100
2023-01-08,06,9,20,0.0,75,1005,58
2023-01-08,09,8,15,0.0,81,1004,38
2023-01-08,12,10,15,0.0,77,1003,68
2023-01-08,15,10,19,0.1,85,1000,100
2023-01-08,18,10,21,0.0,76,1000,78
2023-01-08,21,9,21,0.6,80,1002,72
2023-01-09,00,8,15,0.0,78,1003,100
2023-01-09,03,7,21,0.0,77,1005,100
2023-01-09,06,7,22,0.0,71,1007,100
2023-01-09,09,6,22,0.1,76,1008,100
2023-01-09,12,8,21,0.0,74,1009,69
2023-01-09,15,9,26,0.0,65,1009,100
2023-01-09,18,8,23,0.0,67,1012,80
2023-01-09,21,6,19,0.0,76,1015,27
2023-01-10,00,5,17,0.0,79,1020,18
2023-01-10,03,6,14,0.0,77,1020,52
2023-01-10,06,5,13,0.0,76,1020,78
2023-01-10,09,6,18,0.1,88,1019,100
2023-01-10,12,7,24,0.6,89,1017,100
2023-01-10,15,9,17,0.1,97,1014,100
2023-01-10,18,11,21,0.0,90,1014,100
2023-01-10,21,12,22,0.0,86,1014,92
