date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2023-01-01,00,19,2,0.0,47,1016,3
2023-01-01,03,18,0,0.0,50,1015,3
2023-01-01,06,17,3,0.0,51,1016,3
2023-01-01,09,24,7,0.0,36,1018,2
2023-01-01,12,30,4,0.0,28,1016,3
2023-01-01,15,32,6,0.0,24,1013,2
2023-01-01,18,26,8,0.0,37,1015,2
2023-01-01,21,21,5,0.0,44,1017,2
2023-01-02,00,19,2,0.0,44,1017,0
2023-01-02,03,18,6,0.0,44,1016,1
2023-01-02,06,17,5,0.0,47,1017,0
2023-01-02,09,23,8,0.0,39,1019,0
2023-01-02,12,30,11,0.0,30,1017,0
2023-01-02,15,31,7,0.0,24,1014,2
2023-01-02,18,27,6,0.0,32,1015,1
2023-01-02,21,22,2,0.0,38,1017,2
2023-01-03,00,20,4,0.0,44,1016,2
2023-01-03,03,18,1,0.0,48,1015,2
2023-01-03,06,18,3,0.0,50,1016,4
2023-01-03,09,24,8,0.0,39,1018,6
2023-01-03,12,30,6,0.0,33,1015,6
2023-01-03,15,32,10,0.0,26,1012,18
2023-01-03,18,26,13,0.0,40,1014,3
2023-01-03,21,22,8,0.0,50,1016,3
2023-01-04,00,19,8,0.0,57,1016,8
2023-01-04,03,18,3,0.0,59,1014,9
2023-01-04,06,17,4,0.0,61,1015,7
2023-01-04,09,24,7,0.0,45,1017,9
2023-01-04,12,30,11,0.0,34,1014,8
2023-01-04,15,30,14,0.0,30,1011,22
2023-01-04,18,25,9,0.0,45,1012,6
2023-01-04,21,22,7,0.0,54,1016,29
2023-01-05,00,22,6,0.0,50,1015,46
2023-01-05,03,21,6,0.0,48,1014,44
2023-01-05,06,18,5,0.0,55,1015,7
2023-01-05,09,23,9,0.0,46,1017,6
2023-01-05,12,30,17,0.0,34,1015,9
2023-01-05,15,29,9,0.0,31,1012,45
2023-01-05,18,26,4,0.0,42,1014,70
2023-01-05,21,23,6,0.0,52,1017,53
2023-01-06,00,23,4,0.0,52,1016,82
2023-01-06,03,21,3,0.0,52,1015,52
2023-01-06,06,20,7,0.0,57,1017,16
2023-01-06,09,24,9,0.0,47,1019,8
2023-01-06,12,30,14,0.0,35,1017,11
2023-01-06,15,29,10,0.0,31,1014,43
2023-01-06,18,26,8,0.0,38,1015,46
2023-01-06,21,24,1,0.0,48,1018,31
2023-01-07,00,22,2,0.0,48,1016,44
2023-01-07,03,20,6,0.0,56,1016,11
2023-01-07,06,19,8,0.0,59,1017,6
2023-01-07,09,24,15,0.0,44,1019,7
2023-01-07,12,29,17,0.0,34,1017,9
2023-01-07,15,30,12,0.0,30,1014,5
2023-01-07,18,25,9,0.0,37,1015,5
2023-01-07,21,22,8,0.0,42,1017,5
2023-01-08,00,20,4,0.0,46,1016,5
2023-01-08,03,18,6,0.0,49,1016,5
2023-01-08,06,17,7,0.0,53,1017,6
2023-01-08,09,23,10,0.0,38,1019,4
2023-01-08,12,28,12,0.0,28,1016,3
2023-01-08,15,29,9,0.0,24,1014,2
2023-01-08,18,26,6,0.0,31,1014,2
2023-01-08,21,21,6,0.0,36,1017,2
2023-01-09,00,19,3,0.0,42,1016,3
2023-01-09,03,16,6,0.0,45,1016,2
2023-01-09,06,15,6,0.0,47,1017,0
2023-01-09,09,21,9,0.0,34,1020,0
2023-01-09,12,28,10,0.0,24,1017,0
2023-01-09,15,30,9,0.0,20,1014,0
2023-01-09,18,26,9,0.0,26,1015,0
2023-01-09,21,21,5,0.0,27,1017,0
2023-01-10,00,18,6,0.0,26,1017,0
2023-01-10,03,16,5,0.0,26,1016,0
2023-01-10,06,15,5,0.0,24,1018,0
2023-01-10,09,22,10,0.0,18,1020,0
2023-01-10,12,29,14,0.0,13,1017,0
2023-01-10,15,30,11,0.0,12,1014,0
2023-01-10,18,25,8,0.0,18,1014,0
2023-01-10,21,20,6,0.0,21,1016,0
2023-01-11,00,18,5,0.0,25,1016,0
2023-01-11,03,16,4,0.0,27,1014,0
2023-01-11,06,15,4,0.0,28,1016,0
2023-01-11,09,23,7,0.0,20,1018,0
2023-01-11,12,30,7,0.0,15,1015,0
2023-01-11,15,32,6,0.0,12,1012,0
2023-01-11,18,26,4,0.0,18,1013,0
2023-01-11,21,20,7,0.0,27,1015,0
2023-01-12,00,18,5,0.0,33,1015,0
2023-01-12,03,17,3,0.0,35,1013,0
2023-01-12,06,16,0,0.0,37,1014,0
2023-01-12,09,23,5,0.0,25,1015,0
2023-01-12,12,30,5,0.0,17,1013,0
2023-01-12,15,32,4,0.0,14,1010,0
2023-01-12,18,25,11,0.0,24,1011,0
2023-01-12,21,20,9,0.0,29,1014,0
2023-01-13,00,17,7,0.0,41,1014,0
2023-01-13,03,15,5,0.0,51,1013,0
2023-01-13,06,15,4,0.0,52,1014,0
2023-01-13,09,21,4,0.0,35,1016,0
2023-01-13,12,29,5,0.0,21,1014,0
2023-01-13,15,31,7,0.0,17,1011,0
2023-01-13,18,23,10,0.0,35,1012,0
2023-01-13,21,19,8,0.0,50,1014,0
2023-01-14,00,17,4,0.0,61,1014,0
2023-01-14,03,16,3,0.0,63,1013,0
2023-01-14,06,15,2,0.0,63,1014,0
2023-01-14,09,21,9,0.0,41,1016,0
2023-01-14,12,29,10,0.0,23,1013,0
2023-01-14,15,31,7,0.0,17,1010,0
2023-01-14,18,24,14,0.0,32,1012,0
2023-01-14,21,20,8,0.0,42,1015,0
2023-01-15,00,17,4,0.0,44,1014,0
2023-01-15,03,16,2,0.0,45,1013,0
2023-01-15,06,15,4,0.0,44,1013,0
2023-01-15,09,23,8,0.0,29,1015,0
2023-01-15,12,29,7,0.0,21,1012,0
2023-01-15,15,32,5,0.0,16,1008,0
2023-01-15,18,25,12,0.0,27,1010,0
2023-01-15,21,20,8,0.0,36,1013,0
2023-01-16,00,18,6,0.0,46,1012,0
2023-01-16,03,17,4,0.0,47,1011,0
2023-01-16,06,16,3,0.0,48,1012,0
2023-01-16,09,23,4,0.0,34,1014,0
2023-01-16,12,30,3,0.0,23,1012,0
2023-01-16,15,32,17,0.0,15,1008,0
2023-01-16,18,24,13,0.0,23,1010,0
2023-01-16,21,20,8,0.0,30,1013,0
2023-01-17,00,18,4,0.0,34,1013,0
2023-01-17,03,17,5,0.0,36,1011,0
2023-01-17,06,16,3,0.0,37,1013,0
2023-01-17,09,23,2,0.0,26,1014,0
2023-01-17,12,30,3,0.0,17,1012,0
2023-01-17,15,32,14,0.0,10,1009,0
2023-01-17,18,24,13,0.0,19,1011,0
2023-01-17,21,20,7,0.0,27,1013,0
2023-01-18,00,18,4,0.0,31,1013,0
2023-01-18,03,17,2,0.0,32,1011,0
2023-01-18,06,17,4,0.0,31,1012,0
2023-01-18,09,23,7,0.0,21,1015,0
2023-01-18,12,30,6,0.0,16,1012,0
2023-01-18,15,32,7,0.0,15,1009,0
2023-01-18,18,27,12,0.0,20,1011,0
2023-01-18,21,20,8,0.0,27,1014,0
2023-01-19,00,19,3,0.0,45,1015,0
2023-01-19,03,18,1,0.0,47,1013,0
2023-01-19,06,17,3,0.0,47,1014,0
2023-01-19,09,24,7,0.0,31,1016,0
2023-01-19,12,31,13,0.0,20,1014,0
2023-01-19,15,33,5,0.0,17,1010,3
2023-01-19,18,27,5,0.0,29,1012,3
2023-01-19,21,21,6,0.0,43,1015,0
2023-01-20,00,19,4,0.0,48,1014,0
2023-01-20,03,18,2,0.0,51,1012,0
2023-01-20,06,17,3,0.0,52,1013,0
2023-01-20,09,24,4,0.0,32,1015,0
2023-01-20,12,31,5,0.0,20,1013,0
2023-01-20,15,32,8,0.0,17,1010,4
2023-01-20,18,26,9,0.0,28,1011,0
2023-01-20,21,21,7,0.0,39,1014,0
2023-01-21,00,19,5,0.0,38,1013,0
2023-01-21,03,18,3,0.0,40,1012,0
2023-01-21,06,17,2,0.0,43,1014,0
2023-01-21,09,24,7,0.0,32,1015,0
2023-01-21,12,30,11,0.0,22,1013,0
2023-01-21,15,32,14,0.0,19,1009,2
2023-01-21,18,24,10,0.0,30,1011,0
2023-01-21,21,20,8,0.0,41,1014,0
2023-01-22,00,18,6,0.0,46,1014,1
2023-01-22,03,17,4,0.0,46,1012,2
2023-01-22,06,16,2,0.0,48,1013,3
2023-01-22,09,23,5,0.0,34,1015,3
2023-01-22,12,30,10,0.0,26,1012,3
2023-01-22,15,32,14,0.0,21,1008,2
2023-01-22,18,24,14,0.0,31,1011,2
2023-01-22,21,20,8,0.0,38,1013,3
2023-01-23,00,18,6,0.0,44,1013,4
2023-01-23,03,17,3,0.0,46,1012,3
2023-01-23,06,16,2,0.0,47,1013,3
2023-01-23,09,23,6,0.0,32,1014,3
2023-01-23,12,29,11,0.0,25,1012,3
2023-01-23,15,32,9,0.0,21,1008,9
2023-01-23,18,25,10,0.0,34,1010,4
2023-01-23,21,20,9,0.0,43,1013,0
2023-01-24,00,18,5,0.0,51,1012,1
2023-01-24,03,17,5,0.0,53,1011,0
2023-01-24,06,16,1,0.0,56,1012,0
2023-01-24,09,22,8,0.0,40,1015,2
2023-01-24,12,29,11,0.0,29,1012,5
2023-01-24,15,31,11,0.0,25,1008,15
2023-01-24,18,24,13,0.0,36,1010,9
2023-01-24,21,20,10,0.0,42,1013,10
2023-01-25,00,18,8,0.0,51,1012,42
2023-01-25,03,18,6,0.0,50,1011,45
2023-01-25,06,18,3,0.0,49,1012,45
2023-01-25,09,23,7,0.0,41,1014,17
2023-01-25,12,29,8,0.0,36,1011,13
2023-01-25,15,30,6,0.0,32,1007,45
2023-01-25,18,25,14,0.0,37,1010,23
2023-01-25,21,22,8,0.0,38,1013,14
2023-01-26,00,20,3,0.0,42,1013,46
2023-01-26,03,18,5,0.0,46,1011,16
2023-01-26,06,19,5,0.0,44,1013,71
2023-01-26,09,23,9,0.0,35,1015,8
2023-01-26,12,30,3,0.0,34,1012,9
2023-01-26,15,30,5,0.0,29,1009,28
2023-01-26,18,26,9,0.0,36,1011,45
2023-01-26,21,24,5,0.0,35,1013,44
2023-01-27,00,20,5,0.0,47,1013,30
2023-01-27,03,19,3,0.0,51,1011,10
2023-01-27,06,18,5,0.0,53,1013,3
2023-01-27,09,24,10,0.0,42,1015,3
2023-01-27,12,31,15,0.0,22,1012,2
2023-01-27,15,32,15,0.0,20,1008,7
2023-01-27,18,28,6,0.0,29,1010,9
2023-01-27,21,22,5,0.0,41,1013,18
2023-01-28,00,21,6,0.0,50,1012,5
2023-01-28,03,18,5,0.0,52,1011,4
2023-01-28,06,17,6,0.0,52,1012,3
2023-01-28,09,24,9,0.0,29,1013,4
2023-01-28,12,31,14,0.0,17,1011,3
2023-01-28,15,33,8,0.0,16,1007,4
2023-01-28,18,27,7,0.0,30,1009,4
2023-01-28,21,21,8,0.0,55,1012,3
2023-01-29,00,19,7,0.0,64,1011,4
2023-01-29,03,18,6,0.0,64,1010,2
2023-01-29,06,17,6,0.0,61,1011,0
2023-01-29,09,23,3,0.0,44,1014,0
2023-01-29,12,30,6,0.0,27,1011,4
2023-01-29,15,32,17,0.0,24,1007,12
2023-01-29,18,26,15,0.0,44,1010,9
2023-01-29,21,21,10,0.0,62,1013,8
2023-01-30,00,19,8,0.0,62,1012,5
2023-01-30,03,18,5,0.0,64,1012,6
2023-01-30,06,17,4,0.0,66,1013,5
2023-01-30,09,22,12,0.0,46,1016,3
2023-01-30,12,29,8,0.0,31,1013,5
2023-01-30,15,31,8,0.0,23,1009,15
2023-01-30,18,27,6,0.0,28,1011,14
2023-01-30,21,22,5,0.0,38,1014,12
2023-01-31,00,20,6,0.0,39,1013,12
2023-01-31,03,18,8,0.0,33,1012,5
2023-01-31,06,17,6,0.0,29,1015,4
