date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2023-01-01,00,13,8,0.0,87,1032,12
2023-01-01,03,12,9,0.0,86,1031,20
2023-01-01,06,12,10,0.0,85,1031,5
2023-01-01,09,13,9,0.0,81,1032,4
2023-01-01,12,17,5,0.0,68,1032,4
2023-01-01,15,17,5,0.0,71,1030,4
2023-01-01,18,15,4,0.0,80,1030,3
2023-01-01,21,13,5,0.0,83,1031,4
2023-01-02,00,12,8,0.0,87,1031,10
2023-01-02,03,11,10,0.0,87,1030,7
2023-01-02,06,11,11,0.0,89,1030,25
2023-01-02,09,13,12,0.0,87,1030,73
2023-01-02,12,16,14,0.0,81,1030,68
2023-01-02,15,17,14,0.0,78,1029,32
2023-01-02,18,15,12,0.0,84,1029,4
2023-01-02,21,14,10,0.0,85,1029,11
2023-01-03,00,13,10,0.0,91,1029,34
2023-01-03,03,13,11,0.0,91,1029,57
2023-01-03,06,13,11,0.0,89,1029,76
2023-01-03,09,13,11,0.0,85,1029,96
2023-01-03,12,15,9,0.0,79,1029,84
2023-01-03,15,16,9,0.1,76,1028,76
2023-01-03,18,15,8,0.1,82,1029,100
2023-01-03,21,15,8,0.1,80,1029,84
2023-01-04,00,13,10,0.0,85,1030,92
2023-01-04,03,12,9,0.0,80,1029,83
2023-01-04,06,12,8,0.0,77,1029,73
2023-01-04,09,14,7,0.0,74,1029,58
2023-01-04,12,16,3,0.0,64,1029,23
2023-01-04,15,17,5,0.0,63,1028,21
2023-01-04,18,16,5,0.0,70,1028,14
2023-01-04,21,14,7,0.0,74,1029,15
2023-01-05,00,12,8,0.0,80,1028,9
2023-01-05,03,11,9,0.0,80,1027,6
2023-01-05,06,11,10,0.0,80,1026,6
2023-01-05,09,10,9,0.0,77,1027,4
2023-01-05,12,15,1,0.0,65,1026,3
2023-01-05,15,15,7,0.1,70,1025,74
2023-01-05,18,14,6,0.0,82,1025,6
2023-01-05,21,13,7,0.0,85,1026,7
2023-01-06,00,12,6,0.0,86,1024,21
2023-01-06,03,12,8,0.1,83,1024,76
2023-01-06,06,12,6,0.0,79,1024,87
2023-01-06,09,13,5,0.0,76,1025,52
2023-01-06,12,15,4,0.0,69,1024,45
2023-01-06,15,15,5,0.0,73,1023,44
2023-01-06,18,15,5,0.0,76,1024,49
2023-01-06,21,14,3,0.0,76,1024,100
2023-01-07,00,13,1,0.0,80,1025,53
2023-01-07,03,13,3,0.0,81,1024,70
2023-01-07,06,12,4,0.0,82,1024,82
2023-01-07,09,13,7,0.0,82,1024,35
2023-01-07,12,15,9,0.0,77,1024,77
2023-01-07,15,15,7,0.0,75,1022,74
2023-01-07,18,15,5,0.0,75,1023,77
2023-01-07,21,14,4,0.0,76,1023,74
2023-01-08,00,14,6,0.1,74,1023,77
2023-01-08,03,13,8,0.1,77,1023,78
2023-01-08,06,13,5,0.2,79,1022,74
2023-01-08,09,13,12,0.3,81,1022,90
2023-01-08,12,15,18,0.3,75,1021,53
2023-01-08,15,16,23,0.0,72,1019,60
