date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2023-01-01,00,4,4,0.0,50,1033,100
2023-01-01,03,4,5,0.0,55,1032,43
2023-01-01,06,3,6,0.0,58,1032,46
2023-01-01,09,6,7,0.0,50,1033,28
2023-01-01,12,10,8,0.0,34,1032,24
2023-01-01,15,10,10,0.0,32,1031,11
2023-01-01,18,8,12,0.0,42,1032,21
2023-01-01,21,7,9,0.0,51,1033,45
2023-01-02,00,6,8,0.0,59,1033,71
2023-01-02,03,6,7,0.0,65,1033,64
2023-01-02,06,6,10,0.0,70,1033,100
2023-01-02,09,7,12,0.0,61,1034,54
2023-01-02,12,11,12,0.0,49,1033,67
2023-01-02,15,9,15,0.1,50,1032,69
2023-01-02,18,8,14,0.0,57,1033,47
2023-01-02,21,6,10,0.0,59,1034,31
2023-01-03,00,5,9,0.0,59,1034,100
2023-01-03,03,5,9,0.0,60,1033,50
2023-01-03,06,5,9,0.0,63,1033,46
2023-01-03,09,7,11,0.0,57,1034,24
2023-01-03,12,10,9,0.0,45,1033,14
2023-01-03,15,11,10,0.0,42,1031,6
2023-01-03,18,7,12,0.0,53,1032,5
2023-01-03,21,5,9,0.0,58,1032,4
2023-01-04,00,3,5,0.0,60,1032,0
2023-01-04,03,4,4,0.0,64,1031,0
2023-01-04,06,3,6,0.0,68,1031,0
2023-01-04,09,5,8,0.0,60,1032,0
2023-01-04,12,11,12,0.0,44,1031,0
2023-01-04,15,11,15,0.0,44,1029,5
2023-01-04,18,7,12,0.0,57,1031,32
2023-01-04,21,6,12,0.0,63,1031,46
2023-01-05,00,6,8,0.0,70,1031,8
2023-01-05,03,6,8,0.0,74,1031,65
2023-01-05,06,7,7,0.0,76,1031,100
2023-01-05,09,9,10,0.0,70,1032,96
2023-01-05,12,11,11,0.3,60,1031,91
2023-01-05,15,11,12,0.0,61,1030,96
2023-01-05,18,10,11,0.0,66,1030,88
2023-01-05,21,10,8,0.0,68,1031,100
2023-01-06,00,9,5,0.0,82,1029,100
2023-01-06,03,9,5,0.0,84,1028,100
2023-01-06,06,8,2,0.0,85,1027,100
2023-01-06,09,11,8,0.0,80,1028,98
2023-01-06,12,14,17,0.0,46,1025,1
2023-01-06,15,15,21,0.0,33,1023,0
2023-01-06,18,13,15,0.0,34,1023,0
2023-01-06,21,10,11,0.0,39,1024,0
2023-01-07,00,8,10,0.0,40,1025,0
2023-01-07,03,6,6,0.0,42,1025,0
2023-01-07,06,6,6,0.0,41,1025,0
2023-01-07,09,8,6,0.0,32,1027,0
2023-01-07,12,14,7,0.0,18,1026,0
2023-01-07,15,15,6,0.0,15,1024,0
2023-01-07,18,11,9,0.0,26,1025,0
2023-01-07,21,8,9,0.0,37,1026,0
2023-01-08,00,7,11,0.0,43,1026,0
2023-01-08,03,7,12,0.0,46,1026,0
2023-01-08,06,7,8,0.0,49,1026,0
2023-01-08,09,10,12,0.0,42,1027,0
2023-01-08,12,16,15,0.0,28,1025,0
2023-01-08,15,17,16,0.0,30,1023,0
2023-01-08,18,13,14,0.0,48,1024,0
2023-01-08,21,10,16,0.0,58,1025,0
2023-01-09,00,9,13,0.0,72,1023,3
2023-01-09,03,8,9,0.0,80,1023,3
2023-01-09,06,7,6,0.0,87,1023,6
2023-01-09,09,11,4,0.0,69,1024,13
2023-01-09,12,17,5,0.0,44,1023,11
2023-01-09,15,17,13,0.0,39,1022,0
2023-01-09,18,13,12,0.0,47,1023,0
2023-01-09,21,10,15,0.0,76,1026,0
2023-01-10,00,9,16,0.0,72,1028,0
2023-01-10,03,7,13,0.0,69,1028,0
2023-01-10,06,6,12,0.0,70,1028,0
2023-01-10,09,9,13,0.0,62,1030,11
2023-01-10,12,12,13,0.0,49,1028,0
2023-01-10,15,13,14,0.0,48,1027,0
2023-01-10,18,10,12,0.0,60,1027,0
2023-01-10,21,7,8,0.0,68,1027,0
2023-01-11,00,7,7,0.0,75,1026,2
2023-01-11,03,6,6,0.0,81,1025,5
2023-01-11,06,6,6,0.0,87,1024,17
2023-01-11,09,10,8,0.0,79,1025,18
2023-01-11,12,16,11,0.0,59,1023,9
2023-01-11,15,17,14,0.0,56,1021,0
2023-01-11,18,13,11,0.0,75,1021,6
2023-01-11,21,11,12,0.0,83,1021,17
2023-01-12,00,12,13,0.0,89,1020,42
2023-01-12,03,13,14,0.2,94,1019,58
2023-01-12,06,13,12,0.0,96,1018,62
2023-01-12,09,15,13,0.0,89,1018,52
2023-01-12,12,19,16,0.0,75,1016,73
2023-01-12,15,20,15,0.0,70,1013,22
2023-01-12,18,17,14,0.0,82,1013,52
2023-01-12,21,17,18,0.2,87,1013,87
2023-01-13,00,16,10,1.2,93,1013,85
2023-01-13,03,16,8,2.8,97,1012,51
2023-01-13,06,15,8,2.1,96,1013,84
2023-01-13,09,16,6,3.9,91,1014,66
2023-01-13,12,18,9,2.2,71,1012,53
2023-01-13,15,19,7,3.8,66,1010,76
2023-01-13,18,17,6,0.1,81,1011,89
2023-01-13,21,14,9,0.0,88,1012,56
2023-01-14,00,12,9,0.1,96,1013,100
2023-01-14,03,13,11,0.0,93,1013,100
2023-01-14,06,12,17,0.2,92,1013,100
2023-01-14,09,11,21,0.2,90,1016,100
2023-01-14,12,10,22,0.4,87,1016,100
2023-01-14,15,8,24,1.2,82,1018,100
2023-01-14,18,6,24,1.0,80,1021,100
2023-01-14,21,6,23,0.2,79,1023,100
2023-01-15,00,5,23,0.1,64,1025,100
2023-01-15,03,3,26,0.0,64,1026,100
2023-01-15,06,2,21,0.1,63,1027,100
2023-01-15,09,2,21,0.1,62,1028,100
2023-01-15,12,2,22,0.0,76,1028,100
2023-01-15,15,3,20,0.2,53,1027,78
2023-01-15,18,2,20,0.0,51,1029,47
2023-01-15,21,1,19,0.0,54,1030,100
2023-01-16,00,-0,17,0.0,48,1031,20
2023-01-16,03,-1,16,0.0,47,1030,15
2023-01-16,06,-1,15,0.0,50,1030,10
2023-01-16,09,0,17,0.0,47,1032,6
2023-01-16,12,4,17,0.0,40,1030,5
2023-01-16,15,5,15,0.0,35,1029,3
2023-01-16,18,4,14,0.0,43,1030,3
2023-01-16,21,2,11,0.0,48,1030,5
2023-01-17,00,1,9,0.0,52,1030,6
2023-01-17,03,2,10,0.0,52,1030,24
2023-01-17,06,1,8,0.0,54,1029,28
2023-01-17,09,3,9,0.0,47,1030,22
2023-01-17,12,6,10,0.0,29,1029,14
2023-01-17,15,7,9,0.0,22,1027,9
2023-01-17,18,5,8,0.0,24,1029,11
2023-01-17,21,3,5,0.0,30,1030,11
2023-01-18,00,3,2,0.0,37,1030,9
2023-01-18,03,2,2,0.0,40,1030,9
2023-01-18,06,1,4,0.0,40,1029,12
2023-01-18,09,4,6,0.0,33,1030,18
2023-01-18,12,7,10,0.0,23,1028,23
2023-01-18,15,9,10,0.0,20,1026,19
2023-01-18,18,7,5,0.0,29,1026,11
2023-01-18,21,4,7,0.0,40,1026,7
2023-01-19,00,2,2,0.0,46,1028,0
2023-01-19,03,2,1,0.0,49,1028,0
2023-01-19,06,1,3,0.0,50,1028,2
2023-01-19,09,5,6,0.0,44,1029,7
2023-01-19,12,10,11,0.0,30,1027,10
2023-01-19,15,11,10,0.0,23,1025,6
2023-01-19,18,9,9,0.0,27,1027,0
2023-01-19,21,5,6,0.0,34,1028,0
2023-01-20,00,3,7,0.0,43,1028,0
2023-01-20,03,3,8,0.0,51,1029,0
2023-01-20,06,2,8,0.0,56,1030,0
2023-01-20,09,6,15,0.0,42,1032,0
2023-01-20,12,9,18,0.0,40,1032,5
2023-01-20,15,8,18,0.0,39,1031,19
2023-01-20,18,6,17,0.0,44,1033,0
2023-01-20,21,4,11,0.0,50,1033,4
2023-01-21,00,2,9,0.0,55,1032,29
2023-01-21,03,3,9,0.0,56,1031,34
2023-01-21,06,4,8,0.0,58,1029,54
2023-01-21,09,6,12,0.0,54,1030,70
2023-01-21,12,8,11,0.0,50,1028,97
2023-01-21,15,8,14,0.0,57,1025,100
2023-01-21,18,8,13,0.0,62,1025,100
2023-01-21,21,8,14,0.0,70,1025,100
2023-01-22,00,8,13,0.9,84,1023,100
2023-01-22,03,8,13,0.7,92,1021,100
2023-01-22,06,9,9,0.8,95,1021,100
2023-01-22,09,9,2,0.2,98,1021,100
2023-01-22,12,10,10,0.0,96,1020,100
2023-01-22,15,9,14,0.3,88,1019,100
2023-01-22,18,9,13,0.0,89,1021,100
2023-01-22,21,8,13,0.0,88,1023,100
2023-01-23,00,8,11,0.0,90,1023,100
2023-01-23,03,8,12,0.0,88,1022,100
2023-01-23,06,7,11,0.0,90,1022,100
2023-01-23,09,8,13,0.0,83,1024,100
2023-01-23,12,8,14,0.0,81,1024,100
2023-01-23,15,7,17,0.6,82,1024,100
2023-01-23,18,7,17,0.3,79,1027,100
2023-01-23,21,6,23,0.2,77,1030,100
2023-01-24,00,4,26,0.1,73,1031,100
2023-01-24,03,2,26,0.0,63,1034,100
2023-01-24,06,1,23,0.0,54,1036,15
2023-01-24,09,0,26,0.0,41,1039,0
2023-01-24,12,1,29,0.0,26,1038,3
2023-01-24,15,1,28,0.0,24,1037,3
2023-01-24,18,-0,23,0.0,27,1038,0
2023-01-24,21,-4,22,0.0,22,1039,0
2023-01-25,00,-4,17,0.0,34,1038,0
2023-01-25,03,-4,14,0.0,45,1036,0
2023-01-25,06,-4,10,0.0,47,1035,0
2023-01-25,09,-2,5,0.0,45,1035,10
2023-01-25,12,2,4,0.0,41,1032,10
2023-01-25,15,4,7,0.0,41,1028,13
2023-01-25,18,2,10,0.0,53,1028,90
2023-01-25,21,0,6,0.0,58,1028,3
2023-01-26,00,0,8,0.0,69,1026,10
2023-01-26,03,-0,5,0.0,76,1025,13
2023-01-26,06,0,5,0.0,81,1025,1
2023-01-26,09,4,8,0.0,57,1026,4
2023-01-26,12,9,10,0.0,32,1024,5
2023-01-26,15,9,12,0.0,30,1022,6
2023-01-26,18,6,12,0.0,42,1025,22
2023-01-26,21,3,10,0.0,59,1026,29
2023-01-27,00,2,13,0.0,55,1027,7
