date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2023-01-01,00,25,14,0.0,81,1013,58
2023-01-01,03,25,16,0.0,84,1012,69
2023-01-01,06,25,16,0.0,85,1011,56
2023-01-01,09,26,17,0.0,79,1013,57
2023-01-01,12,29,14,0.0,64,1012,22
2023-01-01,15,30,10,0.0,61,1009,81
2023-01-01,18,28,8,0.0,67,1009,85
2023-01-01,21,26,15,0.0,74,1012,40
2023-01-02,00,25,17,0.0,81,1013,22
2023-01-02,03,25,17,0.0,82,1011,38
2023-01-02,06,24,16,0.0,83,1011,50
2023-01-02,09,25,15,0.0,82,1013,46
2023-01-02,12,29,16,0.0,70,1013,82
2023-01-02,15,31,14,0.1,62,1009,81
2023-01-02,18,28,14,0.0,72,1009,75
2023-01-02,21,26,14,0.0,81,1012,64
2023-01-03,00,25,18,0.0,84,1012,47
2023-01-03,03,25,19,0.0,87,1011,78
2023-01-03,06,25,18,0.0,89,1011,84
2023-01-03,09,25,19,0.0,85,1013,70
2023-01-03,12,29,18,0.0,71,1012,56
2023-01-03,15,28,18,1.4,66,1009,63
2023-01-03,18,27,17,2.2,70,1008,74
2023-01-03,21,26,19,0.0,81,1011,77
2023-01-04,00,25,17,0.0,88,1012,61
2023-01-04,03,25,16,0.1,90,1010,60
2023-01-04,06,24,17,0.3,90,1010,50
2023-01-04,09,25,19,0.6,84,1013,73
2023-01-04,12,28,18,0.0,69,1012,60
2023-01-04,15,29,19,1.2,68,1009,75
2023-01-04,18,26,18,0.1,76,1009,79
2023-01-04,21,25,13,0.0,80,1011,51
2023-01-05,00,25,21,0.0,84,1011,66
2023-01-05,03,25,21,0.0,84,1010,81
2023-01-05,06,25,19,0.0,84,1010,95
2023-01-05,09,25,16,0.0,82,1011,49
2023-01-05,12,28,16,0.1,71,1011,84
2023-01-05,15,29,14,0.2,67,1008,63
2023-01-05,18,28,9,0.3,71,1008,70
2023-01-05,21,26,12,0.0,81,1011,67
2023-01-06,00,26,13,0.0,79,1012,69
2023-01-06,03,25,10,0.0,81,1010,93
2023-01-06,06,25,9,0.0,83,1010,88
2023-01-06,09,26,4,0.0,79,1011,31
2023-01-06,12,28,7,0.1,75,1011,74
2023-01-06,15,29,11,0.1,68,1008,86
2023-01-06,18,28,11,0.2,73,1008,56
2023-01-06,21,26,12,0.0,80,1010,81
2023-01-07,00,26,7,0.0,83,1011,21
2023-01-07,03,25,7,0.0,84,1009,33
2023-01-07,06,25,6,0.0,85,1009,33
2023-01-07,09,26,8,0.0,82,1011,15
2023-01-07,12,29,4,0.0,72,1011,31
2023-01-07,15,29,10,0.1,70,1008,82
2023-01-07,18,28,7,0.1,78,1007,86
2023-01-07,21,26,11,0.0,84,1010,79
