date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2023-01-01,00,3,16,0.0,91,1007,100
2023-01-01,03,3,13,0.0,85,1009,100
2023-01-01,06,2,12,0.0,83,1010,27
2023-01-01,09,1,9,0.0,83,1013,33
2023-01-01,12,3,11,0.2,73,1014,58
2023-01-01,15,4,12,0.2,66,1013,85
2023-01-01,18,5,10,0.0,79,1014,49
2023-01-01,21,3,9,0.0,87,1016,59
2023-01-02,00,3,7,0.0,91,1015,18
2023-01-02,03,2,5,0.0,91,1016,12
2023-01-02,06,2,3,0.0,90,1017,10
2023-01-02,09,2,3,0.0,90,1019,42
2023-01-02,12,5,0,0.0,83,1020,22
2023-01-02,15,6,5,0.0,77,1018,49
2023-01-02,18,4,7,0.0,86,1018,69
2023-01-02,21,2,10,0.0,91,1018,100
2023-01-03,00,3,10,0.0,87,1018,58
2023-01-03,03,4,14,0.0,93,1015,100
2023-01-03,06,3,16,0.0,98,1011,100
2023-01-03,09,4,16,0.0,99,1007,100
2023-01-03,12,5,11,0.1,99,1002,100
2023-01-03,15,8,21,0.8,89,998,100
2023-01-03,18,9,22,0.2,80,1000,82
2023-01-03,21,7,17,0.1,81,1003,87
2023-01-04,00,5,5,0.0,99,1004,100
2023-01-04,03,5,11,0.0,95,1004,68
2023-01-04,06,5,9,0.0,97,1004,100
2023-01-04,09,5,9,0.1,98,1005,100
2023-01-04,12,6,10,0.1,99,1005,100
2023-01-04,15,6,11,0.4,95,1005,98
2023-01-04,18,6,12,2.6,92,1007,95
2023-01-04,21,5,11,3.4,93,1010,72
2023-01-05,00,4,8,0.0,93,1010,100
2023-01-05,03,3,10,0.0,93,1012,100
2023-01-05,06,3,17,0.0,91,1013,95
2023-01-05,09,3,21,0.0,90,1014,88
2023-01-05,12,3,21,0.0,87,1015,99
2023-01-05,15,3,19,0.1,88,1014,100
2023-01-05,18,2,13,0.0,89,1015,100
2023-01-05,21,3,12,0.0,91,1016,100
2023-01-06,00,3,5,0.0,77,1014,100
2023-01-06,03,2,3,0.0,90,1014,96
2023-01-06,06,2,7,0.0,89,1014,100
2023-01-06,09,2,8,0.0,89,1016,100
2023-01-06,12,3,11,0.0,75,1018,87
2023-01-06,15,4,10,0.0,66,1018,100
2023-01-06,18,4,8,0.0,66,1020,97
2023-01-06,21,2,8,0.0,94,1022,100
