date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2010-01-01,00,18,9,0.0,97,1013,53
2010-01-01,03,18,5,0.0,96,1013,34
2010-01-01,06,19,10,0.0,82,1015,46
2010-01-01,09,23,12,0.0,67,1014,20
2010-01-01,12,25,14,0.0,63,1012,47
2010-01-01,15,24,7,0.0,74,1012,46
2010-01-01,18,21,13,0.0,87,1014,76
2010-01-01,21,19,14,0.0,88,1015,61
2010-01-02,00,18,10,0.0,89,1015,39
2010-01-02,03,17,8,0.0,89,1015,26
2010-01-02,06,18,14,0.0,78,1016,9
2010-01-02,09,22,10,0.0,61,1016,10
2010-01-02,12,25,13,0.0,53,1013,18
2010-01-02,15,24,8,0.0,65,1014,15
2010-01-02,18,20,11,0.0,81,1016,5
2010-01-02,21,17,10,0.0,94,1017,16
2010-01-03,00,16,8,0.0,97,1016,100
2010-01-03,03,16,4,0.0,98,1016,100
2010-01-03,06,18,5,0.0,86,1017,19
2010-01-03,09,22,9,0.0,58,1016,4
2010-01-03,12,26,12,0.0,52,1013,14
2010-01-03,15,24,8,0.0,66,1013,12
2010-01-03,18,20,9,0.0,74,1015,6
2010-01-03,21,17,7,0.0,78,1016,5
2010-01-04,00,16,7,0.0,83,1015,21
2010-01-04,03,15,2,0.0,89,1014,29
2010-01-04,06,17,3,0.0,70,1016,3
2010-01-04,09,23,7,0.0,52,1014,3
2010-01-04,12,26,15,0.0,48,1012,6
2010-01-04,15,24,7,0.0,63,1011,5
2010-01-04,18,21,9,0.0,73,1013,0
2010-01-04,21,18,8,0.0,80,1014,0
2010-01-05,00,16,5,0.0,91,1012,2
2010-01-05,03,15,1,0.0,91,1012,2
2010-01-05,06,19,6,0.0,69,1013,2
2010-01-05,09,24,11,0.0,49,1013,4
2010-01-05,12,27,11,0.0,47,1010,11
2010-01-05,15,25,8,0.0,62,1010,14
2010-01-05,18,21,10,0.0,78,1012,22
2010-01-05,21,18,11,0.0,85,1013,22
2010-01-06,00,17,10,0.0,88,1013,21
2010-01-06,03,17,5,0.0,85,1013,9
2010-01-06,06,18,9,0.0,70,1013,9
2010-01-06,09,24,13,0.0,53,1014,18
2010-01-06,12,26,17,0.0,48,1011,14
2010-01-06,15,24,7,0.0,62,1011,17
2010-01-06,18,21,15,0.0,78,1012,21
2010-01-06,21,17,14,0.0,87,1013,15
2010-01-07,00,16,11,0.0,89,1013,5
2010-01-07,03,15,4,0.0,89,1014,3
2010-01-07,06,16,9,0.0,75,1015,5
2010-01-07,09,22,9,0.0,54,1014,10
2010-01-07,12,26,9,0.0,51,1012,23
2010-01-07,15,24,9,0.0,66,1011,32
2010-01-07,18,21,13,0.0,90,1013,35
2010-01-07,21,18,12,0.0,94,1014,59
