date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2010-01-01,00,-11,4,0.0,35,1019,9
2010-01-01,03,-12,4,0.0,43,1018,16
2010-01-01,06,-12,8,0.0,48,1017,44
2010-01-01,09,-6,7,0.0,31,1016,21
2010-01-01,12,-1,3,0.0,27,1015,15
2010-01-01,15,-3,4,0.0,47,1016,49
2010-01-01,18,-4,4,0.0,53,1018,83
2010-01-01,21,-5,8,0.0,70,1020,88
2010-01-02,00,-5,5,0.0,75,1023,54
2010-01-02,03,-6,6,0.0,81,1024,18
2010-01-02,06,-7,6,0.1,77,1027,77
2010-01-02,09,-4,5,0.0,49,1027,11
2010-01-02,12,-1,11,0.0,38,1026,15
2010-01-02,15,-4,9,0.0,51,1026,21
2010-01-02,18,-6,8,0.0,64,1027,53
2010-01-02,21,-7,10,0.0,79,1027,100
2010-01-03,00,-8,13,0.1,88,1026,100
2010-01-03,03,-7,14,0.6,93,1024,100
2010-01-03,06,-8,17,1.0,95,1024,100
2010-01-03,09,-9,13,1.1,92,1021,100
2010-01-03,12,-9,17,1.0,93,1020,100
2010-01-03,15,-9,18,0.6,96,1019,100
2010-01-03,18,-11,13,0.4,93,1022,100
2010-01-03,21,-9,6,0.0,90,1024,90
2010-01-04,00,-12,18,0.0,86,1027,20
2010-01-04,03,-16,25,0.0,81,1029,11
2010-01-04,06,-16,29,0.0,81,1032,11
2010-01-04,09,-13,25,0.0,52,1033,9
2010-01-04,12,-11,25,0.0,48,1032,3
2010-01-04,15,-10,18,0.0,61,1034,0
2010-01-04,18,-14,20,0.0,62,1036,0
2010-01-04,21,-16,14,0.0,62,1036,5
2010-01-05,00,-16,13,0.0,63,1037,9
2010-01-05,03,-16,13,0.0,66,1036,11
2010-01-05,06,-16,12,0.0,67,1036,6
2010-01-05,09,-13,6,0.0,53,1035,11
2010-01-05,12,-9,4,0.0,47,1033,11
2010-01-05,15,-10,2,0.0,76,1033,5
2010-01-05,18,-12,8,0.0,76,1035,6
2010-01-05,21,-13,9,0.0,72,1035,3
2010-01-06,00,-15,8,0.0,70,1036,8
2010-01-06,03,-16,9,0.0,71,1035,26
2010-01-06,06,-17,12,0.0,70,1036,21
2010-01-06,09,-12,5,0.0,54,1035,25
2010-01-06,12,-9,1,0.0,51,1035,17
2010-01-06,15,-10,5,0.0,80,1035,21
2010-01-06,18,-12,6,0.0,82,1036,13
2010-01-06,21,-12,6,0.0,78,1038,17
2010-01-07,00,-13,8,0.0,73,1038,18
2010-01-07,03,-14,9,0.0,74,1037,22
2010-01-07,06,-15,9,0.0,73,1038,18
2010-01-07,09,-11,5,0.0,56,1037,21
2010-01-07,12,-7,3,0.0,52,1034,20
2010-01-07,15,-9,5,0.0,84,1033,32
2010-01-07,18,-11,5,0.0,87,1033,44
2010-01-07,21,-12,1,0.0,85,1032,48
2010-01-08,00,-13,5,0.0,84,1031,58
2010-01-08,03,-13,4,0.0,81,1030,43
2010-01-08,06,-13,6,0.0,77,1030,47
2010-01-08,09,-9,6,0.0,61,1029,74
2010-01-08,12,-7,10,0.0,56,1027,97
2010-01-08,15,-9,5,0.0,74,1025,93
2010-01-08,18,-9,0,0.0,79,1026,19
2010-01-08,21,-12,6,0.0,82,1027,25
2010-01-09,00,-13,8,0.0,82,1028,34
2010-01-09,03,-14,10,0.0,81,1029,13
2010-01-09,06,-13,10,0.0,77,1031,8
2010-01-09,09,-8,13,0.0,60,1031,5
2010-01-09,12,-3,12,0.0,54,1031,2
2010-01-09,15,-5,6,0.0,81,1032,9
2010-01-09,18,-8,7,0.0,84,1034,45
2010-01-09,21,-8,3,0.0,83,1034,6
2010-01-10,00,-10,4,0.0,83,1033,18
2010-01-10,03,-12,5,0.0,85,1034,2
2010-01-10,06,-13,4,0.0,84,1034,11
2010-01-10,09,-9,3,0.0,65,1033,45
2010-01-10,12,-4,3,0.0,59,1032,62
2010-01-10,15,-6,9,0.0,78,1034,81
2010-01-10,18,-6,13,0.0,68,1035,11
2010-01-10,21,-10,16,0.0,66,1037,33
2010-01-11,00,-12,17,0.0,66,1037,0
2010-01-11,03,-13,13,0.0,66,1038,0
2010-01-11,06,-13,15,0.0,62,1039,0
2010-01-11,09,-9,14,0.0,42,1037,0
2010-01-11,12,-5,22,0.0,36,1035,0
2010-01-11,15,-6,13,0.0,51,1035,0
2010-01-11,18,-12,14,0.0,59,1035,3
2010-01-11,21,-11,11,0.0,63,1034,5
2010-01-12,00,-12,13,0.0,61,1034,11
2010-01-12,03,-16,13,0.0,67,1032,17
2010-01-12,06,-17,14,0.0,65,1033,11
2010-01-12,09,-15,23,0.0,49,1031,5
2010-01-12,12,-12,35,0.0,47,1031,8
2010-01-12,15,-12,21,0.0,61,1034,4
2010-01-12,18,-15,23,0.0,64,1036,5
2010-01-12,21,-16,18,0.0,64,1035,2
2010-01-13,00,-16,15,0.0,64,1036,1
2010-01-13,03,-15,12,0.0,63,1035,0
2010-01-13,06,-15,13,0.0,63,1035,0
2010-01-13,09,-11,10,0.0,52,1033,0
2010-01-13,12,-7,11,0.0,46,1031,0
2010-01-13,15,-8,8,0.0,69,1029,5
2010-01-13,18,-12,4,0.0,74,1029,45
2010-01-13,21,-11,8,0.0,74,1028,17
2010-01-14,00,-12,4,0.0,78,1026,6
2010-01-14,03,-14,0,0.0,76,1025,8
2010-01-14,06,-14,7,0.0,74,1025,11
2010-01-14,09,-9,8,0.0,57,1024,24
2010-01-14,12,-3,5,0.0,51,1025,9
2010-01-14,15,-4,12,0.0,74,1027,6
2010-01-14,18,-8,15,0.0,71,1032,4
2010-01-14,21,-10,16,0.0,72,1034,4
2010-01-15,00,-11,14,0.0,70,1037,2
2010-01-15,03,-12,13,0.0,72,1038,0
2010-01-15,06,-11,13,0.0,72,1040,0
2010-01-15,09,-7,7,0.0,58,1040,0
2010-01-15,12,-2,4,0.0,52,1038,0
2010-01-15,15,-4,9,0.0,81,1037,0
2010-01-15,18,-8,9,0.0,85,1038,0
2010-01-15,21,-9,6,0.0,82,1037,10
2010-01-16,00,-10,8,0.0,81,1036,42
2010-01-16,03,-11,6,0.0,78,1035,48
2010-01-16,06,-11,3,0.0,74,1034,58
2010-01-16,09,-6,3,0.0,56,1034,13
2010-01-16,12,-1,5,0.0,57,1031,0
2010-01-16,15,-3,5,0.0,83,1032,0
2010-01-16,18,-4,1,0.0,83,1032,0
2010-01-16,21,-6,3,0.0,81,1032,0
2010-01-17,00,-9,4,0.0,81,1031,8
2010-01-17,03,-10,5,0.0,79,1031,13
2010-01-17,06,-10,4,0.0,78,1031,41
2010-01-17,09,-5,0,0.0,59,1031,18
2010-01-17,12,1,3,0.0,58,1028,34
2010-01-17,15,-2,3,0.0,81,1029,5
2010-01-17,18,-4,5,0.0,80,1029,14
2010-01-17,21,-5,6,0.0,79,1028,6
2010-01-18,00,-5,5,0.0,79,1029,0
2010-01-18,03,-6,4,0.0,79,1027,0
2010-01-18,06,-8,5,0.0,76,1028,3
2010-01-18,09,-1,2,0.0,57,1028,0
2010-01-18,12,3,6,0.0,61,1026,14
2010-01-18,15,-1,5,0.0,85,1026,50
2010-01-18,18,-2,5,0.0,85,1026,5
2010-01-18,21,-3,4,0.0,84,1026,7
2010-01-19,00,-5,1,0.0,86,1024,28
2010-01-19,03,-4,3,0.0,86,1023,56
2010-01-19,06,-3,2,0.0,87,1022,71
2010-01-19,09,1,5,0.0,77,1022,39
2010-01-19,12,3,1,0.0,74,1019,6
2010-01-19,15,4,3,0.0,91,1019,0
2010-01-19,18,-1,5,0.0,92,1021,33
2010-01-19,21,-2,6,0.0,86,1024,6
2010-01-20,00,-1,13,0.0,80,1025,10
2010-01-20,03,-1,15,0.0,73,1028,15
2010-01-20,06,-3,15,0.0,70,1032,33
2010-01-20,09,-1,18,0.0,55,1035,22
2010-01-20,12,1,15,0.0,46,1034,23
2010-01-20,15,-1,16,0.0,53,1035,60
2010-01-20,18,-4,19,0.0,50,1039,75
2010-01-20,21,-5,18,0.0,48,1039,32
2010-01-21,00,-8,20,0.0,47,1040,26
2010-01-21,03,-9,16,0.0,45,1040,37
2010-01-21,06,-10,12,0.0,45,1040,33
2010-01-21,09,-6,14,0.0,38,1039,8
2010-01-21,12,-1,10,0.0,31,1036,0
2010-01-21,15,-4,7,0.0,46,1035,7
2010-01-21,18,-7,10,0.0,48,1037,43
2010-01-21,21,-8,14,0.0,50,1038,6
2010-01-22,00,-9,13,0.0,51,1039,2
2010-01-22,03,-10,15,0.0,55,1037,3
2010-01-22,06,-11,15,0.0,57,1037,2
2010-01-22,09,-6,15,0.0,41,1038,2
2010-01-22,12,-3,24,0.0,38,1036,3
2010-01-22,15,-3,17,0.0,50,1035,3
2010-01-22,18,-6,12,0.0,57,1035,2
2010-01-22,21,-8,11,0.0,61,1034,0
2010-01-23,00,-8,13,0.0,60,1034,0
2010-01-23,03,-9,15,0.0,59,1034,0
2010-01-23,06,-10,14,0.0,56,1034,0
