date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2010-01-01,00,-2,14,0.4,96,997,100
2010-01-01,03,-3,20,0.4,96,996,100
2010-01-01,06,-3,12,0.2,96,996,100
2010-01-01,09,-2,18,0.0,94,997,100
2010-01-01,12,-2,9,0.0,93,998,96
2010-01-01,15,-2,12,0.0,94,998,97
2010-01-01,18,-3,8,0.0,94,1000,100
2010-01-01,21,-3,10,0.1,97,1002,100
2010-01-02,00,-2,12,0.1,97,1004,100
2010-01-02,03,-2,13,0.0,97,1005,100
2010-01-02,06,-2,9,0.0,98,1007,100
2010-01-02,09,-2,13,0.1,97,1010,100
2010-01-02,12,-1,9,0.2,97,1012,100
2010-01-02,15,-2,14,0.0,98,1014,100
2010-01-02,18,-3,14,0.0,98,1016,79
2010-01-02,21,-4,12,0.0,99,1018,97
2010-01-03,00,-5,6,0.0,99,1019,88
2010-01-03,03,-5,1,0.0,99,1019,73
2010-01-03,06,-7,3,0.0,99,1019,63
2010-01-03,09,-6,8,0.0,98,1019,52
2010-01-03,12,-4,4,0.0,97,1019,53
2010-01-03,15,-7,7,0.0,99,1019,18
2010-01-03,18,-10,4,0.0,99,1021,9
2010-01-03,21,-10,5,0.0,100,1022,5
2010-01-04,00,-11,4,0.0,100,1022,11
2010-01-04,03,-12,6,0.0,99,1020,28
2010-01-04,06,-12,3,0.0,98,1020,69
2010-01-04,09,-10,9,0.0,99,1018,100
2010-01-04,12,-8,8,0.0,97,1017,95
2010-01-04,15,-8,12,0.0,98,1015,81
2010-01-04,18,-9,8,0.0,98,1014,44
2010-01-04,21,-8,14,0.0,97,1014,47
2010-01-05,00,-9,9,0.0,97,1013,77
2010-01-05,03,-8,11,0.0,98,1012,87
2010-01-05,06,-7,6,0.0,97,1011,93
2010-01-05,09,-6,11,0.0,96,1011,56
2010-01-05,12,-5,9,0.0,94,1010,41
2010-01-05,15,-7,9,0.0,97,1010,59
2010-01-05,18,-9,11,0.0,98,1009,48
2010-01-05,21,-9,9,0.0,98,1008,50
2010-01-06,00,-11,10,0.0,98,1007,41
2010-01-06,03,-11,8,0.0,99,1006,78
2010-01-06,06,-11,6,0.0,100,1005,100
2010-01-06,09,-7,6,0.0,98,1006,100
2010-01-06,12,-5,4,0.0,96,1005,100
2010-01-06,15,-5,4,0.0,97,1005,100
2010-01-06,18,-5,4,0.0,98,1005,100
2010-01-06,21,-6,8,0.0,98,1006,100
2010-01-07,00,-7,11,0.0,98,1006,100
2010-01-07,03,-8,11,0.0,98,1007,100
2010-01-07,06,-8,8,0.0,97,1008,92
2010-01-07,09,-8,10,0.0,96,1010,100
2010-01-07,12,-7,9,0.0,95,1011,79
2010-01-07,15,-7,12,0.0,97,1012,100
2010-01-07,18,-7,9,0.0,97,1014,100
2010-01-07,21,-7,10,0.0,98,1016,100
2010-01-08,00,-6,7,0.0,98,1018,100
2010-01-08,03,-7,5,0.0,97,1019,100
2010-01-08,06,-8,4,0.0,98,1020,98
2010-01-08,09,-7,6,0.0,95,1022,100
2010-01-08,12,-4,12,0.0,96,1022,76
2010-01-08,15,-5,17,0.0,97,1021,100
2010-01-08,18,-5,14,0.0,96,1022,100
2010-01-08,21,-4,23,0.0,96,1021,100
2010-01-09,00,-3,25,0.2,95,1020,100
2010-01-09,03,-3,31,0.2,95,1019,100
2010-01-09,06,-3,24,0.2,95,1017,100
2010-01-09,09,-3,30,0.3,96,1017,100
2010-01-09,12,-3,21,0.8,96,1017,100
2010-01-09,15,-3,25,1.0,97,1015,100
2010-01-09,18,-4,20,0.7,96,1014,100
2010-01-09,21,-4,25,0.4,97,1014,100
2010-01-10,00,-3,19,0.3,97,1014,100
2010-01-10,03,-3,22,0.1,96,1013,100
2010-01-10,06,-3,15,0.4,97,1014,100
2010-01-10,09,-4,19,0.7,97,1015,100
2010-01-10,12,-4,13,0.5,97,1016,100
2010-01-10,15,-4,14,0.4,97,1015,100
2010-01-10,18,-4,9,0.2,97,1016,100
2010-01-10,21,-5,13,0.0,97,1017,100
2010-01-11,00,-5,6,0.0,98,1017,100
2010-01-11,03,-6,10,0.2,98,1017,100
2010-01-11,06,-6,5,0.0,98,1017,100
2010-01-11,09,-5,9,0.1,98,1018,80
2010-01-11,12,-4,3,0.0,97,1018,100
2010-01-11,15,-4,3,0.0,98,1018,100
2010-01-11,18,-5,2,0.0,98,1019,98
2010-01-11,21,-5,6,0.0,98,1020,71
2010-01-12,00,-7,4,0.0,98,1021,57
2010-01-12,03,-9,6,0.0,100,1022,71
2010-01-12,06,-8,3,0.0,99,1022,87
