date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2010-01-01,00,24,8,0.0,81,1011,13
2010-01-01,03,24,6,0.0,81,1012,8
2010-01-01,06,25,6,0.0,75,1014,7
2010-01-01,09,26,13,0.0,71,1013,4
2010-01-01,12,27,18,0.0,71,1012,3
2010-01-01,15,26,19,0.0,78,1012,2
2010-01-01,18,25,14,0.0,83,1013,6
2010-01-01,21,25,15,0.0,84,1014,6
2010-01-02,00,25,16,0.0,82,1014,5
2010-01-02,03,25,13,0.0,80,1014,9
2010-01-02,06,26,16,0.0,76,1015,11
2010-01-02,09,27,13,0.0,70,1015,5
2010-01-02,12,27,17,0.0,71,1013,10
2010-01-02,15,26,13,0.0,78,1013,6
2010-01-02,18,25,17,0.0,81,1015,11
2010-01-02,21,25,18,0.2,81,1016,86
2010-01-03,00,24,15,0.0,79,1014,9
2010-01-03,03,24,17,0.0,78,1014,8
2010-01-03,06,25,14,0.0,73,1016,8
2010-01-03,09,27,17,0.1,68,1015,78
2010-01-03,12,27,21,0.0,67,1013,7
2010-01-03,15,25,15,0.0,73,1012,6
2010-01-03,18,24,14,0.0,74,1014,3
2010-01-03,21,24,15,0.0,74,1014,3
2010-01-04,00,23,15,0.0,75,1013,3
2010-01-04,03,23,6,0.0,77,1013,32
2010-01-04,06,23,8,0.0,70,1014,20
2010-01-04,09,25,9,0.0,64,1013,21
2010-01-04,12,26,14,0.0,63,1011,3
2010-01-04,15,25,10,0.0,70,1011,3
2010-01-04,18,24,12,0.0,72,1012,1
2010-01-04,21,23,10,0.0,74,1012,2
2010-01-05,00,23,6,0.0,75,1010,3
2010-01-05,03,22,4,0.0,78,1010,0
2010-01-05,06,23,9,0.0,72,1012,0
2010-01-05,09,24,6,0.0,62,1012,0
2010-01-05,12,27,13,0.0,63,1011,2
2010-01-05,15,25,11,0.0,72,1010,2
2010-01-05,18,24,14,0.0,76,1011,2
2010-01-05,21,24,13,0.0,78,1012,7
2010-01-06,00,24,12,0.0,78,1011,5
2010-01-06,03,23,9,0.0,79,1011,4
2010-01-06,06,24,12,0.0,75,1012,10
2010-01-06,09,26,18,0.0,69,1013,6
2010-01-06,12,27,21,0.0,69,1010,6
2010-01-06,15,25,14,0.0,75,1010,6
2010-01-06,18,25,21,0.0,78,1012,4
2010-01-06,21,24,22,0.0,79,1012,4
2010-01-07,00,24,18,0.0,81,1011,20
2010-01-07,03,24,14,0.0,80,1011,21
2010-01-07,06,25,14,0.0,77,1013,16
2010-01-07,09,26,17,0.0,67,1013,5
2010-01-07,12,27,23,0.0,67,1011,7
2010-01-07,15,25,15,0.0,73,1011,31
2010-01-07,18,25,23,0.0,76,1012,31
2010-01-07,21,25,25,0.0,79,1013,61
2010-01-08,00,25,23,0.0,79,1012,69
2010-01-08,03,25,16,0.4,78,1012,85
2010-01-08,06,25,17,0.4,80,1013,93
2010-01-08,09,25,18,0.4,83,1013,100
2010-01-08,12,25,15,0.4,85,1011,94
