date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2010-01-01,00,20,10,0.0,57,1015,0
2010-01-01,03,17,16,0.0,58,1014,0
2010-01-01,06,16,13,0.0,48,1016,0
2010-01-01,09,22,9,0.0,25,1016,0
2010-01-01,12,27,7,0.0,24,1014,4
2010-01-01,15,27,7,0.0,27,1014,5
2010-01-01,18,23,4,0.0,43,1015,7
2010-01-01,21,19,13,0.0,47,1015,8
2010-01-02,00,18,13,0.0,40,1014,7
2010-01-02,03,17,10,0.0,38,1015,7
2010-01-02,06,18,16,0.0,33,1016,9
2010-01-02,09,21,19,0.0,26,1016,9
2010-01-02,12,26,14,0.0,23,1015,17
2010-01-02,15,25,9,0.0,28,1015,13
2010-01-02,18,21,9,0.0,43,1017,7
2010-01-02,21,19,9,0.0,62,1016,5
2010-01-03,00,17,5,0.0,60,1016,7
2010-01-03,03,16,4,0.0,56,1016,8
2010-01-03,06,16,5,0.0,45,1018,5
2010-01-03,09,21,10,0.0,31,1019,4
2010-01-03,12,25,18,0.0,30,1018,3
2010-01-03,15,27,9,0.0,32,1016,0
2010-01-03,18,22,10,0.0,59,1018,0
2010-01-03,21,21,9,0.0,66,1019,2
2010-01-04,00,20,8,0.0,70,1018,0
2010-01-04,03,17,8,0.0,73,1018,0
2010-01-04,06,16,11,0.0,55,1020,0
2010-01-04,09,22,10,0.0,28,1020,0
2010-01-04,12,27,6,0.0,23,1018,0
2010-01-04,15,28,10,0.0,26,1016,0
2010-01-04,18,23,11,0.0,57,1017,0
2010-01-04,21,21,8,0.0,68,1017,0
2010-01-05,00,19,5,0.0,74,1016,0
2010-01-05,03,17,2,0.0,78,1015,0
2010-01-05,06,18,1,0.0,73,1016,0
2010-01-05,09,22,9,0.0,42,1016,1
2010-01-05,12,26,15,0.0,35,1013,3
2010-01-05,15,26,14,0.0,41,1013,4
2010-01-05,18,22,11,0.0,65,1014,2
2010-01-05,21,21,9,0.0,74,1014,1
2010-01-06,00,20,4,0.0,79,1014,0
2010-01-06,03,18,7,0.0,81,1013,0
