date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2010-01-01,00,15,14,0.0,68,1014,0
2010-01-01,03,15,16,0.0,76,1015,0
2010-01-01,06,15,13,0.0,57,1018,0
2010-01-01,09,22,9,0.0,38,1017,0
2010-01-01,12,24,13,0.0,32,1014,0
2010-01-01,15,21,10,0.0,44,1015,0
2010-01-01,18,19,10,0.0,52,1016,0
2010-01-01,21,17,12,0.0,55,1017,0
2010-01-02,00,15,10,0.0,60,1016,0
2010-01-02,03,13,10,0.0,64,1017,0
2010-01-02,06,15,12,0.0,54,1019,0
2010-01-02,09,21,8,0.0,37,1018,0
2010-01-02,12,24,16,0.0,32,1016,0
2010-01-02,15,22,12,0.0,45,1016,0
2010-01-02,18,19,10,0.0,53,1017,0
2010-01-02,21,17,13,0.0,58,1017,0
2010-01-03,00,16,12,0.0,62,1016,0
2010-01-03,03,14,14,0.0,65,1016,0
2010-01-03,06,15,14,0.0,50,1018,0
2010-01-03,09,22,7,0.0,32,1016,0
2010-01-03,12,25,11,0.0,26,1014,0
2010-01-03,15,23,9,0.0,38,1013,0
2010-01-03,18,19,9,0.0,42,1014,0
2010-01-03,21,17,10,0.0,45,1014,0
2010-01-04,00,15,9,0.0,51,1015,0
2010-01-04,03,14,12,0.0,58,1015,0
2010-01-04,06,15,12,0.0,45,1016,3
2010-01-04,09,21,11,0.0,28,1014,4
2010-01-04,12,24,12,0.0,25,1011,4
2010-01-04,15,21,8,0.0,39,1010,4
2010-01-04,18,19,9,0.0,40,1012,3
2010-01-04,21,16,11,0.0,44,1013,8
2010-01-05,00,15,11,0.0,51,1012,11
2010-01-05,03,15,9,0.0,62,1013,5
2010-01-05,06,16,14,0.0,56,1015,0
2010-01-05,09,22,12,0.0,39,1013,0
2010-01-05,12,25,14,0.0,36,1011,0
2010-01-05,15,22,10,0.0,52,1011,0
2010-01-05,18,20,10,0.0,59,1013,0
2010-01-05,21,18,11,0.0,65,1013,0
2010-01-06,00,15,12,0.0,73,1013,0
2010-01-06,03,14,8,0.0,79,1014,0
2010-01-06,06,15,10,0.0,59,1016,0
2010-01-06,09,22,9,0.0,36,1015,0
2010-01-06,12,25,12,0.0,31,1013,0
2010-01-06,15,22,8,0.0,44,1013,0
2010-01-06,18,19,8,0.0,52,1015,0
2010-01-06,21,16,8,0.0,58,1015,0
2010-01-07,00,15,9,0.0,59,1015,0
2010-01-07,03,13,10,0.0,64,1015,0
2010-01-07,06,15,12,0.0,49,1017,0
2010-01-07,09,22,12,0.0,34,1016,0
2010-01-07,12,26,11,0.0,30,1014,0
2010-01-07,15,22,8,0.0,45,1014,0
2010-01-07,18,20,8,0.0,50,1016,0
2010-01-07,21,17,8,0.0,52,1016,0
2010-01-08,00,15,8,0.0,54,1015,0
