date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2010-01-01,00,1,21,0.0,91,1000,100
2010-01-01,03,1,22,0.0,86,1001,77
2010-01-01,06,1,21,0.0,85,1002,40
2010-01-01,09,-0,18,0.0,84,1004,32
2010-01-01,12,1,15,0.0,83,1005,16
2010-01-01,15,3,13,0.0,82,1006,0
2010-01-01,18,-2,10,0.0,90,1008,13
2010-01-01,21,-3,12,0.0,95,1009,83
2010-01-02,00,-2,13,0.0,94,1011,74
2010-01-02,03,-1,13,0.0,92,1011,62
2010-01-02,06,-0,13,0.0,91,1013,54
2010-01-02,09,1,15,0.0,89,1015,27
2010-01-02,12,2,14,0.0,85,1015,20
2010-01-02,15,3,14,0.0,82,1016,13
2010-01-02,18,-1,14,0.0,94,1017,68
2010-01-02,21,-1,14,0.0,97,1017,44
2010-01-03,00,-1,7,0.0,98,1019,78
2010-01-03,03,-1,10,0.0,99,1020,100
2010-01-03,06,1,16,0.0,86,1021,36
2010-01-03,09,0,14,0.0,84,1023,6
2010-01-03,12,2,12,0.0,83,1023,3
2010-01-03,15,3,10,0.0,83,1023,0
2010-01-03,18,-1,9,0.0,95,1024,8
2010-01-03,21,-1,10,0.0,93,1024,9
2010-01-04,00,-3,11,0.0,91,1024,20
2010-01-04,03,-3,9,0.0,88,1023,15
2010-01-04,06,-4,6,0.0,90,1022,30
2010-01-04,09,-4,10,0.0,88,1020,13
2010-01-04,12,-1,12,0.0,76,1019,11
2010-01-04,15,1,13,0.0,65,1017,9
2010-01-04,18,-2,6,0.0,78,1016,7
2010-01-04,21,-2,13,0.0,77,1014,5
2010-01-05,00,-2,7,0.0,73,1013,5
2010-01-05,03,-4,10,0.0,79,1010,17
2010-01-05,06,-4,11,0.0,88,1008,28
2010-01-05,09,-3,13,0.0,96,1006,43
2010-01-05,12,-1,10,0.0,87,1003,34
2010-01-05,15,1,7,0.0,78,1001,25
2010-01-05,18,-2,6,0.3,93,1001,51
2010-01-05,21,-0,12,0.4,95,1000,91
2010-01-06,00,1,18,1.7,96,999,100
2010-01-06,03,1,18,0.7,91,999,100
2010-01-06,06,0,19,0.2,94,1000,100
2010-01-06,09,-0,18,0.2,95,1001,98
