date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2010-01-01,00,3,25,0.0,84,1007,52
2010-01-01,03,4,23,0.0,83,1008,68
2010-01-01,06,4,23,0.0,85,1010,78
2010-01-01,09,5,22,0.0,85,1010,89
2010-01-01,12,6,26,0.1,84,1011,86
2010-01-01,15,7,26,0.0,83,1011,84
2010-01-01,18,6,13,0.0,86,1015,37
2010-01-01,21,5,12,0.0,93,1017,22
2010-01-02,00,4,9,0.0,95,1019,22
2010-01-02,03,2,7,0.0,95,1020,20
2010-01-02,06,1,8,0.0,96,1021,15
2010-01-02,09,4,5,0.0,89,1021,20
2010-01-02,12,6,6,0.0,85,1021,27
2010-01-02,15,7,7,0.0,81,1020,34
2010-01-02,18,5,5,0.0,94,1021,25
2010-01-02,21,4,4,0.0,97,1021,18
2010-01-03,00,3,3,0.0,97,1022,100
2010-01-03,03,3,5,0.0,98,1020,100
2010-01-03,06,3,7,0.0,96,1019,24
2010-01-03,09,4,5,0.0,92,1019,67
2010-01-03,12,4,7,0.0,93,1018,82
2010-01-03,15,6,9,0.6,93,1017,98
2010-01-03,18,5,8,0.0,97,1017,96
2010-01-03,21,6,6,0.0,98,1017,100
2010-01-04,00,6,5,0.0,98,1016,97
2010-01-04,03,7,9,0.0,96,1014,100
2010-01-04,06,6,5,0.1,96,1012,91
2010-01-04,09,7,9,0.4,93,1010,81
2010-01-04,12,7,11,0.6,95,1006,91
2010-01-04,15,8,13,2.7,98,1003,100
2010-01-04,18,8,11,3.4,97,1003,100
2010-01-04,21,9,12,0.0,97,1002,69
2010-01-05,00,8,12,0.5,98,1001,93
2010-01-05,03,8,5,0.6,98,999,100
2010-01-05,06,8,1,0.6,95,1000,71
2010-01-05,09,9,6,0.0,88,1001,43
2010-01-05,12,9,8,0.0,88,1001,52
2010-01-05,15,9,9,0.0,87,1002,62
2010-01-05,18,8,0,0.0,89,1003,77
2010-01-05,21,6,9,0.0,93,1004,69
2010-01-06,00,5,4,0.0,93,1005,46
2010-01-06,03,3,9,0.0,95,1005,53
2010-01-06,06,5,12,0.0,92,1006,58
