date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2010-01-01,00,-7,5,0.0,99,1003,100
2010-01-01,03,-10,3,0.0,99,1004,100
2010-01-01,06,-11,4,0.0,99,1005,100
2010-01-01,09,-11,3,0.0,99,1005,100
2010-01-01,12,-11,6,0.0,98,1007,100
2010-01-01,15,-11,8,0.0,99,1007,100
2010-01-01,18,-13,6,0.0,99,1007,79
2010-01-01,21,-16,5,0.0,99,1007,54
2010-01-02,00,-16,8,0.0,99,1008,60
2010-01-02,03,-16,8,0.0,100,1008,89
2010-01-02,06,-15,7,0.0,100,1008,100
2010-01-02,09,-14,10,0.0,99,1008,100
2010-01-02,12,-13,12,0.0,98,1008,100
2010-01-02,15,-12,10,0.0,98,1007,100
2010-01-02,18,-12,15,0.0,98,1007,100
2010-01-02,21,-12,17,0.0,98,1006,100
2010-01-03,00,-12,19,0.0,98,1007,100
2010-01-03,03,-13,17,0.0,98,1007,100
2010-01-03,06,-16,18,0.0,98,1007,100
2010-01-03,09,-18,18,0.0,99,1007,100
2010-01-03,12,-18,18,0.0,98,1009,100
2010-01-03,15,-18,13,0.0,99,1010,100
2010-01-03,18,-20,15,0.0,99,1011,100
2010-01-03,21,-20,9,0.0,99,1011,100
2010-01-04,00,-20,13,0.0,99,1013,100
2010-01-04,03,-21,8,0.0,99,1014,100
2010-01-04,06,-21,9,0.0,99,1014,100
2010-01-04,09,-20,7,0.0,99,1014,100
2010-01-04,12,-18,12,0.0,98,1015,90
2010-01-04,15,-17,12,0.0,99,1015,95
2010-01-04,18,-15,14,0.0,99,1015,100
2010-01-04,21,-14,12,0.0,99,1015,100
2010-01-05,00,-12,14,0.0,99,1017,100
2010-01-05,03,-11,13,0.0,98,1019,100
2010-01-05,06,-11,16,0.0,98,1019,100
2010-01-05,09,-12,12,0.0,98,1021,96
2010-01-05,12,-13,15,0.0,98,1022,90
2010-01-05,15,-13,8,0.0,98,1023,74
2010-01-05,18,-15,14,0.0,98,1024,89
2010-01-05,21,-16,10,0.0,98,1025,95
2010-01-06,00,-16,13,0.0,99,1026,100
2010-01-06,03,-16,11,0.0,99,1027,100
2010-01-06,06,-16,11,0.0,99,1026,100
2010-01-06,09,-16,9,0.0,99,1028,100
2010-01-06,12,-15,12,0.0,98,1028,100
2010-01-06,15,-14,8,0.0,98,1029,85
2010-01-06,18,-15,12,0.0,99,1029,100
2010-01-06,21,-16,13,0.0,99,1029,100
2010-01-07,00,-15,16,0.0,99,1029,100
2010-01-07,03,-14,16,0.0,99,1028,100
2010-01-07,06,-13,22,0.0,98,1026,100
2010-01-07,09,-12,23,0.0,98,1023,100
2010-01-07,12,-11,29,0.3,98,1022,100
2010-01-07,15,-10,22,0.6,97,1021,100
2010-01-07,18,-9,29,0.8,97,1020,100
2010-01-07,21,-9,23,1.0,97,1019,100
2010-01-08,00,-9,21,0.1,98,1020,100
2010-01-08,03,-7,14,0.0,98,1020,97
2010-01-08,06,-8,15,0.0,98,1020,100
2010-01-08,09,-7,10,0.0,99,1020,100
2010-01-08,12,-7,12,0.3,99,1020,100
2010-01-08,15,-5,9,0.3,99,1020,100
2010-01-08,18,-4,15,0.0,98,1021,100
2010-01-08,21,-6,15,0.0,97,1024,100
2010-01-09,00,-7,16,0.0,97,1026,100
2010-01-09,03,-7,11,0.0,97,1029,100
2010-01-09,06,-7,14,0.0,97,1031,100
2010-01-09,09,-8,8,0.0,98,1032,100
2010-01-09,12,-8,10,0.0,98,1033,100
2010-01-09,15,-10,4,0.0,98,1034,68
2010-01-09,18,-13,8,0.0,99,1035,74
2010-01-09,21,-14,11,0.0,99,1035,71
2010-01-10,00,-16,8,0.0,99,1036,42
2010-01-10,03,-16,4,0.0,97,1036,9
2010-01-10,06,-18,8,0.0,97,1037,4
2010-01-10,09,-18,9,0.0,99,1037,7
2010-01-10,12,-15,6,0.0,98,1037,19
2010-01-10,15,-13,7,0.0,97,1036,3
2010-01-10,18,-14,8,0.0,95,1037,0
2010-01-10,21,-16,6,0.0,98,1036,0
2010-01-11,00,-16,5,0.0,96,1035,2
2010-01-11,03,-17,1,0.0,95,1034,3
2010-01-11,06,-19,3,0.0,93,1033,6
2010-01-11,09,-18,4,0.0,92,1032,6
2010-01-11,12,-14,1,0.0,93,1032,5
2010-01-11,15,-14,3,0.0,90,1030,5
2010-01-11,18,-17,1,0.0,92,1030,11
2010-01-11,21,-16,5,0.0,93,1029,5
2010-01-12,00,-17,6,0.0,91,1029,5
2010-01-12,03,-17,8,0.0,92,1029,6
2010-01-12,06,-18,7,0.0,90,1029,7
2010-01-12,09,-18,6,0.0,90,1028,6
2010-01-12,12,-14,9,0.0,94,1027,5
2010-01-12,15,-12,8,0.0,95,1025,4
2010-01-12,18,-14,10,0.0,93,1024,4
2010-01-12,21,-15,9,0.0,93,1023,8
2010-01-13,00,-15,8,0.0,91,1022,47
2010-01-13,03,-15,7,0.0,93,1021,5
2010-01-13,06,-15,9,0.0,97,1021,45
2010-01-13,09,-11,9,0.0,99,1020,78
2010-01-13,12,-9,9,0.0,99,1021,90
2010-01-13,15,-7,8,0.0,98,1021,100
2010-01-13,18,-9,10,0.0,98,1022,100
2010-01-13,21,-11,7,0.0,98,1023,61
2010-01-14,00,-12,10,0.0,99,1023,56
2010-01-14,03,-13,8,0.0,99,1023,53
2010-01-14,06,-12,10,0.0,99,1025,75
2010-01-14,09,-11,8,0.0,99,1025,87
2010-01-14,12,-9,5,0.0,99,1026,90
2010-01-14,15,-7,3,0.0,98,1027,100
2010-01-14,18,-8,4,0.0,98,1027,100
2010-01-14,21,-11,2,0.0,97,1028,100
2010-01-15,00,-11,3,0.0,97,1028,100
2010-01-15,03,-12,2,0.0,97,1028,100
2010-01-15,06,-12,5,0.0,97,1028,88
2010-01-15,09,-13,4,0.0,99,1028,56
2010-01-15,12,-11,2,0.0,97,1029,89
2010-01-15,15,-10,5,0.0,99,1031,63
2010-01-15,18,-13,5,0.0,100,1033,43
2010-01-15,21,-14,6,0.0,100,1035,14
2010-01-16,00,-14,6,0.0,100,1037,15
2010-01-16,03,-16,2,0.0,100,1039,15
2010-01-16,06,-14,7,0.0,99,1041,27
2010-01-16,09,-14,4,0.0,99,1043,46
2010-01-16,12,-12,5,0.0,98,1045,52
2010-01-16,15,-12,2,0.0,99,1046,42
