date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2010-01-01,00,21,8,0.0,45,1011,14
2010-01-01,03,19,6,0.0,44,1012,14
2010-01-01,06,20,10,0.0,42,1014,6
2010-01-01,09,27,4,0.0,38,1014,6
2010-01-01,12,32,10,0.0,38,1012,10
2010-01-01,15,31,9,0.0,46,1011,12
2010-01-01,18,26,8,0.0,58,1013,9
2010-01-01,21,23,6,0.0,58,1013,15
2010-01-02,00,23,7,0.0,57,1013,28
2010-01-02,03,22,8,0.0,53,1013,36
2010-01-02,06,23,8,0.0,51,1014,14
2010-01-02,09,29,6,0.0,43,1015,14
2010-01-02,12,32,13,0.0,42,1013,19
2010-01-02,15,31,9,0.0,55,1013,17
2010-01-02,18,27,5,0.0,71,1015,18
2010-01-02,21,25,5,0.0,71,1016,22
2010-01-03,00,24,5,0.0,76,1015,23
2010-01-03,03,23,5,0.0,82,1015,24
2010-01-03,06,23,6,0.0,75,1016,19
2010-01-03,09,28,5,0.0,53,1016,24
2010-01-03,12,30,12,0.0,51,1014,44
2010-01-03,15,30,14,0.0,59,1014,22
2010-01-03,18,27,11,0.0,70,1015,21
2010-01-03,21,25,9,0.0,72,1016,19
2010-01-04,00,23,9,0.0,72,1015,15
2010-01-04,03,22,5,0.0,72,1014,14
2010-01-04,06,23,9,0.0,65,1016,6
2010-01-04,09,27,11,0.0,44,1015,4
2010-01-04,12,31,15,0.0,38,1013,0
2010-01-04,15,29,15,0.0,42,1011,0
2010-01-04,18,25,13,0.0,53,1013,0
2010-01-04,21,23,12,0.0,56,1013,0
2010-01-05,00,22,8,0.0,61,1012,0
2010-01-05,03,20,3,0.0,63,1012,0
2010-01-05,06,21,6,0.0,58,1013,0
2010-01-05,09,28,5,0.0,37,1013,0
2010-01-05,12,31,10,0.0,38,1010,4
2010-01-05,15,29,10,0.0,46,1010,5
2010-01-05,18,26,5,0.0,59,1012,20
2010-01-05,21,25,5,0.0,58,1012,17
2010-01-06,00,24,6,0.0,58,1011,9
2010-01-06,03,21,9,0.0,57,1011,11
2010-01-06,06,21,11,0.0,50,1013,4
2010-01-06,09,28,5,0.0,36,1012,4
2010-01-06,12,33,6,0.0,30,1010,3
2010-01-06,15,31,6,0.0,38,1009,4
2010-01-06,18,27,8,0.0,56,1011,5
2010-01-06,21,24,7,0.0,51,1011,5
2010-01-07,00,23,9,0.0,46,1011,7
2010-01-07,03,21,8,0.0,45,1011,9
2010-01-07,06,21,11,0.0,45,1013,9
2010-01-07,09,28,4,0.0,36,1013,16
2010-01-07,12,32,10,0.0,33,1011,7
2010-01-07,15,31,9,0.0,39,1011,6
2010-01-07,18,26,8,0.0,58,1013,6
2010-01-07,21,23,9,0.0,57,1013,8
2010-01-08,00,22,8,0.0,50,1013,10
2010-01-08,03,21,6,0.0,45,1013,10
2010-01-08,06,21,9,0.0,41,1014,4
2010-01-08,09,28,6,0.0,30,1014,4
2010-01-08,12,32,9,0.0,29,1012,3
2010-01-08,15,30,7,0.0,38,1011,4
2010-01-08,18,26,8,0.0,56,1013,3
2010-01-08,21,23,7,0.0,61,1014,4
2010-01-09,00,22,8,0.0,51,1013,6
2010-01-09,03,21,9,0.0,47,1013,7
2010-01-09,06,20,12,0.0,40,1014,10
2010-01-09,09,27,5,0.0,33,1014,8
2010-01-09,12,32,6,0.0,32,1012,6
2010-01-09,15,30,5,0.0,38,1011,5
2010-01-09,18,26,10,0.0,49,1013,5
2010-01-09,21,23,10,0.0,47,1014,6
2010-01-10,00,22,9,0.0,45,1013,8
2010-01-10,03,21,10,0.0,46,1012,11
2010-01-10,06,20,9,0.0,43,1014,10
2010-01-10,09,28,5,0.0,36,1014,10
2010-01-10,12,33,8,0.0,35,1011,9
2010-01-10,15,31,9,0.0,42,1011,7
2010-01-10,18,27,8,0.0,53,1013,10
2010-01-10,21,25,8,0.0,51,1014,17
2010-01-11,00,25,6,0.0,49,1013,19
2010-01-11,03,23,4,0.0,47,1012,19
2010-01-11,06,24,5,0.0,48,1013,22
2010-01-11,09,27,3,0.0,46,1014,43
2010-01-11,12,31,7,0.0,48,1012,46
2010-01-11,15,30,7,0.0,51,1012,46
2010-01-11,18,27,5,0.0,58,1014,45
2010-01-11,21,25,1,0.0,65,1014,26
2010-01-12,00,24,4,0.0,69,1014,16
2010-01-12,03,22,2,0.0,82,1014,6
2010-01-12,06,24,6,0.0,70,1015,7
2010-01-12,09,28,8,0.0,51,1015,6
2010-01-12,12,30,15,0.0,44,1013,5
2010-01-12,15,28,12,0.0,47,1013,5
2010-01-12,18,24,6,0.0,72,1016,7
2010-01-12,21,22,6,0.0,79,1016,5
2010-01-13,00,21,6,0.0,81,1016,5
2010-01-13,03,20,7,0.0,76,1016,4
2010-01-13,06,21,11,0.0,61,1018,2
2010-01-13,09,25,10,0.0,37,1017,0
2010-01-13,12,29,13,0.0,33,1015,0
2010-01-13,15,27,14,0.0,36,1015,0
2010-01-13,18,23,12,0.0,45,1017,0
2010-01-13,21,21,13,0.0,42,1018,0
2010-01-14,00,20,10,0.0,43,1018,0
2010-01-14,03,19,11,0.0,41,1017,0
2010-01-14,06,18,10,0.0,36,1018,0
2010-01-14,09,26,9,0.0,24,1018,0
2010-01-14,12,31,10,0.0,29,1016,3
2010-01-14,15,30,11,0.0,34,1014,4
2010-01-14,18,26,9,0.0,49,1016,5
2010-01-14,21,24,10,0.0,49,1017,5
2010-01-15,00,23,10,0.0,52,1016,4
2010-01-15,03,20,8,0.0,51,1017,5
2010-01-15,06,21,11,0.0,50,1018,5
2010-01-15,09,28,6,0.0,40,1018,4
2010-01-15,12,33,5,0.0,32,1016,3
2010-01-15,15,32,9,0.0,36,1015,2
2010-01-15,18,28,12,0.0,46,1017,3
2010-01-15,21,25,10,0.0,46,1018,5
2010-01-16,00,24,10,0.0,48,1018,2
2010-01-16,03,22,10,0.0,52,1018,2
2010-01-16,06,22,9,0.0,55,1019,3
2010-01-16,09,30,6,0.0,38,1019,5
2010-01-16,12,33,10,0.0,33,1017,4
2010-01-16,15,31,8,0.0,39,1017,4
2010-01-16,18,28,11,0.0,51,1018,4
2010-01-16,21,25,9,0.0,54,1018,5
2010-01-17,00,24,8,0.0,56,1018,4
2010-01-17,03,21,9,0.0,59,1017,3
2010-01-17,06,22,8,0.0,56,1019,0
2010-01-17,09,28,5,0.0,35,1019,5
2010-01-17,12,31,13,0.0,31,1017,4
2010-01-17,15,30,10,0.0,37,1016,4
2010-01-17,18,26,8,0.0,54,1017,0
2010-01-17,21,23,7,0.0,52,1019,0
2010-01-18,00,21,6,0.0,52,1018,0
2010-01-18,03,20,6,0.0,55,1017,0
2010-01-18,06,21,5,0.0,50,1018,0
2010-01-18,09,27,8,0.0,35,1018,0
2010-01-18,12,30,12,0.0,32,1015,0
2010-01-18,15,30,14,0.0,40,1015,3
2010-01-18,18,26,12,0.0,51,1016,6
2010-01-18,21,23,10,0.0,51,1017,7
2010-01-19,00,23,9,0.0,53,1015,5
2010-01-19,03,22,5,0.0,52,1016,6
2010-01-19,06,20,9,0.0,47,1017,10
2010-01-19,09,28,3,0.0,35,1017,7
2010-01-19,12,32,10,0.0,33,1014,5
2010-01-19,15,31,12,0.0,40,1013,5
2010-01-19,18,28,10,0.0,47,1015,5
2010-01-19,21,24,9,0.0,49,1015,5
2010-01-20,00,23,9,0.0,45,1015,5
2010-01-20,03,21,9,0.0,42,1015,7
2010-01-20,06,21,10,0.0,40,1017,11
2010-01-20,09,27,5,0.0,34,1017,14
2010-01-20,12,32,6,0.0,36,1015,9
2010-01-20,15,31,8,0.0,40,1014,8
2010-01-20,18,27,6,0.0,53,1016,11
2010-01-20,21,25,8,0.0,51,1016,12
2010-01-21,00,24,8,0.0,49,1016,11
2010-01-21,03,22,5,0.0,48,1016,6
2010-01-21,06,21,9,0.0,41,1017,7
2010-01-21,09,29,3,0.0,32,1017,6
