date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2010-01-01,00,1,14,0.0,87,995,100
2010-01-01,03,0,22,0.0,86,995,100
2010-01-01,06,-0,21,0.0,85,996,100
2010-01-01,09,-0,24,0.0,82,999,100
2010-01-01,12,1,13,0.0,76,1001,92
2010-01-01,15,1,21,0.0,71,1003,17
2010-01-01,18,-1,14,0.0,81,1007,6
2010-01-01,21,-2,12,0.0,89,1010,6
2010-01-02,00,-2,10,0.0,92,1013,29
2010-01-02,03,-2,12,0.0,93,1014,16
2010-01-02,06,-2,10,0.0,90,1015,4
2010-01-02,09,-2,17,0.0,81,1017,66
2010-01-02,12,3,13,0.0,73,1019,69
2010-01-02,15,2,15,0.0,84,1019,72
2010-01-02,18,1,7,0.0,89,1020,24
2010-01-02,21,-1,10,0.0,94,1021,17
2010-01-03,00,-1,10,0.0,94,1021,16
2010-01-03,03,-1,11,0.0,91,1020,37
2010-01-03,06,-1,10,0.0,89,1020,34
2010-01-03,09,-1,5,0.0,81,1021,5
2010-01-03,12,3,6,0.0,74,1021,18
2010-01-03,15,1,13,0.0,81,1020,39
2010-01-03,18,-1,15,0.0,89,1022,5
2010-01-03,21,-4,20,0.0,83,1022,0
2010-01-04,00,-4,12,0.0,79,1022,0
2010-01-04,03,-5,17,0.0,74,1021,0
2010-01-04,06,-5,13,0.0,71,1021,0
2010-01-04,09,-5,14,0.0,67,1020,0
2010-01-04,12,-2,9,0.0,47,1019,0
2010-01-04,15,-0,9,0.0,50,1017,0
2010-01-04,18,-2,9,0.0,66,1017,0
2010-01-04,21,-4,5,0.0,75,1015,5
2010-01-05,00,-5,7,0.0,75,1015,17
2010-01-05,03,-5,4,0.0,76,1012,54
2010-01-05,06,-5,1,0.0,73,1010,52
2010-01-05,09,-4,2,0.0,73,1009,90
2010-01-05,12,-1,3,0.0,66,1008,85
2010-01-05,15,0,3,0.0,68,1005,73
2010-01-05,18,-3,3,0.0,89,1006,61
2010-01-05,21,-4,6,0.0,84,1004,56
2010-01-06,00,-4,9,0.0,77,1003,39
2010-01-06,03,-6,8,0.0,80,1003,32
2010-01-06,06,-6,9,0.0,75,1002,45
2010-01-06,09,-5,12,0.0,67,1002,43
2010-01-06,12,-3,10,0.0,60,1002,70
2010-01-06,15,-2,10,0.0,68,1002,90
2010-01-06,18,-3,10,0.0,72,1004,60
2010-01-06,21,-5,11,0.0,84,1004,55
2010-01-07,00,-4,12,0.0,85,1004,56
2010-01-07,03,-5,17,0.2,89,1005,56
2010-01-07,06,-6,12,0.1,86,1006,67
2010-01-07,09,-6,13,0.1,83,1008,82
2010-01-07,12,-3,6,0.0,79,1010,44
2010-01-07,15,-2,10,0.0,85,1010,15
2010-01-07,18,-5,4,0.0,92,1013,8
2010-01-07,21,-5,3,0.0,92,1014,5
2010-01-08,00,-6,3,0.0,90,1015,4
2010-01-08,03,-7,12,0.0,86,1015,4
2010-01-08,06,-7,16,0.0,89,1016,0
2010-01-08,09,-7,21,0.0,94,1017,45
2010-01-08,12,-3,23,0.0,79,1017,14
2010-01-08,15,-2,27,0.0,80,1016,32
2010-01-08,18,-4,24,0.0,90,1017,79
2010-01-08,21,-6,31,0.0,90,1017,85
2010-01-09,00,-6,24,0.0,89,1017,95
2010-01-09,03,-6,31,0.0,87,1016,100
2010-01-09,06,-5,26,0.0,86,1016,100
2010-01-09,09,-4,26,0.0,86,1014,100
2010-01-09,12,-2,22,0.0,83,1014,100
2010-01-09,15,-2,28,0.0,85,1012,100
2010-01-09,18,-3,21,0.0,89,1013,100
2010-01-09,21,-2,21,0.0,91,1013,100
2010-01-10,00,-2,16,0.0,91,1013,100
2010-01-10,03,-2,16,0.0,90,1013,100
2010-01-10,06,-2,13,0.0,91,1013,100
