date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2010-01-01,00,19,8,0.0,50,1012,22
2010-01-01,03,18,6,0.0,48,1012,15
2010-01-01,06,18,9,0.0,44,1015,23
2010-01-01,09,25,9,0.0,38,1014,21
2010-01-01,12,27,6,0.0,44,1013,33
2010-01-01,15,27,4,0.0,50,1011,45
2010-01-01,18,25,3,0.0,57,1013,46
2010-01-01,21,23,5,0.0,59,1014,37
2010-01-02,00,22,6,0.0,59,1014,46
2010-01-02,03,22,8,0.0,59,1014,46
2010-01-02,06,21,12,0.0,52,1015,17
2010-01-02,09,26,10,0.0,40,1015,17
2010-01-02,12,27,6,0.0,48,1014,32
2010-01-02,15,27,2,0.0,56,1013,46
2010-01-02,18,25,3,0.0,69,1016,44
2010-01-02,21,22,2,0.0,75,1016,44
2010-01-03,00,22,3,0.0,75,1015,30
2010-01-03,03,20,3,0.0,79,1015,42
2010-01-03,06,20,5,0.0,69,1017,32
2010-01-03,09,27,6,0.0,39,1016,22
2010-01-03,12,29,6,0.0,44,1015,20
2010-01-03,15,28,6,0.0,48,1013,18
2010-01-03,18,25,6,0.0,66,1015,24
2010-01-03,21,22,5,0.0,76,1016,31
2010-01-04,00,21,6,0.0,84,1015,35
2010-01-04,03,21,4,0.0,82,1014,30
2010-01-04,06,21,6,0.0,72,1016,22
2010-01-04,09,27,3,0.0,40,1015,26
2010-01-04,12,29,3,0.0,43,1013,20
2010-01-04,15,28,3,0.0,46,1011,14
2010-01-04,18,24,3,0.0,62,1013,16
2010-01-04,21,21,6,0.0,63,1013,16
2010-01-05,00,20,4,0.0,65,1012,14
2010-01-05,03,20,3,0.0,67,1012,20
2010-01-05,06,20,4,0.0,59,1013,23
2010-01-05,09,27,0,0.0,35,1012,17
2010-01-05,12,28,3,0.0,40,1011,15
2010-01-05,15,27,5,0.0,45,1010,13
2010-01-05,18,25,4,0.0,60,1012,33
2010-01-05,21,23,4,0.0,61,1012,17
2010-01-06,00,21,6,0.0,61,1012,6
2010-01-06,03,19,9,0.0,61,1011,6
2010-01-06,06,19,9,0.0,53,1013,6
2010-01-06,09,25,9,0.0,33,1013,7
2010-01-06,12,29,6,0.0,32,1011,5
2010-01-06,15,30,4,0.0,31,1009,2
2010-01-06,18,24,5,0.0,47,1011,3
2010-01-06,21,20,6,0.0,48,1012,3
2010-01-07,00,19,7,0.0,50,1012,7
2010-01-07,03,18,6,0.0,54,1012,8
2010-01-07,06,18,10,0.0,49,1014,7
2010-01-07,09,24,10,0.0,31,1013,6
2010-01-07,12,28,7,0.0,32,1012,5
2010-01-07,15,28,5,0.0,32,1011,3
2010-01-07,18,22,5,0.0,48,1013,5
2010-01-07,21,20,8,0.0,47,1014,3
2010-01-08,00,19,7,0.0,44,1013,5
2010-01-08,03,17,4,0.0,46,1014,5
2010-01-08,06,18,8,0.0,41,1015,5
2010-01-08,09,24,9,0.0,26,1014,5
2010-01-08,12,27,5,0.0,30,1013,5
2010-01-08,15,27,1,0.0,33,1011,4
2010-01-08,18,22,3,0.0,52,1013,3
2010-01-08,21,19,4,0.0,58,1014,4
2010-01-09,00,19,6,0.0,52,1014,5
2010-01-09,03,16,10,0.0,50,1013,7
2010-01-09,06,18,9,0.0,44,1014,10
2010-01-09,09,25,9,0.0,31,1014,8
2010-01-09,12,27,6,0.0,34,1013,12
2010-01-09,15,27,3,0.0,36,1011,15
2010-01-09,18,23,4,0.0,49,1013,12
2010-01-09,21,22,6,0.0,43,1014,7
2010-01-10,00,21,6,0.0,42,1013,11
2010-01-10,03,19,8,0.0,49,1012,15
2010-01-10,06,19,8,0.0,51,1014,20
2010-01-10,09,26,10,0.0,39,1014,23
2010-01-10,12,28,5,0.0,43,1012,26
2010-01-10,15,27,1,0.0,47,1011,29
2010-01-10,18,25,3,0.0,53,1013,44
2010-01-10,21,23,3,0.0,52,1014,46
2010-01-11,00,22,4,0.0,50,1013,44
2010-01-11,03,21,4,0.0,51,1013,31
