date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2010-01-01,00,14,31,3.2,84,996,67
2010-01-01,03,14,30,0.0,86,995,68
2010-01-01,06,13,28,2.1,87,994,59
2010-01-01,09,13,42,1.5,79,994,82
2010-01-01,12,12,44,0.3,79,993,80
2010-01-01,15,12,46,0.5,80,993,77
2010-01-01,18,12,47,0.4,79,995,68
2010-01-01,21,12,33,0.6,82,996,100
2010-01-02,00,12,23,1.2,85,998,82
2010-01-02,03,11,17,0.2,87,1001,80
2010-01-02,06,11,21,0.0,82,1003,27
2010-01-02,09,13,21,0.0,71,1005,5
2010-01-02,12,13,30,0.0,65,1005,2
2010-01-02,15,13,39,0.0,59,1006,0
2010-01-02,18,11,39,0.0,59,1009,15
2010-01-02,21,9,31,0.0,71,1011,23
2010-01-03,00,8,26,0.0,72,1015,3
2010-01-03,03,7,24,0.0,73,1016,11
2010-01-03,06,6,26,0.0,78,1019,15
2010-01-03,09,6,21,0.0,70,1020,7
2010-01-03,12,8,17,0.0,63,1020,14
2010-01-03,15,8,14,0.0,55,1020,22
2010-01-03,18,6,5,0.0,58,1020,20
2010-01-03,21,5,5,0.0,62,1020,46
2010-01-04,00,7,10,0.0,66,1019,64
2010-01-04,03,7,16,0.0,72,1018,75
2010-01-04,06,7,14,0.0,78,1017,71
2010-01-04,09,7,21,0.5,84,1016,100
2010-01-04,12,8,23,0.5,86,1013,97
2010-01-04,15,9,26,0.0,89,1011,95
2010-01-04,18,9,27,0.0,89,1010,81
2010-01-04,21,10,20,0.0,89,1009,60
2010-01-05,00,10,14,0.0,91,1008,76
2010-01-05,03,11,17,0.0,92,1006,89
2010-01-05,06,11,24,0.8,91,1004,87
2010-01-05,09,13,29,0.4,89,1003,92
2010-01-05,12,13,28,0.4,91,1001,94
2010-01-05,15,13,26,1.6,92,998,97
2010-01-05,18,12,26,1.6,92,997,65
2010-01-05,21,13,28,2.9,89,995,67
2010-01-06,00,13,28,1.6,89,995,100
2010-01-06,03,13,23,1.6,92,995,94
2010-01-06,06,11,23,0.0,91,998,86
2010-01-06,09,11,19,0.0,85,1000,44
2010-01-06,12,12,15,0.0,82,1001,34
2010-01-06,15,12,12,0.0,78,1003,24
2010-01-06,18,10,11,0.0,85,1004,36
2010-01-06,21,10,15,0.4,86,1004,68
2010-01-07,00,11,24,1.3,87,1005,70
2010-01-07,03,11,21,1.6,88,1004,52
2010-01-07,06,10,20,0.0,87,1006,68
2010-01-07,09,11,10,0.0,83,1008,47
2010-01-07,12,11,15,0.0,79,1008,28
2010-01-07,15,11,21,0.0,76,1008,9
2010-01-07,18,11,26,0.0,83,1008,12
2010-01-07,21,11,28,0.0,81,1007,14
2010-01-08,00,12,33,0.0,73,1004,48
2010-01-08,03,12,33,0.0,81,1000,98
2010-01-08,06,13,35,0.3,87,997,100
2010-01-08,09,14,36,1.4,87,997,72
2010-01-08,12,14,27,1.5,88,996,78
2010-01-08,15,14,18,1.4,88,996,83
2010-01-08,18,12,4,0.0,89,998,63
2010-01-08,21,12,12,0.0,88,997,29
2010-01-09,00,12,21,0.4,88,996,70
2010-01-09,03,11,32,1.0,88,995,78
2010-01-09,06,10,31,1.5,81,996,89
2010-01-09,09,11,28,1.6,80,996,52
2010-01-09,12,11,27,2.6,81,997,84
2010-01-09,15,10,26,0.1,81,999,88
2010-01-09,18,9,31,0.0,80,1002,11
2010-01-09,21,9,25,0.0,80,1005,37
2010-01-10,00,8,17,0.2,84,1005,54
2010-01-10,03,7,11,0.1,85,1006,63
2010-01-10,06,7,8,0.0,83,1007,63
2010-01-10,09,8,13,0.1,80,1008,70
2010-01-10,12,8,17,0.0,81,1009,56
2010-01-10,15,8,21,0.0,81,1011,66
2010-01-10,18,7,22,0.0,83,1013,77
2010-01-10,21,7,15,0.3,89,1013,90
2010-01-11,00,7,17,0.5,90,1014,100
2010-01-11,03,7,13,0.0,90,1014,100
2010-01-11,06,7,1,0.1,88,1014,100
2010-01-11,09,9,8,0.1,85,1015,100
2010-01-11,12,9,7,0.1,85,1013,71
2010-01-11,15,9,5,0.3,86,1012,71
2010-01-11,18,7,8,0.0,86,1013,49
2010-01-11,21,7,10,0.2,87,1014,72
2010-01-12,00,6,11,0.0,88,1014,44
2010-01-12,03,6,10,0.0,87,1014,15
2010-01-12,06,5,13,0.0,85,1015,10
2010-01-12,09,7,8,0.0,77,1016,7
2010-01-12,12,9,9,0.0,75,1015,5
2010-01-12,15,10,10,0.0,73,1014,4
2010-01-12,18,7,5,0.0,80,1014,6
2010-01-12,21,6,7,0.0,81,1013,10
2010-01-13,00,6,6,0.0,80,1012,64
2010-01-13,03,7,10,0.1,79,1009,71
2010-01-13,06,7,16,0.3,82,1008,74
2010-01-13,09,8,20,0.2,84,1006,96
2010-01-13,12,8,22,0.5,80,1005,71
2010-01-13,15,9,24,0.0,77,1004,47
2010-01-13,18,7,13,0.0,77,1007,29
2010-01-13,21,7,12,0.0,80,1009,29
2010-01-14,00,6,15,0.0,81,1009,48
