date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2010-01-01,00,1,5,0.0,55,1025,2
2010-01-01,03,-0,11,0.0,57,1023,3
2010-01-01,06,1,13,0.0,59,1023,2
2010-01-01,09,6,18,0.0,52,1022,5
2010-01-01,12,10,14,0.0,49,1019,18
2010-01-01,15,9,16,0.0,66,1019,45
2010-01-01,18,8,16,0.0,73,1019,40
2010-01-01,21,8,21,0.0,80,1019,13
2010-01-02,00,8,12,0.0,85,1019,20
2010-01-02,03,8,11,0.0,88,1018,6
2010-01-02,06,7,13,0.0,87,1019,8
2010-01-02,09,10,13,0.0,68,1019,0
2010-01-02,12,14,12,0.0,59,1019,0
2010-01-02,15,14,12,0.0,69,1019,0
2010-01-02,18,9,15,0.0,79,1021,0
2010-01-02,21,7,20,0.0,84,1023,2
2010-01-03,00,5,17,0.0,87,1023,51
2010-01-03,03,5,18,0.0,87,1022,78
2010-01-03,06,6,14,0.0,81,1023,82
2010-01-03,09,8,18,0.0,74,1023,82
2010-01-03,12,9,14,0.0,68,1021,41
2010-01-03,15,10,19,0.0,78,1019,2
2010-01-03,18,8,16,0.0,86,1018,0
2010-01-03,21,8,24,0.0,90,1016,7
2010-01-04,00,8,20,0.0,92,1016,14
2010-01-04,03,7,19,0.0,90,1015,7
2010-01-04,06,6,17,0.0,88,1018,17
2010-01-04,09,9,27,0.0,68,1020,13
2010-01-04,12,9,29,0.0,50,1020,7
2010-01-04,15,6,26,0.0,54,1023,4
2010-01-04,18,2,20,0.0,66,1025,4
2010-01-04,21,0,25,0.0,68,1027,32
2010-01-05,00,-1,22,0.0,66,1027,5
2010-01-05,03,-1,25,0.0,66,1028,19
2010-01-05,06,-1,15,0.0,67,1028,34
2010-01-05,09,1,18,0.0,59,1029,35
2010-01-05,12,3,21,0.0,58,1027,30
2010-01-05,15,1,22,0.0,68,1027,32
2010-01-05,18,0,13,0.0,76,1028,42
2010-01-05,21,0,17,0.0,76,1028,100
2010-01-06,00,1,14,0.0,75,1028,83
2010-01-06,03,0,21,0.0,77,1028,98
2010-01-06,06,1,12,0.0,74,1029,61
2010-01-06,09,3,17,0.0,62,1029,37
2010-01-06,12,5,18,0.0,55,1029,9
2010-01-06,15,4,15,0.0,63,1029,5
2010-01-06,18,3,12,0.0,72,1030,0
2010-01-06,21,1,15,0.0,73,1030,0
2010-01-07,00,1,14,0.0,75,1030,0
2010-01-07,03,-0,14,0.0,77,1030,0
2010-01-07,06,-1,12,0.0,73,1031,5
2010-01-07,09,2,14,0.0,52,1032,10
2010-01-07,12,6,11,0.0,48,1029,10
2010-01-07,15,4,15,0.0,62,1029,8
2010-01-07,18,2,9,0.0,77,1029,14
2010-01-07,21,1,10,0.0,79,1029,90
2010-01-08,00,1,10,0.0,80,1028,76
2010-01-08,03,1,14,0.0,80,1027,75
2010-01-08,06,2,8,0.0,76,1028,39
2010-01-08,09,3,9,0.0,60,1028,13
2010-01-08,12,6,4,0.0,54,1026,5
2010-01-08,15,7,5,0.0,62,1026,3
2010-01-08,18,5,9,0.0,72,1026,3
2010-01-08,21,4,11,0.0,80,1026,1
2010-01-09,00,3,11,0.0,87,1025,0
2010-01-09,03,2,9,0.0,89,1024,2
2010-01-09,06,2,7,0.0,86,1025,6
2010-01-09,09,7,13,0.0,68,1025,41
2010-01-09,12,10,6,0.0,67,1024,64
2010-01-09,15,10,9,0.0,78,1024,77
2010-01-09,18,8,15,0.0,86,1026,85
2010-01-09,21,7,19,0.0,85,1026,63
2010-01-10,00,6,16,0.0,85,1026,54
2010-01-10,03,7,20,0.0,86,1024,57
2010-01-10,06,7,13,0.0,86,1025,100
2010-01-10,09,9,20,0.0,82,1024,100
2010-01-10,12,8,15,0.6,89,1024,100
2010-01-10,15,7,22,1.3,91,1025,100
2010-01-10,18,7,20,0.8,89,1025,100
2010-01-10,21,6,23,0.2,88,1027,100
2010-01-11,00,6,21,0.0,87,1026,100
2010-01-11,03,5,24,0.0,88,1026,100
2010-01-11,06,4,22,0.2,88,1027,100
2010-01-11,09,3,21,0.4,86,1028,100
2010-01-11,12,3,25,0.2,85,1028,100
2010-01-11,15,2,28,0.1,84,1029,100
2010-01-11,18,2,18,0.0,82,1028,90
2010-01-11,21,1,25,0.0,82,1031,66
2010-01-12,00,0,28,0.0,82,1029,48
2010-01-12,03,-0,23,0.0,76,1028,0
2010-01-12,06,-1,17,0.0,69,1028,10
2010-01-12,09,1,17,0.0,47,1028,0
2010-01-12,12,4,17,0.0,38,1025,0
2010-01-12,15,4,17,0.0,49,1026,1
2010-01-12,18,2,19,0.0,58,1025,7
2010-01-12,21,1,22,0.0,63,1028,6
2010-01-13,00,-1,30,0.0,54,1030,1
2010-01-13,03,-3,29,0.0,48,1032,0
2010-01-13,06,-4,23,0.0,38,1033,0
2010-01-13,09,-2,27,0.0,26,1034,0
2010-01-13,12,1,25,0.0,23,1033,0
2010-01-13,15,1,19,0.0,28,1033,0
2010-01-13,18,-1,11,0.0,28,1034,0
2010-01-13,21,-2,10,0.0,26,1034,0
2010-01-14,00,-0,1,0.0,26,1032,0
2010-01-14,03,-1,5,0.0,29,1032,0
2010-01-14,06,-2,9,0.0,38,1031,0
2010-01-14,09,3,16,0.0,35,1031,0
2010-01-14,12,7,11,0.0,38,1028,0
2010-01-14,15,7,17,0.0,57,1027,0
2010-01-14,18,5,12,0.0,67,1027,0
2010-01-14,21,4,12,0.0,73,1028,0
2010-01-15,00,4,8,0.0,67,1028,0
2010-01-15,03,2,12,0.0,62,1029,0
2010-01-15,06,1,11,0.0,65,1031,0
2010-01-15,09,7,18,0.0,52,1032,0
2010-01-15,12,10,13,0.0,50,1032,3
2010-01-15,15,8,22,0.0,65,1032,9
2010-01-15,18,4,13,0.0,73,1033,29
2010-01-15,21,4,17,0.0,73,1034,44
2010-01-16,00,4,11,0.0,77,1034,53
2010-01-16,03,4,13,0.1,81,1034,95
2010-01-16,06,3,4,0.0,80,1034,49
2010-01-16,09,6,10,0.0,65,1034,19
2010-01-16,12,9,5,0.0,59,1033,24
2010-01-16,15,7,11,0.0,68,1033,12
2010-01-16,18,6,10,0.0,79,1033,4
2010-01-16,21,5,10,0.0,82,1034,0
2010-01-17,00,4,6,0.0,86,1034,0
2010-01-17,03,2,7,0.0,86,1034,7
2010-01-17,06,3,10,0.0,79,1033,21
2010-01-17,09,8,12,0.0,63,1033,8
2010-01-17,12,12,11,0.0,59,1031,0
2010-01-17,15,10,16,0.0,67,1031,0
2010-01-17,18,8,15,0.0,73,1031,0
2010-01-17,21,7,14,0.0,77,1030,0
2010-01-18,00,7,13,0.0,85,1029,0
2010-01-18,03,7,9,0.0,89,1029,0
2010-01-18,06,7,9,0.0,86,1030,0
2010-01-18,09,11,9,0.0,68,1029,0
2010-01-18,12,14,17,0.0,64,1028,0
2010-01-18,15,13,21,0.0,76,1026,0
