date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2010-01-01,00,26,6,0.4,88,1009,77
2010-01-01,03,25,7,0.6,88,1007,85
2010-01-01,06,25,7,0.7,87,1008,77
2010-01-01,09,26,5,1.8,77,1010,79
2010-01-01,12,27,10,0.8,79,1008,74
2010-01-01,15,28,7,2.1,82,1007,76
2010-01-01,18,25,8,2.1,92,1008,53
2010-01-01,21,25,8,0.3,95,1009,57
2010-01-02,00,24,4,0.0,96,1009,56
2010-01-02,03,24,5,0.0,96,1007,40
2010-01-02,06,25,5,0.0,94,1008,24
2010-01-02,09,27,4,0.0,73,1010,36
2010-01-02,12,30,5,0.2,75,1008,81
2010-01-02,15,30,5,1.6,77,1006,87
2010-01-02,18,27,4,0.9,93,1008,87
2010-01-02,21,26,4,0.0,94,1010,26
2010-01-03,00,25,4,0.0,97,1010,36
2010-01-03,03,25,4,0.0,96,1008,42
2010-01-03,06,26,4,0.0,93,1009,38
2010-01-03,09,27,7,0.0,83,1011,42
2010-01-03,12,28,6,3.0,85,1009,60
2010-01-03,15,28,6,6.5,88,1007,78
2010-01-03,18,26,4,2.2,93,1009,100
2010-01-03,21,26,5,0.0,95,1010,61
2010-01-04,00,26,6,0.0,95,1010,100
2010-01-04,03,25,4,0.5,96,1008,52
2010-01-04,06,25,10,1.2,97,1009,100
2010-01-04,09,25,4,1.3,96,1010,78
2010-01-04,12,26,5,0.2,96,1008,89
2010-01-04,15,26,5,0.0,96,1007,100
2010-01-04,18,26,2,0.3,96,1008,78
2010-01-04,21,26,5,0.0,95,1009,86
2010-01-05,00,24,6,0.0,95,1009,88
2010-01-05,03,24,6,0.0,94,1007,46
2010-01-05,06,25,5,0.0,93,1008,48
2010-01-05,09,26,7,0.0,87,1010,84
2010-01-05,12,28,6,0.1,81,1008,79
2010-01-05,15,29,2,0.2,74,1007,74
2010-01-05,18,26,6,0.0,93,1009,39
2010-01-05,21,25,5,0.0,95,1010,49
2010-01-06,00,25,5,0.0,96,1010,55
2010-01-06,03,24,4,0.0,97,1009,100
2010-01-06,06,25,3,0.0,93,1010,87
2010-01-06,09,28,4,0.1,73,1010,77
2010-01-06,12,28,6,0.2,83,1009,79
2010-01-06,15,27,9,0.0,92,1008,62
2010-01-06,18,26,6,0.1,95,1009,79
2010-01-06,21,26,5,0.0,96,1011,37
2010-01-07,00,25,5,3.4,96,1011,73
2010-01-07,03,25,5,0.0,96,1010,43
2010-01-07,06,25,6,0.0,94,1010,46
2010-01-07,09,28,3,0.3,81,1012,91
2010-01-07,12,28,3,1.2,83,1010,64
2010-01-07,15,29,3,1.1,84,1008,75
2010-01-07,18,26,6,2.6,95,1010,79
2010-01-07,21,25,5,0.0,96,1011,37
2010-01-08,00,25,10,0.0,96,1011,40
2010-01-08,03,25,10,0.2,95,1010,89
2010-01-08,06,25,11,0.0,93,1010,28
2010-01-08,09,27,12,0.0,81,1011,55
2010-01-08,12,27,15,0.5,86,1010,68
