date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2010-01-01,00,21,14,0.0,91,1013,7
2010-01-01,03,21,5,0.0,90,1013,32
2010-01-01,06,21,8,0.0,90,1014,68
2010-01-01,09,25,10,0.1,71,1013,86
2010-01-01,12,26,18,0.2,63,1011,77
2010-01-01,15,26,23,0.4,71,1010,74
2010-01-01,18,24,15,0.0,79,1010,24
2010-01-01,21,23,18,0.3,84,1011,74
2010-01-02,00,23,14,0.2,83,1010,70
2010-01-02,03,22,8,0.6,85,1009,76
2010-01-02,06,23,12,0.2,84,1008,74
2010-01-02,09,26,11,0.0,64,1008,26
2010-01-02,12,28,7,0.0,56,1005,28
2010-01-02,15,28,9,1.1,55,1005,71
2010-01-02,18,24,0,0.0,87,1008,45
2010-01-02,21,22,18,0.2,91,1010,76
2010-01-03,00,19,23,0.0,90,1012,100
2010-01-03,03,19,25,0.0,86,1012,100
2010-01-03,06,19,18,0.1,81,1014,98
2010-01-03,09,20,14,0.1,78,1015,96
2010-01-03,12,20,17,0.0,77,1015,86
2010-01-03,15,20,16,0.0,82,1016,100
2010-01-03,18,19,16,0.0,81,1018,100
2010-01-03,21,19,11,0.0,82,1019,100
2010-01-04,00,19,10,0.0,88,1019,100
2010-01-04,03,19,10,0.0,89,1019,97
2010-01-04,06,19,8,0.0,88,1019,87
2010-01-04,09,21,9,0.0,82,1020,85
2010-01-04,12,23,17,0.2,69,1019,76
2010-01-04,15,22,20,0.0,69,1018,32
2010-01-04,18,21,19,0.0,74,1018,9
2010-01-04,21,20,21,0.0,78,1019,2
2010-01-05,00,20,16,0.0,82,1018,2
2010-01-05,03,20,9,0.0,87,1018,2
2010-01-05,06,20,11,0.0,78,1018,3
2010-01-05,09,24,13,0.0,63,1017,2
2010-01-05,12,27,15,0.0,59,1016,8
2010-01-05,15,26,20,0.0,63,1014,11
2010-01-05,18,23,20,0.0,72,1014,33
2010-01-05,21,23,14,0.0,75,1015,42
2010-01-06,00,22,14,0.0,77,1015,17
2010-01-06,03,21,11,0.0,83,1015,7
2010-01-06,06,22,5,0.0,86,1016,13
2010-01-06,09,26,16,0.0,62,1015,9
2010-01-06,12,26,13,0.0,65,1013,6
2010-01-06,15,24,18,0.0,77,1013,8
2010-01-06,18,22,15,0.0,87,1014,64
2010-01-06,21,21,21,0.0,85,1016,70
2010-01-07,00,21,19,0.0,88,1017,94
2010-01-07,03,20,18,0.0,85,1016,93
2010-01-07,06,21,12,0.0,79,1017,81
2010-01-07,09,23,13,0.0,69,1017,83
2010-01-07,12,24,13,0.0,65,1016,39
2010-01-07,15,24,17,0.0,68,1015,35
2010-01-07,18,21,15,0.0,78,1018,45
2010-01-07,21,21,10,0.0,82,1020,63
2010-01-08,00,21,8,0.0,82,1020,60
2010-01-08,03,20,10,0.0,83,1020,59
2010-01-08,06,22,9,0.0,77,1021,75
2010-01-08,09,24,10,0.1,70,1021,81
2010-01-08,12,25,14,0.0,65,1020,21
2010-01-08,15,25,16,0.0,70,1018,0
2010-01-08,18,24,19,0.0,80,1018,0
2010-01-08,21,22,16,0.0,88,1019,5
2010-01-09,00,22,14,0.0,91,1018,16
2010-01-09,03,22,7,0.0,89,1017,5
2010-01-09,06,22,8,0.0,77,1018,4
2010-01-09,09,27,10,0.0,53,1017,3
2010-01-09,12,31,12,0.0,43,1015,4
2010-01-09,15,31,12,0.0,45,1014,5
2010-01-09,18,28,16,0.0,58,1014,8
2010-01-09,21,26,14,0.0,61,1015,5
2010-01-10,00,25,9,0.0,65,1015,7
2010-01-10,03,24,2,0.0,69,1015,10
2010-01-10,06,24,8,0.0,65,1016,5
2010-01-10,09,28,15,0.0,55,1017,2
2010-01-10,12,28,14,0.0,60,1015,3
2010-01-10,15,26,22,0.0,66,1014,3
2010-01-10,18,24,16,0.0,77,1016,2
2010-01-10,21,22,18,0.0,81,1018,10
2010-01-11,00,21,12,0.0,82,1018,28
2010-01-11,03,20,8,0.0,86,1018,42
2010-01-11,06,22,4,0.0,75,1019,45
2010-01-11,09,24,8,0.0,67,1018,10
2010-01-11,12,26,15,0.0,65,1016,0
2010-01-11,15,25,24,0.0,71,1014,0
2010-01-11,18,22,22,0.0,81,1013,20
2010-01-11,21,22,22,0.0,86,1014,24
2010-01-12,00,22,16,0.0,91,1014,31
2010-01-12,03,21,10,0.0,94,1012,37
2010-01-12,06,23,11,0.0,84,1013,14
2010-01-12,09,26,13,0.0,66,1012,3
2010-01-12,12,30,16,0.0,54,1010,4
2010-01-12,15,30,20,0.0,55,1007,3
2010-01-12,18,27,20,0.0,66,1008,3
2010-01-12,21,26,22,0.0,70,1009,3
2010-01-13,00,25,15,0.0,67,1009,3
2010-01-13,03,25,13,0.0,65,1009,3
2010-01-13,06,23,15,0.0,75,1011,3
2010-01-13,09,26,19,0.0,69,1011,3
2010-01-13,12,27,21,0.0,69,1009,2
2010-01-13,15,24,31,0.0,81,1009,48
2010-01-13,18,21,26,0.0,86,1014,92
2010-01-13,21,20,20,0.2,88,1016,100
2010-01-14,00,20,17,0.0,89,1016,100
2010-01-14,03,20,21,0.0,88,1016,100
2010-01-14,06,20,15,0.0,86,1017,97
2010-01-14,09,21,24,0.0,87,1018,98
2010-01-14,12,21,19,0.0,83,1018,99
2010-01-14,15,22,18,0.0,79,1017,98
2010-01-14,18,21,11,0.0,84,1018,97
