date,time,tempC,windspeed,rainfall,humidity,pressure,cloudcover
2010-01-01,00,1,14,0.0,93,1013,85
2010-01-01,03,0,15,0.0,94,1013,100
2010-01-01,06,-0,13,0.0,90,1013,78
2010-01-01,09,-0,16,0.0,89,1013,98
2010-01-01,12,-0,18,0.3,87,1013,100
2010-01-01,15,-1,21,0.0,86,1013,100
2010-01-01,18,-4,27,0.0,85,1014,99
2010-01-01,21,-7,30,0.0,83,1016,100
2010-01-02,00,-8,31,0.0,82,1016,100
2010-01-02,03,-9,28,0.0,83,1016,100
2010-01-02,06,-11,24,0.0,84,1017,100
2010-01-02,09,-13,26,0.0,84,1018,100
2010-01-02,12,-11,29,0.0,81,1018,100
2010-01-02,15,-11,29,0.0,85,1018,100
2010-01-02,18,-11,22,0.0,86,1018,100
2010-01-02,21,-12,30,0.0,90,1019,100
2010-01-03,00,-12,28,0.0,90,1017,100
2010-01-03,03,-11,31,0.0,91,1017,100
2010-01-03,06,-11,32,0.0,91,1016,100
2010-01-03,09,-10,36,0.1,92,1014,100
2010-01-03,12,-10,31,0.3,92,1014,100
2010-01-03,15,-9,35,0.1,91,1013,100
2010-01-03,18,-9,25,0.2,92,1015,100
2010-01-03,21,-9,26,0.0,92,1015,100
2010-01-04,00,-9,26,0.0,93,1015,100
2010-01-04,03,-10,27,0.0,93,1014,100
2010-01-04,06,-10,22,0.0,92,1014,100
2010-01-04,09,-9,22,0.0,91,1015,100
2010-01-04,12,-7,21,0.0,89,1013,100
2010-01-04,15,-7,22,0.0,90,1013,98
2010-01-04,18,-8,13,0.0,91,1014,92
2010-01-04,21,-7,15,0.0,92,1014,100
2010-01-05,00,-7,14,0.0,92,1013,100
2010-01-05,03,-8,15,0.0,92,1013,100
2010-01-05,06,-8,18,0.0,93,1013,99
2010-01-05,09,-8,19,0.0,91,1014,100
2010-01-05,12,-5,18,0.1,90,1012,100
2010-01-05,15,-5,21,0.3,91,1012,100
2010-01-05,18,-5,16,0.2,92,1012,100
2010-01-05,21,-4,20,0.0,92,1012,100
2010-01-06,00,-6,16,0.0,93,1012,100
2010-01-06,03,-7,21,0.0,93,1013,100
